Plural
	cl_self_male
Model: 01-ai/Yi-6B, Accuracy: 97.50000, Average Perplexity (Good Sentences): -358.68732, Average Perplexity (Bad Sentences): -879.37555
0: good sentence 0, PPL: -257.15399
1: bad sentence 0, PPL: -706.51282
2: good sentence 1, PPL: -243.35254
3: bad sentence 1, PPL: -230.78297
4: good sentence 2, PPL: -497.31033
5: bad sentence 2, PPL: -1423.68237
6: good sentence 3, PPL: -287.19897
7: bad sentence 3, PPL: -613.23419
8: good sentence 4, PPL: -189.35945
9: bad sentence 4, PPL: -393.52960
10: good sentence 5, PPL: -162.90416
11: bad sentence 5, PPL: -481.35510
12: good sentence 6, PPL: -229.57904
13: bad sentence 6, PPL: -516.42554
14: good sentence 7, PPL: -163.56039
15: bad sentence 7, PPL: -360.83304
16: good sentence 8, PPL: -481.67929
17: bad sentence 8, PPL: -1188.10559
18: good sentence 9, PPL: -717.24945
19: bad sentence 9, PPL: -1964.82227
20: good sentence 10, PPL: -310.06964
21: bad sentence 10, PPL: -925.28607
22: good sentence 11, PPL: -97.74972
23: bad sentence 11, PPL: -236.41768
24: good sentence 12, PPL: -338.43588
25: bad sentence 12, PPL: -770.49463
26: good sentence 13, PPL: -180.55492
27: bad sentence 13, PPL: -384.31873
28: good sentence 14, PPL: -1149.73633
29: bad sentence 14, PPL: -3635.90430
30: good sentence 15, PPL: -143.81418
31: bad sentence 15, PPL: -317.29453
32: good sentence 16, PPL: -329.72321
33: bad sentence 16, PPL: -899.81342
34: good sentence 17, PPL: -283.02087
35: bad sentence 17, PPL: -644.47882
36: good sentence 18, PPL: -463.80597
37: bad sentence 18, PPL: -929.07806
38: good sentence 19, PPL: -670.50610
39: bad sentence 19, PPL: -1371.76904
40: good sentence 20, PPL: -503.74426
41: bad sentence 20, PPL: -1403.55920
42: good sentence 21, PPL: -314.73526
43: bad sentence 21, PPL: -617.58044
44: good sentence 22, PPL: -779.59003
45: bad sentence 22, PPL: -1014.32874
46: good sentence 23, PPL: -280.75558
47: bad sentence 23, PPL: -632.69580
48: good sentence 24, PPL: -1325.52551
49: bad sentence 24, PPL: -4531.24805
50: good sentence 25, PPL: -258.65997
51: bad sentence 25, PPL: -640.56909
52: good sentence 26, PPL: -371.80386
53: bad sentence 26, PPL: -1087.85217
54: good sentence 27, PPL: -156.89919
55: bad sentence 27, PPL: -509.72772
56: good sentence 28, PPL: -602.47449
57: bad sentence 28, PPL: -1477.55420
58: good sentence 29, PPL: -683.48456
59: bad sentence 29, PPL: -1603.81616
60: good sentence 30, PPL: -483.82953
61: bad sentence 30, PPL: -1467.68750
62: good sentence 31, PPL: -1060.22864
63: bad sentence 31, PPL: -2863.03809
64: good sentence 32, PPL: -385.82846
65: bad sentence 32, PPL: -1011.06140
66: good sentence 33, PPL: -242.97223
67: bad sentence 33, PPL: -504.42767
68: good sentence 34, PPL: -411.93259
69: bad sentence 34, PPL: -861.28235
70: good sentence 35, PPL: -581.10150
71: bad sentence 35, PPL: -1465.30225
72: good sentence 36, PPL: -239.67419
73: bad sentence 36, PPL: -614.58636
74: good sentence 37, PPL: -502.63074
75: bad sentence 37, PPL: -1304.01160
76: good sentence 38, PPL: -152.42619
77: bad sentence 38, PPL: -307.69653
78: good sentence 39, PPL: -382.89362
79: bad sentence 39, PPL: -927.90253
80: good sentence 40, PPL: -178.37268
81: bad sentence 40, PPL: -194.35330
82: good sentence 41, PPL: -431.71851
83: bad sentence 41, PPL: -1408.99744
84: good sentence 42, PPL: -438.02432
85: bad sentence 42, PPL: -1381.37878
86: good sentence 43, PPL: -676.23816
87: bad sentence 43, PPL: -1797.59082
88: good sentence 44, PPL: -163.31023
89: bad sentence 44, PPL: -425.52664
90: good sentence 45, PPL: -228.06035
91: bad sentence 45, PPL: -700.42365
92: good sentence 46, PPL: -202.99646
93: bad sentence 46, PPL: -496.99078
94: good sentence 47, PPL: -575.36810
95: bad sentence 47, PPL: -1624.63318
96: good sentence 48, PPL: -725.71661
97: bad sentence 48, PPL: -2112.62573
98: good sentence 49, PPL: -667.61377
99: bad sentence 49, PPL: -1797.56165
100: good sentence 50, PPL: -375.92459
101: bad sentence 50, PPL: -1169.86975
102: good sentence 51, PPL: -768.61591
103: bad sentence 51, PPL: -2759.42920
104: good sentence 52, PPL: -450.85336
105: bad sentence 52, PPL: -1409.54919
106: good sentence 53, PPL: -489.18277
