Plural
	menself_female
Model: 01-ai/Yi-6B, Accuracy: 80.50000, Average Perplexity (Good Sentences): -482.89862, Average Perplexity (Bad Sentences): -633.31519
0: good sentence 0, PPL: -965.30737
1: bad sentence 0, PPL: -891.49103
2: good sentence 1, PPL: -1047.54993
3: bad sentence 1, PPL: -1183.44824
4: good sentence 2, PPL: -612.35614
5: bad sentence 2, PPL: -789.15356
6: good sentence 3, PPL: -359.99765
7: bad sentence 3, PPL: -378.25455
8: good sentence 4, PPL: -317.40457
9: bad sentence 4, PPL: -401.78891
10: good sentence 5, PPL: -355.42978
11: bad sentence 5, PPL: -1131.70740
12: good sentence 6, PPL: -222.93758
13: bad sentence 6, PPL: -500.68024
14: good sentence 7, PPL: -275.68448
15: bad sentence 7, PPL: -327.79236
16: good sentence 8, PPL: -142.64113
17: bad sentence 8, PPL: -324.97714
18: good sentence 9, PPL: -304.22360
19: bad sentence 9, PPL: -399.12854
20: good sentence 10, PPL: -1110.03198
21: bad sentence 10, PPL: -1226.82532
22: good sentence 11, PPL: -643.47070
23: bad sentence 11, PPL: -698.15051
24: good sentence 12, PPL: -222.19968
25: bad sentence 12, PPL: -318.27600
26: good sentence 13, PPL: -715.67145
27: bad sentence 13, PPL: -614.68457
28: good sentence 14, PPL: -762.96472
29: bad sentence 14, PPL: -732.51422
30: good sentence 15, PPL: -278.96860
31: bad sentence 15, PPL: -244.91267
32: good sentence 16, PPL: -366.68243
33: bad sentence 16, PPL: -523.01978
34: good sentence 17, PPL: -473.72360
35: bad sentence 17, PPL: -619.54193
36: good sentence 18, PPL: -426.04599
37: bad sentence 18, PPL: -628.57495
38: good sentence 19, PPL: -211.94133
39: bad sentence 19, PPL: -247.84358
40: good sentence 20, PPL: -373.17737
41: bad sentence 20, PPL: -543.67456
42: good sentence 21, PPL: -373.29678
43: bad sentence 21, PPL: -384.90637
44: good sentence 22, PPL: -140.10390
45: bad sentence 22, PPL: -146.99814
46: good sentence 23, PPL: -417.24246
47: bad sentence 23, PPL: -707.03955
48: good sentence 24, PPL: -2167.53931
49: bad sentence 24, PPL: -1743.16309
50: good sentence 25, PPL: -844.08533
51: bad sentence 25, PPL: -1051.91333
52: good sentence 26, PPL: -416.98511
53: bad sentence 26, PPL: -896.52637
54: good sentence 27, PPL: -210.09172
55: bad sentence 27, PPL: -443.50726
56: good sentence 28, PPL: -92.04613
57: bad sentence 28, PPL: -193.77745
58: good sentence 29, PPL: -400.91125
59: bad sentence 29, PPL: -427.81998
60: good sentence 30, PPL: -346.55420
61: bad sentence 30, PPL: -1312.20959
62: good sentence 31, PPL: -821.82843
63: bad sentence 31, PPL: -836.45459
64: good sentence 32, PPL: -1467.52307
65: bad sentence 32, PPL: -1315.63049
66: good sentence 33, PPL: -178.27650
67: bad sentence 33, PPL: -464.98047
68: good sentence 34, PPL: -232.58792
69: bad sentence 34, PPL: -257.72687
70: good sentence 35, PPL: -259.04504
71: bad sentence 35, PPL: -281.57141
72: good sentence 36, PPL: -239.34415
73: bad sentence 36, PPL: -776.33667
74: good sentence 37, PPL: -400.84204
75: bad sentence 37, PPL: -1244.45020
76: good sentence 38, PPL: -1209.87781
77: bad sentence 38, PPL: -1053.10266
78: good sentence 39, PPL: -209.11414
79: bad sentence 39, PPL: -198.44957
80: good sentence 40, PPL: -124.00638
81: bad sentence 40, PPL: -146.14769
82: good sentence 41, PPL: -668.81757
83: bad sentence 41, PPL: -745.22528
84: good sentence 42, PPL: -468.29565
85: bad sentence 42, PPL: -554.20624
86: good sentence 43, PPL: -351.18274
87: bad sentence 43, PPL: -697.13361
88: good sentence 44, PPL: -247.33180
89: bad sentence 44, PPL: -672.02362
90: good sentence 45, PPL: -994.42902
91: bad sentence 45, PPL: -1230.81494
92: good sentence 46, PPL: -771.48767
93: bad sentence 46, PPL: -1034.21472
94: good sentence 47, PPL: -284.22018
95: bad sentence 47, PPL: -934.82800
96: good sentence 48, PPL: -584.67218
97: bad sentence 48, PPL: -715.04041
98: good sentence 49, PPL: -367.08237
99: bad sentence 49, PPL: -436.34595
100: good sentence 50, PPL: -238.09917
101: bad sentence 50, PPL: -298.69055
102: good sentence 51, PPL: -1675.42468
103: bad sentence 51, PPL: -1749.34900
104: good sentence 52, PPL: -846.87030
105: bad sentence 52, PPL: -888.31061
106: good sentence 53, PPL: -651.63715
107: bad sentence 53, PPL: -620.45428
108: good sentence 54, PPL: -1323.87683
109: bad sentence 54, PPL: -1360.60388
110: good sentence 55, PPL: -373.50369
111: bad sentence 55, PPL: -782.93988
112: good sentence 56, PPL: -544.45599
113: bad sentence 56, PPL: -642.09973
114: good sentence 57, PPL: -540.14789
115: bad sentence 57, PPL: -909.59003
116: good sentence 58, PPL: -234.33414
117: bad sentence 58, PPL: -231.44432
118: good sentence 59, PPL: -552.64264
119: bad sentence 59, PPL: -764.48987
120: good sentence 60, PPL: -514.26923
121: bad sentence 60, PPL: -505.14664
122: good sentence 61, PPL: -1504.82593
123: bad sentence 61, PPL: -1734.49707
124: good sentence 62, PPL: -217.24605
125: bad sentence 62, PPL: -230.99745
126: good sentence 63, PPL: -337.39273
127: bad sentence 63, PPL: -261.82629
128: good sentence 64, PPL: -463.27725
129: bad sentence 64, PPL: -1733.51379
130: good sentence 65, PPL: -691.53271
131: bad sentence 65, PPL: -874.69287
132: good sentence 66, PPL: -336.91992
133: bad sentence 66, PPL: -1259.10559
134: good sentence 67, PPL: -266.91806
135: bad sentence 67, PPL: -302.44379
136: good sentence 68, PPL: -267.00705
137: bad sentence 68, PPL: -503.55002
138: good sentence 69, PPL: -505.63388
139: bad sentence 69, PPL: -1057.27832
140: good sentence 70, PPL: -793.52539
141: bad sentence 70, PPL: -896.68079
142: good sentence 71, PPL: -913.46582
143: bad sentence 71, PPL: -1202.00964
144: good sentence 72, PPL: -751.68750
145: bad sentence 72, PPL: -887.08813
146: good sentence 73, PPL: -410.70911
147: bad sentence 73, PPL: -415.37808
148: good sentence 74, PPL: -1120.97485
149: bad sentence 74, PPL: -1129.84009
150: good sentence 75, PPL: -420.68985
151: bad sentence 75, PPL: -323.99216
152: good sentence 76, PPL: -447.83441
153: bad sentence 76, PPL: -629.78125
154: good sentence 77, PPL: -669.39471
155: bad sentence 77, PPL: -775.26648
156: good sentence 78, PPL: -344.11267
157: bad sentence 78, PPL: -473.62985
158: good sentence 79, PPL: -161.71823
159: bad sentence 79, PPL: -322.34500
160: good sentence 80, PPL: -195.14655
161: bad sentence 80, PPL: -232.09714
162: good sentence 81, PPL: -1081.07178
163: bad sentence 81, PPL: -1151.53052
164: good sentence 82, PPL: -455.45544
165: bad sentence 82, PPL: -446.86279
166: good sentence 83, PPL: -482.58350
167: bad sentence 83, PPL: -452.92261
168: good sentence 84, PPL: -1238.80676
169: bad sentence 84, PPL: -1913.93518
170: good sentence 85, PPL: -313.58044
171: bad sentence 85, PPL: -358.49734
172: good sentence 86, PPL: -1110.09607
173: bad sentence 86, PPL: -2893.80713
174: good sentence 87, PPL: -338.33051
175: bad sentence 87, PPL: -1254.38220
176: good sentence 88, PPL: -731.07904
177: bad sentence 88, PPL: -729.51508
178: good sentence 89, PPL: -324.17590
179: bad sentence 89, PPL: -1172.06909
180: good sentence 90, PPL: -482.21085
181: bad sentence 90, PPL: -730.80853
182: good sentence 91, PPL: -274.56989
183: bad sentence 91, PPL: -303.77582
184: good sentence 92, PPL: -336.29456
185: bad sentence 92, PPL: -334.63226
186: good sentence 93, PPL: -275.71890
187: bad sentence 93, PPL: -280.58722
188: good sentence 94, PPL: -650.04816
189: bad sentence 94, PPL: -880.40887
190: good sentence 95, PPL: -638.76886
191: bad sentence 95, PPL: -729.60034
192: good sentence 96, PPL: -274.32501
193: bad sentence 96, PPL: -605.37524
194: good sentence 97, PPL: -367.50397
195: bad sentence 97, PPL: -425.53839
196: good sentence 98, PPL: -995.65131
197: bad sentence 98, PPL: -1046.27246
198: good sentence 99, PPL: -266.42926
