Plural
	menself_male
Model: 01-ai/Yi-6B, Accuracy: 98.70000, Average Perplexity (Good Sentences): -473.13034, Average Perplexity (Bad Sentences): -1459.64111
0: good sentence 0, PPL: -711.73224
1: bad sentence 0, PPL: -2599.90894
2: good sentence 1, PPL: -1042.92676
3: bad sentence 1, PPL: -4211.57715
4: good sentence 2, PPL: -648.77142
5: bad sentence 2, PPL: -2685.19019
6: good sentence 3, PPL: -436.29562
7: bad sentence 3, PPL: -1402.19849
8: good sentence 4, PPL: -417.56113
9: bad sentence 4, PPL: -1351.15430
10: good sentence 5, PPL: -422.34946
11: bad sentence 5, PPL: -1450.00000
12: good sentence 6, PPL: -172.36377
13: bad sentence 6, PPL: -561.53961
14: good sentence 7, PPL: -366.22498
15: bad sentence 7, PPL: -439.35495
16: good sentence 8, PPL: -139.77452
17: bad sentence 8, PPL: -342.11435
18: good sentence 9, PPL: -251.30986
19: bad sentence 9, PPL: -725.98560
20: good sentence 10, PPL: -832.47357
21: bad sentence 10, PPL: -2243.79590
22: good sentence 11, PPL: -606.38959
23: bad sentence 11, PPL: -2365.27954
24: good sentence 12, PPL: -283.49188
25: bad sentence 12, PPL: -976.98322
26: good sentence 13, PPL: -737.35175
27: bad sentence 13, PPL: -2238.89331
28: good sentence 14, PPL: -686.36121
29: bad sentence 14, PPL: -2605.72095
30: good sentence 15, PPL: -284.33026
31: bad sentence 15, PPL: -586.13715
32: good sentence 16, PPL: -360.95367
33: bad sentence 16, PPL: -1676.94324
34: good sentence 17, PPL: -500.84570
35: bad sentence 17, PPL: -2516.88940
36: good sentence 18, PPL: -542.03369
37: bad sentence 18, PPL: -2414.27661
38: good sentence 19, PPL: -257.55511
39: bad sentence 19, PPL: -1080.56885
40: good sentence 20, PPL: -392.79660
41: bad sentence 20, PPL: -2102.35840
42: good sentence 21, PPL: -317.46133
43: bad sentence 21, PPL: -989.20929
44: good sentence 22, PPL: -158.54820
45: bad sentence 22, PPL: -310.51498
46: good sentence 23, PPL: -395.44904
47: bad sentence 23, PPL: -1203.56104
48: good sentence 24, PPL: -1810.44250
49: bad sentence 24, PPL: -8099.05859
50: good sentence 25, PPL: -870.39215
51: bad sentence 25, PPL: -3950.75122
52: good sentence 26, PPL: -408.38638
53: bad sentence 26, PPL: -1087.40833
54: good sentence 27, PPL: -183.54732
55: bad sentence 27, PPL: -607.80292
56: good sentence 28, PPL: -77.75218
57: bad sentence 28, PPL: -218.70723
58: good sentence 29, PPL: -294.37756
59: bad sentence 29, PPL: -953.59039
60: good sentence 30, PPL: -318.10471
61: bad sentence 30, PPL: -1529.42102
62: good sentence 31, PPL: -891.00183
63: bad sentence 31, PPL: -3028.66675
64: good sentence 32, PPL: -1072.28650
65: bad sentence 32, PPL: -3142.50171
66: good sentence 33, PPL: -157.07188
67: bad sentence 33, PPL: -511.36810
68: good sentence 34, PPL: -216.51004
69: bad sentence 34, PPL: -525.00519
70: good sentence 35, PPL: -329.33572
71: bad sentence 35, PPL: -1114.69214
72: good sentence 36, PPL: -178.81244
73: bad sentence 36, PPL: -742.55499
74: good sentence 37, PPL: -370.00677
75: bad sentence 37, PPL: -1831.08655
76: good sentence 38, PPL: -1171.96240
77: bad sentence 38, PPL: -5004.13428
78: good sentence 39, PPL: -230.14516
79: bad sentence 39, PPL: -409.32022
80: good sentence 40, PPL: -117.76494
81: bad sentence 40, PPL: -233.88472
82: good sentence 41, PPL: -723.99744
83: bad sentence 41, PPL: -3073.31445
84: good sentence 42, PPL: -496.03995
85: bad sentence 42, PPL: -1453.19849
86: good sentence 43, PPL: -360.32462
87: bad sentence 43, PPL: -947.24255
88: good sentence 44, PPL: -266.84146
89: bad sentence 44, PPL: -761.48291
90: good sentence 45, PPL: -982.93030
91: bad sentence 45, PPL: -3573.43994
92: good sentence 46, PPL: -855.26630
93: bad sentence 46, PPL: -3131.08618
94: good sentence 47, PPL: -284.34369
95: bad sentence 47, PPL: -1023.80078
96: good sentence 48, PPL: -706.38245
97: bad sentence 48, PPL: -3400.72998
98: good sentence 49, PPL: -340.37100
