Anaphor
	baseline_female
Model: 01-ai/Yi-6B, Accuracy: 70.30000, Average Perplexity (Good Sentences): -846.61237, Average Perplexity (Bad Sentences): -915.90875
0: good sentence 0, PPL: -535.01324
1: bad sentence 0, PPL: -639.90912
2: good sentence 1, PPL: -1481.70972
3: bad sentence 1, PPL: -1535.25159
4: good sentence 2, PPL: -483.57605
5: bad sentence 2, PPL: -565.68237
6: good sentence 3, PPL: -472.46078
7: bad sentence 3, PPL: -491.15427
8: good sentence 4, PPL: -2416.45117
9: bad sentence 4, PPL: -2908.41699
10: good sentence 5, PPL: -594.97723
11: bad sentence 5, PPL: -514.24512
12: good sentence 6, PPL: -667.75513
13: bad sentence 6, PPL: -653.58771
14: good sentence 7, PPL: -891.76477
15: bad sentence 7, PPL: -906.18256
16: good sentence 8, PPL: -476.90118
17: bad sentence 8, PPL: -468.87683
18: good sentence 9, PPL: -343.62976
19: bad sentence 9, PPL: -388.24814
20: good sentence 10, PPL: -2752.11255
21: bad sentence 10, PPL: -3072.39111
22: good sentence 11, PPL: -120.41202
23: bad sentence 11, PPL: -126.64740
24: good sentence 12, PPL: -888.29535
25: bad sentence 12, PPL: -1013.92975
26: good sentence 13, PPL: -7522.77002
27: bad sentence 13, PPL: -6671.27832
28: good sentence 14, PPL: -690.20050
29: bad sentence 14, PPL: -752.56476
30: good sentence 15, PPL: -634.28143
31: bad sentence 15, PPL: -698.61273
32: good sentence 16, PPL: -294.77969
33: bad sentence 16, PPL: -276.71255
34: good sentence 17, PPL: -368.23859
35: bad sentence 17, PPL: -368.16187
36: good sentence 18, PPL: -844.19318
37: bad sentence 18, PPL: -1084.60828
38: good sentence 19, PPL: -194.86890
39: bad sentence 19, PPL: -203.86824
40: good sentence 20, PPL: -540.32690
41: bad sentence 20, PPL: -505.98703
42: good sentence 21, PPL: -777.71533
43: bad sentence 21, PPL: -815.25446
44: good sentence 22, PPL: -831.23993
45: bad sentence 22, PPL: -708.12769
46: good sentence 23, PPL: -614.80096
47: bad sentence 23, PPL: -873.18976
48: good sentence 24, PPL: -1729.54004
49: bad sentence 24, PPL: -2138.82959
50: good sentence 25, PPL: -1836.38794
51: bad sentence 25, PPL: -1739.75684
52: good sentence 26, PPL: -2924.72876
53: bad sentence 26, PPL: -2890.31982
54: good sentence 27, PPL: -427.56097
55: bad sentence 27, PPL: -458.70444
56: good sentence 28, PPL: -1912.19360
57: bad sentence 28, PPL: -2135.86084
58: good sentence 29, PPL: -396.90063
59: bad sentence 29, PPL: -382.46042
60: good sentence 30, PPL: -4841.83154
61: bad sentence 30, PPL: -7575.09375
62: good sentence 31, PPL: -1571.96350
63: bad sentence 31, PPL: -1922.84033
64: good sentence 32, PPL: -334.09064
65: bad sentence 32, PPL: -376.91772
66: good sentence 33, PPL: -2077.72339
67: bad sentence 33, PPL: -2161.79321
68: good sentence 34, PPL: -1497.38818
69: bad sentence 34, PPL: -1474.55933
70: good sentence 35, PPL: -679.24493
71: bad sentence 35, PPL: -653.16864
72: good sentence 36, PPL: -1771.59790
73: bad sentence 36, PPL: -1951.59583
74: good sentence 37, PPL: -6335.31494
75: bad sentence 37, PPL: -6445.22803
76: good sentence 38, PPL: -1028.13049
77: bad sentence 38, PPL: -964.21802
78: good sentence 39, PPL: -1678.91394
79: bad sentence 39, PPL: -2167.60767
80: good sentence 40, PPL: -2682.80591
81: bad sentence 40, PPL: -2973.43115
82: good sentence 41, PPL: -613.17340
83: bad sentence 41, PPL: -655.46155
84: good sentence 42, PPL: -368.90201
85: bad sentence 42, PPL: -448.44983
86: good sentence 43, PPL: -263.24164
87: bad sentence 43, PPL: -258.80777
88: good sentence 44, PPL: -428.79434
89: bad sentence 44, PPL: -473.46841
90: good sentence 45, PPL: -591.85529
91: bad sentence 45, PPL: -658.16785
92: good sentence 46, PPL: -191.31303
93: bad sentence 46, PPL: -192.70074
94: good sentence 47, PPL: -755.06653
95: bad sentence 47, PPL: -861.88013
96: good sentence 48, PPL: -2348.22632
97: bad sentence 48, PPL: -2251.85376
98: good sentence 49, PPL: -974.83240
99: bad sentence 49, PPL: -1242.00183
100: good sentence 50, PPL: -463.69519
101: bad sentence 50, PPL: -799.86310
102: good sentence 51, PPL: -1019.99713
103: bad sentence 51, PPL: -1176.42090
104: good sentence 52, PPL: -612.65259
105: bad sentence 52, PPL: -838.44122
106: good sentence 53, PPL: -102.08102
107: bad sentence 53, PPL: -107.58044
108: good sentence 54, PPL: -2490.66333
109: bad sentence 54, PPL: -2853.23486
110: good sentence 55, PPL: -642.29938
111: bad sentence 55, PPL: -436.67773
112: good sentence 56, PPL: -371.03448
113: bad sentence 56, PPL: -414.16864
114: good sentence 57, PPL: -194.53958
115: bad sentence 57, PPL: -209.29401
116: good sentence 58, PPL: -963.00171
117: bad sentence 58, PPL: -1061.65222
118: good sentence 59, PPL: -769.78223
119: bad sentence 59, PPL: -796.72656
120: good sentence 60, PPL: -2627.03101
121: bad sentence 60, PPL: -2544.56958
122: good sentence 61, PPL: -1976.82007
123: bad sentence 61, PPL: -2818.96948
124: good sentence 62, PPL: -632.78094
125: bad sentence 62, PPL: -631.79559
126: good sentence 63, PPL: -235.22415
127: bad sentence 63, PPL: -257.92383
128: good sentence 64, PPL: -663.72955
129: bad sentence 64, PPL: -828.43170
130: good sentence 65, PPL: -1386.09583
131: bad sentence 65, PPL: -1213.77197
132: good sentence 66, PPL: -1515.20068
133: bad sentence 66, PPL: -1593.18799
134: good sentence 67, PPL: -158.69191
135: bad sentence 67, PPL: -158.29491
136: good sentence 68, PPL: -627.51538
137: bad sentence 68, PPL: -681.76819
138: good sentence 69, PPL: -409.58710
139: bad sentence 69, PPL: -418.33499
140: good sentence 70, PPL: -883.24042
141: bad sentence 70, PPL: -993.83691
142: good sentence 71, PPL: -1669.48413
143: bad sentence 71, PPL: -1765.46960
144: good sentence 72, PPL: -548.03351
145: bad sentence 72, PPL: -572.51062
146: good sentence 73, PPL: -3034.18848
147: bad sentence 73, PPL: -3057.02637
148: good sentence 74, PPL: -637.08704
149: bad sentence 74, PPL: -634.51129
150: good sentence 75, PPL: -82.98747
151: bad sentence 75, PPL: -77.26742
152: good sentence 76, PPL: -634.13654
153: bad sentence 76, PPL: -723.75067
154: good sentence 77, PPL: -539.88727
155: bad sentence 77, PPL: -608.16473
156: good sentence 78, PPL: -1993.84790
157: bad sentence 78, PPL: -2031.25525
158: good sentence 79, PPL: -404.95602
159: bad sentence 79, PPL: -418.32703
160: good sentence 80, PPL: -952.60101
161: bad sentence 80, PPL: -1653.34106
162: good sentence 81, PPL: -2047.35767
163: bad sentence 81, PPL: -2450.81006
164: good sentence 82, PPL: -1915.41870
165: bad sentence 82, PPL: -2433.75635
