Anaphor
	baseline_male
Model: 01-ai/Yi-6B, Accuracy: 47.70000, Average Perplexity (Good Sentences): -988.20844, Average Perplexity (Bad Sentences): -961.55823
0: good sentence 0, PPL: -721.03802
1: bad sentence 0, PPL: -695.80951
2: good sentence 1, PPL: -1790.78931
3: bad sentence 1, PPL: -2280.67407
4: good sentence 2, PPL: -579.10870
5: bad sentence 2, PPL: -599.45728
6: good sentence 3, PPL: -626.91217
7: bad sentence 3, PPL: -576.15771
8: good sentence 4, PPL: -2441.56152
9: bad sentence 4, PPL: -2514.16309
10: good sentence 5, PPL: -634.04584
11: bad sentence 5, PPL: -545.91852
12: good sentence 6, PPL: -794.73901
13: bad sentence 6, PPL: -648.38086
14: good sentence 7, PPL: -934.62836
15: bad sentence 7, PPL: -1061.26147
16: good sentence 8, PPL: -574.16602
17: bad sentence 8, PPL: -677.40027
18: good sentence 9, PPL: -451.70551
19: bad sentence 9, PPL: -496.39673
20: good sentence 10, PPL: -3102.16357
21: bad sentence 10, PPL: -3617.95630
22: good sentence 11, PPL: -112.54691
23: bad sentence 11, PPL: -126.37455
24: good sentence 12, PPL: -815.43604
25: bad sentence 12, PPL: -797.69476
26: good sentence 13, PPL: -9204.56445
27: bad sentence 13, PPL: -11097.00195
28: good sentence 14, PPL: -848.20111
29: bad sentence 14, PPL: -774.02356
30: good sentence 15, PPL: -920.97711
31: bad sentence 15, PPL: -948.00623
32: good sentence 16, PPL: -347.71884
33: bad sentence 16, PPL: -247.17583
34: good sentence 17, PPL: -463.23682
35: bad sentence 17, PPL: -457.54297
36: good sentence 18, PPL: -1133.50195
37: bad sentence 18, PPL: -765.50690
38: good sentence 19, PPL: -253.48764
39: bad sentence 19, PPL: -217.48216
40: good sentence 20, PPL: -600.73547
41: bad sentence 20, PPL: -522.61810
42: good sentence 21, PPL: -962.99023
43: bad sentence 21, PPL: -927.70258
44: good sentence 22, PPL: -928.55457
45: bad sentence 22, PPL: -768.45026
46: good sentence 23, PPL: -874.38098
47: bad sentence 23, PPL: -684.99713
48: good sentence 24, PPL: -1931.10815
49: bad sentence 24, PPL: -1695.71887
50: good sentence 25, PPL: -2217.99951
51: bad sentence 25, PPL: -1591.51660
52: good sentence 26, PPL: -3220.74121
53: bad sentence 26, PPL: -3295.04761
54: good sentence 27, PPL: -450.90884
55: bad sentence 27, PPL: -473.23639
56: good sentence 28, PPL: -2647.55786
57: bad sentence 28, PPL: -2067.75781
58: good sentence 29, PPL: -302.15060
59: bad sentence 29, PPL: -341.80405
60: good sentence 30, PPL: -4187.57910
61: bad sentence 30, PPL: -3451.52100
