Anaphor
	pp_female
Model: 01-ai/Yi-6B, Accuracy: 69.60000, Average Perplexity (Good Sentences): -704.41241, Average Perplexity (Bad Sentences): -741.16162
0: good sentence 0, PPL: -348.78925
1: bad sentence 0, PPL: -420.05365
2: good sentence 1, PPL: -461.03101
3: bad sentence 1, PPL: -492.38113
4: good sentence 2, PPL: -1430.76636
5: bad sentence 2, PPL: -1492.95862
6: good sentence 3, PPL: -291.76010
7: bad sentence 3, PPL: -312.61926
8: good sentence 4, PPL: -1291.33655
9: bad sentence 4, PPL: -1337.67334
10: good sentence 5, PPL: -858.84509
11: bad sentence 5, PPL: -847.68890
12: good sentence 6, PPL: -1188.51587
13: bad sentence 6, PPL: -1186.59839
14: good sentence 7, PPL: -1345.41956
15: bad sentence 7, PPL: -1395.15906
16: good sentence 8, PPL: -326.12231
17: bad sentence 8, PPL: -356.37540
18: good sentence 9, PPL: -1304.86243
19: bad sentence 9, PPL: -1384.48145
20: good sentence 10, PPL: -385.11420
21: bad sentence 10, PPL: -373.54785
22: good sentence 11, PPL: -1557.04102
23: bad sentence 11, PPL: -1698.77002
24: good sentence 12, PPL: -1157.91980
25: bad sentence 12, PPL: -1207.22754
26: good sentence 13, PPL: -1328.45569
27: bad sentence 13, PPL: -1423.70203
28: good sentence 14, PPL: -969.75806
29: bad sentence 14, PPL: -917.76984
30: good sentence 15, PPL: -419.22922
31: bad sentence 15, PPL: -413.08917
32: good sentence 16, PPL: -899.65253
33: bad sentence 16, PPL: -895.66925
34: good sentence 17, PPL: -790.64465
35: bad sentence 17, PPL: -908.60040
36: good sentence 18, PPL: -772.72913
37: bad sentence 18, PPL: -791.69501
38: good sentence 19, PPL: -1389.04468
39: bad sentence 19, PPL: -1476.49915
40: good sentence 20, PPL: -328.51306
41: bad sentence 20, PPL: -390.18832
42: good sentence 21, PPL: -473.83771
43: bad sentence 21, PPL: -459.36765
44: good sentence 22, PPL: -212.86378
45: bad sentence 22, PPL: -251.02458
46: good sentence 23, PPL: -1225.62012
