Anaphor
	pp_male
Model: 01-ai/Yi-6B, Accuracy: 73.80000, Average Perplexity (Good Sentences): -698.35767, Average Perplexity (Bad Sentences): -736.33740
0: good sentence 0, PPL: -369.61600
1: bad sentence 0, PPL: -384.91479
2: good sentence 1, PPL: -470.61298
3: bad sentence 1, PPL: -493.87784
4: good sentence 2, PPL: -1341.36902
5: bad sentence 2, PPL: -1435.50684
6: good sentence 3, PPL: -317.98416
7: bad sentence 3, PPL: -375.03314
8: good sentence 4, PPL: -1439.51611
9: bad sentence 4, PPL: -1320.14819
10: good sentence 5, PPL: -859.30627
11: bad sentence 5, PPL: -901.18445
12: good sentence 6, PPL: -1134.65442
13: bad sentence 6, PPL: -1209.48169
14: good sentence 7, PPL: -1357.58459
15: bad sentence 7, PPL: -1471.17200
16: good sentence 8, PPL: -326.01080
17: bad sentence 8, PPL: -298.38220
18: good sentence 9, PPL: -1381.44531
19: bad sentence 9, PPL: -1290.42065
20: good sentence 10, PPL: -327.46024
21: bad sentence 10, PPL: -336.20477
22: good sentence 11, PPL: -1286.81812
23: bad sentence 11, PPL: -1344.52673
24: good sentence 12, PPL: -1414.63428
25: bad sentence 12, PPL: -1391.95410
26: good sentence 13, PPL: -1347.45215
27: bad sentence 13, PPL: -1302.55237
28: good sentence 14, PPL: -922.71863
29: bad sentence 14, PPL: -1030.62488
30: good sentence 15, PPL: -431.41766
31: bad sentence 15, PPL: -389.60342
32: good sentence 16, PPL: -712.55432
33: bad sentence 16, PPL: -769.65564
34: good sentence 17, PPL: -1115.32434
35: bad sentence 17, PPL: -1360.79016
36: good sentence 18, PPL: -920.90332
37: bad sentence 18, PPL: -844.26611
38: good sentence 19, PPL: -1418.32080
39: bad sentence 19, PPL: -1210.21887
40: good sentence 20, PPL: -272.36664
41: bad sentence 20, PPL: -315.08664
42: good sentence 21, PPL: -489.35632
43: bad sentence 21, PPL: -461.18274
44: good sentence 22, PPL: -315.70355
45: bad sentence 22, PPL: -351.34354
46: good sentence 23, PPL: -1099.45215
47: bad sentence 23, PPL: -1061.70996
48: good sentence 24, PPL: -619.42645
49: bad sentence 24, PPL: -631.22864
50: good sentence 25, PPL: -1231.29224
51: bad sentence 25, PPL: -1370.75098
52: good sentence 26, PPL: -303.47281
53: bad sentence 26, PPL: -360.04672
54: good sentence 27, PPL: -439.86996
55: bad sentence 27, PPL: -407.35480
56: good sentence 28, PPL: -1635.64844
57: bad sentence 28, PPL: -1677.23035
58: good sentence 29, PPL: -552.94318
59: bad sentence 29, PPL: -557.03046
60: good sentence 30, PPL: -600.73431
61: bad sentence 30, PPL: -536.06403
62: good sentence 31, PPL: -798.15973
63: bad sentence 31, PPL: -871.48224
64: good sentence 32, PPL: -396.13562
65: bad sentence 32, PPL: -444.20187
66: good sentence 33, PPL: -266.15283
67: bad sentence 33, PPL: -267.42410
68: good sentence 34, PPL: -251.95827
69: bad sentence 34, PPL: -211.30305
70: good sentence 35, PPL: -313.32516
71: bad sentence 35, PPL: -338.48560
72: good sentence 36, PPL: -3411.57300
73: bad sentence 36, PPL: -3029.17798
74: good sentence 37, PPL: -839.31281
75: bad sentence 37, PPL: -843.10663
76: good sentence 38, PPL: -361.85135
77: bad sentence 38, PPL: -341.31802
78: good sentence 39, PPL: -690.62256
79: bad sentence 39, PPL: -680.51251
80: good sentence 40, PPL: -1007.79602
81: bad sentence 40, PPL: -1035.28638
82: good sentence 41, PPL: -187.85191
83: bad sentence 41, PPL: -237.25993
84: good sentence 42, PPL: -4937.79395
85: bad sentence 42, PPL: -5118.58447
86: good sentence 43, PPL: -880.51465
87: bad sentence 43, PPL: -834.68671
88: good sentence 44, PPL: -397.71341
89: bad sentence 44, PPL: -483.76334
90: good sentence 45, PPL: -1140.33826
91: bad sentence 45, PPL: -1346.66650
92: good sentence 46, PPL: -303.88446
93: bad sentence 46, PPL: -376.62918
94: good sentence 47, PPL: -3345.57104
95: bad sentence 47, PPL: -3466.56982
96: good sentence 48, PPL: -2147.54175
97: bad sentence 48, PPL: -2183.05469
98: good sentence 49, PPL: -241.05750
99: bad sentence 49, PPL: -247.43927
100: good sentence 50, PPL: -767.16077
101: bad sentence 50, PPL: -892.18842
102: good sentence 51, PPL: -3414.04639
103: bad sentence 51, PPL: -4218.54785
104: good sentence 52, PPL: -1965.46692
105: bad sentence 52, PPL: -1646.94092
106: good sentence 53, PPL: -1691.62756
107: bad sentence 53, PPL: -1951.41882
108: good sentence 54, PPL: -858.36194
109: bad sentence 54, PPL: -867.32208
110: good sentence 55, PPL: -764.77502
111: bad sentence 55, PPL: -749.96008
112: good sentence 56, PPL: -561.78387
113: bad sentence 56, PPL: -560.03412
114: good sentence 57, PPL: -1649.48425
115: bad sentence 57, PPL: -1771.14001
116: good sentence 58, PPL: -1280.00122
117: bad sentence 58, PPL: -1326.19250
118: good sentence 59, PPL: -350.04938
119: bad sentence 59, PPL: -370.34320
120: good sentence 60, PPL: -663.95770
121: bad sentence 60, PPL: -672.78766
122: good sentence 61, PPL: -2783.38501
123: bad sentence 61, PPL: -2821.51099
124: good sentence 62, PPL: -345.91772
125: bad sentence 62, PPL: -406.83554
126: good sentence 63, PPL: -1262.06177
127: bad sentence 63, PPL: -1545.35071
128: good sentence 64, PPL: -806.61261
129: bad sentence 64, PPL: -856.62457
130: good sentence 65, PPL: -288.86801
131: bad sentence 65, PPL: -303.15302
132: good sentence 66, PPL: -519.86224
133: bad sentence 66, PPL: -571.21924
134: good sentence 67, PPL: -405.44119
135: bad sentence 67, PPL: -421.85031
136: good sentence 68, PPL: -277.73755
137: bad sentence 68, PPL: -271.51651
138: good sentence 69, PPL: -585.47314
139: bad sentence 69, PPL: -609.83270
140: good sentence 70, PPL: -311.58392
141: bad sentence 70, PPL: -320.26013
142: good sentence 71, PPL: -291.33609
143: bad sentence 71, PPL: -274.77838
144: good sentence 72, PPL: -255.48088
145: bad sentence 72, PPL: -337.74039
146: good sentence 73, PPL: -806.05585
147: bad sentence 73, PPL: -1024.03235
148: good sentence 74, PPL: -2098.80835
149: bad sentence 74, PPL: -2301.83569
150: good sentence 75, PPL: -1943.10120
151: bad sentence 75, PPL: -2449.81958
152: good sentence 76, PPL: -471.09457
