Anaphor
	self_female
Model: 01-ai/Yi-6B, Accuracy: 97.20000, Average Perplexity (Good Sentences): -644.79944, Average Perplexity (Bad Sentences): -1930.70483
0: good sentence 0, PPL: -551.68347
1: bad sentence 0, PPL: -2725.62305
2: good sentence 1, PPL: -1333.27686
3: bad sentence 1, PPL: -1647.59998
4: good sentence 2, PPL: -583.89069
5: bad sentence 2, PPL: -720.36578
6: good sentence 3, PPL: -649.42792
7: bad sentence 3, PPL: -1496.24841
8: good sentence 4, PPL: -1170.18384
9: bad sentence 4, PPL: -7636.30420
10: good sentence 5, PPL: -597.29163
11: bad sentence 5, PPL: -2106.48755
12: good sentence 6, PPL: -622.29004
13: bad sentence 6, PPL: -2812.89062
14: good sentence 7, PPL: -727.44934
15: bad sentence 7, PPL: -2595.09570
16: good sentence 8, PPL: -459.63760
17: bad sentence 8, PPL: -1241.40918
18: good sentence 9, PPL: -319.76022
19: bad sentence 9, PPL: -966.21136
20: good sentence 10, PPL: -1832.99707
21: bad sentence 10, PPL: -9178.77539
22: good sentence 11, PPL: -107.79241
23: bad sentence 11, PPL: -252.30922
24: good sentence 12, PPL: -706.68134
25: bad sentence 12, PPL: -2574.74463
26: good sentence 13, PPL: -2770.82764
27: bad sentence 13, PPL: -2647.37622
28: good sentence 14, PPL: -789.73438
29: bad sentence 14, PPL: -3062.00146
30: good sentence 15, PPL: -575.34534
31: bad sentence 15, PPL: -2116.79321
32: good sentence 16, PPL: -228.86978
33: bad sentence 16, PPL: -776.39410
34: good sentence 17, PPL: -458.22198
35: bad sentence 17, PPL: -969.23236
36: good sentence 18, PPL: -729.41913
37: bad sentence 18, PPL: -1219.71362
38: good sentence 19, PPL: -110.05332
39: bad sentence 19, PPL: -288.91071
40: good sentence 20, PPL: -366.90842
41: bad sentence 20, PPL: -1505.68152
42: good sentence 21, PPL: -808.01880
43: bad sentence 21, PPL: -3435.20020
44: good sentence 22, PPL: -1004.79034
45: bad sentence 22, PPL: -1018.48462
46: good sentence 23, PPL: -636.68646
47: bad sentence 23, PPL: -3289.13281
48: good sentence 24, PPL: -848.67328
49: bad sentence 24, PPL: -5902.29688
50: good sentence 25, PPL: -666.65656
51: bad sentence 25, PPL: -3346.72632
52: good sentence 26, PPL: -1275.23242
53: bad sentence 26, PPL: -1671.12561
54: good sentence 27, PPL: -501.98975
55: bad sentence 27, PPL: -1026.28882
56: good sentence 28, PPL: -1621.70825
57: bad sentence 28, PPL: -1791.63232
58: good sentence 29, PPL: -332.25745
59: bad sentence 29, PPL: -1095.18933
60: good sentence 30, PPL: -1444.28223
61: bad sentence 30, PPL: -2395.62671
62: good sentence 31, PPL: -878.06903
63: bad sentence 31, PPL: -5560.82520
64: good sentence 32, PPL: -279.23969
65: bad sentence 32, PPL: -943.54962
66: good sentence 33, PPL: -1557.84167
67: bad sentence 33, PPL: -2339.27759
68: good sentence 34, PPL: -937.15735
69: bad sentence 34, PPL: -1086.71362
70: good sentence 35, PPL: -760.55505
71: bad sentence 35, PPL: -2026.63953
72: good sentence 36, PPL: -1443.63440
73: bad sentence 36, PPL: -1729.95325
74: good sentence 37, PPL: -3379.07935
75: bad sentence 37, PPL: -4250.06494
76: good sentence 38, PPL: -885.98901
77: bad sentence 38, PPL: -4355.63965
78: good sentence 39, PPL: -1550.10278
79: bad sentence 39, PPL: -2182.40210
80: good sentence 40, PPL: -1281.85938
81: bad sentence 40, PPL: -8071.97070
82: good sentence 41, PPL: -705.70782
83: bad sentence 41, PPL: -2723.85352
84: good sentence 42, PPL: -385.39725
85: bad sentence 42, PPL: -1529.84033
86: good sentence 43, PPL: -269.29492
87: bad sentence 43, PPL: -767.38025
88: good sentence 44, PPL: -453.74554
89: bad sentence 44, PPL: -981.71246
90: good sentence 45, PPL: -462.23245
91: bad sentence 45, PPL: -1821.13904
92: good sentence 46, PPL: -186.57765
93: bad sentence 46, PPL: -405.81622
94: good sentence 47, PPL: -838.14423
95: bad sentence 47, PPL: -2558.48560
96: good sentence 48, PPL: -1775.56677
97: bad sentence 48, PPL: -1911.15454
98: good sentence 49, PPL: -533.06665
99: bad sentence 49, PPL: -3174.82080
100: good sentence 50, PPL: -255.60909
101: bad sentence 50, PPL: -1424.97961
102: good sentence 51, PPL: -444.78815
103: bad sentence 51, PPL: -2821.37646
104: good sentence 52, PPL: -613.32782
105: bad sentence 52, PPL: -2986.52100
106: good sentence 53, PPL: -137.45708
107: bad sentence 53, PPL: -170.55188
108: good sentence 54, PPL: -1971.78540
109: bad sentence 54, PPL: -12440.44336
110: good sentence 55, PPL: -315.44006
111: bad sentence 55, PPL: -1319.88306
