Anaphor
	self_male
Model: 01-ai/Yi-6B, Accuracy: 21.00000, Average Perplexity (Good Sentences): -1876.18713, Average Perplexity (Bad Sentences): -916.19702
0: good sentence 0, PPL: -2703.52271
1: bad sentence 0, PPL: -904.74481
2: good sentence 1, PPL: -1498.67749
3: bad sentence 1, PPL: -2072.19751
4: good sentence 2, PPL: -689.94482
5: bad sentence 2, PPL: -748.17981
6: good sentence 3, PPL: -1817.31763
7: bad sentence 3, PPL: -908.44360
8: good sentence 4, PPL: -5683.78857
9: bad sentence 4, PPL: -1496.96411
10: good sentence 5, PPL: -2767.68359
11: bad sentence 5, PPL: -786.85211
12: good sentence 6, PPL: -2967.51172
13: bad sentence 6, PPL: -859.58582
14: good sentence 7, PPL: -2336.97314
15: bad sentence 7, PPL: -1221.90430
16: good sentence 8, PPL: -1327.85986
17: bad sentence 8, PPL: -683.12189
18: good sentence 9, PPL: -1085.07422
19: bad sentence 9, PPL: -510.76370
20: good sentence 10, PPL: -10213.44824
21: bad sentence 10, PPL: -3444.01733
22: good sentence 11, PPL: -195.23479
23: bad sentence 11, PPL: -163.09683
24: good sentence 12, PPL: -1965.39014
25: bad sentence 12, PPL: -702.18359
26: good sentence 13, PPL: -3581.49512
27: bad sentence 13, PPL: -5291.45117
28: good sentence 14, PPL: -3430.99951
29: bad sentence 14, PPL: -926.62561
30: good sentence 15, PPL: -2585.71924
31: bad sentence 15, PPL: -1043.48242
32: good sentence 16, PPL: -803.44220
33: bad sentence 16, PPL: -294.26935
34: good sentence 17, PPL: -1168.06543
35: bad sentence 17, PPL: -661.36102
36: good sentence 18, PPL: -845.98602
37: bad sentence 18, PPL: -799.87415
38: good sentence 19, PPL: -304.52420
39: bad sentence 19, PPL: -158.08099
40: good sentence 20, PPL: -1502.70911
41: bad sentence 20, PPL: -597.93054
42: good sentence 21, PPL: -3694.88770
43: bad sentence 21, PPL: -1115.31531
44: good sentence 22, PPL: -1161.72083
45: bad sentence 22, PPL: -1151.97534
46: good sentence 23, PPL: -3047.15649
47: bad sentence 23, PPL: -1172.14233
48: good sentence 24, PPL: -5409.93896
49: bad sentence 24, PPL: -1054.66357
50: good sentence 25, PPL: -3821.96851
51: bad sentence 25, PPL: -965.12189
52: good sentence 26, PPL: -1550.96704
53: bad sentence 26, PPL: -1997.78796
54: good sentence 27, PPL: -976.10730
55: bad sentence 27, PPL: -585.02551
56: good sentence 28, PPL: -1772.01941
57: bad sentence 28, PPL: -1998.43384
58: good sentence 29, PPL: -849.65887
59: bad sentence 29, PPL: -485.55762
60: good sentence 30, PPL: -1140.35986
61: bad sentence 30, PPL: -1869.18530
62: good sentence 31, PPL: -5970.93750
63: bad sentence 31, PPL: -1148.40430
64: good sentence 32, PPL: -1091.30872
65: bad sentence 32, PPL: -402.80255
66: good sentence 33, PPL: -1201.14563
67: bad sentence 33, PPL: -1147.62317
68: good sentence 34, PPL: -924.68927
69: bad sentence 34, PPL: -997.64679
70: good sentence 35, PPL: -2242.20093
71: bad sentence 35, PPL: -884.81866
72: good sentence 36, PPL: -1989.94434
73: bad sentence 36, PPL: -2157.87646
