Aspect
	temporal_guo
Model: 01-ai/Yi-6B, Accuracy: 92.10000, Average Perplexity (Good Sentences): -770.26514, Average Perplexity (Bad Sentences): -1583.88086
0: good sentence 0, PPL: -1018.53027
1: bad sentence 0, PPL: -1277.56824
2: good sentence 1, PPL: -379.91519
3: bad sentence 1, PPL: -780.17389
4: good sentence 2, PPL: -1390.30310
5: bad sentence 2, PPL: -1868.01355
6: good sentence 3, PPL: -3065.15381
7: bad sentence 3, PPL: -3800.89014
8: good sentence 4, PPL: -709.41467
9: bad sentence 4, PPL: -2529.16211
10: good sentence 5, PPL: -1439.41248
11: bad sentence 5, PPL: -2962.51416
12: good sentence 6, PPL: -774.71216
13: bad sentence 6, PPL: -1921.06433
14: good sentence 7, PPL: -13199.96387
15: bad sentence 7, PPL: -14428.05762
16: good sentence 8, PPL: -528.24939
17: bad sentence 8, PPL: -813.69904
18: good sentence 9, PPL: -1563.32971
19: bad sentence 9, PPL: -7045.82422
20: good sentence 10, PPL: -1287.59521
21: bad sentence 10, PPL: -2185.68774
22: good sentence 11, PPL: -2467.34351
23: bad sentence 11, PPL: -3567.73291
24: good sentence 12, PPL: -66.10999
25: bad sentence 12, PPL: -92.13667
26: good sentence 13, PPL: -66.02859
27: bad sentence 13, PPL: -114.45901
28: good sentence 14, PPL: -2917.05469
29: bad sentence 14, PPL: -9111.95020
30: good sentence 15, PPL: -302.63220
31: bad sentence 15, PPL: -1303.75049
32: good sentence 16, PPL: -2751.22559
33: bad sentence 16, PPL: -8577.35547
34: good sentence 17, PPL: -496.46967
35: bad sentence 17, PPL: -708.54852
36: good sentence 18, PPL: -1856.24841
37: bad sentence 18, PPL: -4958.32568
38: good sentence 19, PPL: -702.86835
39: bad sentence 19, PPL: -1701.88000
40: good sentence 20, PPL: -826.87872
41: bad sentence 20, PPL: -1286.53040
42: good sentence 21, PPL: -1017.75928
43: bad sentence 21, PPL: -3141.42603
44: good sentence 22, PPL: -874.44812
45: bad sentence 22, PPL: -2877.13721
46: good sentence 23, PPL: -4397.38916
47: bad sentence 23, PPL: -2767.44458
48: good sentence 24, PPL: -701.37878
49: bad sentence 24, PPL: -824.71344
50: good sentence 25, PPL: -1058.45422
51: bad sentence 25, PPL: -3956.60693
52: good sentence 26, PPL: -1145.99097
53: bad sentence 26, PPL: -5684.59668
54: good sentence 27, PPL: -207.93112
55: bad sentence 27, PPL: -606.08435
56: good sentence 28, PPL: -1176.46753
57: bad sentence 28, PPL: -2995.18628
58: good sentence 29, PPL: -730.98041
59: bad sentence 29, PPL: -1290.33020
