Aspect
	zai_guo
Model: 01-ai/Yi-6B, Accuracy: 79.40000, Average Perplexity (Good Sentences): -515.36530, Average Perplexity (Bad Sentences): -795.09424
0: good sentence 0, PPL: -2424.50513
1: bad sentence 0, PPL: -1072.88696
2: good sentence 1, PPL: -1238.46240
3: bad sentence 1, PPL: -1318.95142
4: good sentence 2, PPL: -390.40161
5: bad sentence 2, PPL: -1516.07874
6: good sentence 3, PPL: -271.81772
7: bad sentence 3, PPL: -557.06342
8: good sentence 4, PPL: -359.60098
9: bad sentence 4, PPL: -625.37781
10: good sentence 5, PPL: -443.08914
11: bad sentence 5, PPL: -570.98315
12: good sentence 6, PPL: -326.06851
13: bad sentence 6, PPL: -514.74390
14: good sentence 7, PPL: -193.65700
15: bad sentence 7, PPL: -297.37854
16: good sentence 8, PPL: -80.37231
17: bad sentence 8, PPL: -106.32462
18: good sentence 9, PPL: -152.05226
19: bad sentence 9, PPL: -158.44072
20: good sentence 10, PPL: -20392.33789
21: bad sentence 10, PPL: -7019.03076
22: good sentence 11, PPL: -171.37466
23: bad sentence 11, PPL: -242.03708
24: good sentence 12, PPL: -357.79306
25: bad sentence 12, PPL: -1600.61816
26: good sentence 13, PPL: -53.53037
27: bad sentence 13, PPL: -54.01188
28: good sentence 14, PPL: -3338.20557
29: bad sentence 14, PPL: -3452.68945
30: good sentence 15, PPL: -200.53239
31: bad sentence 15, PPL: -330.69220
32: good sentence 16, PPL: -260.75778
33: bad sentence 16, PPL: -474.18893
34: good sentence 17, PPL: -252.55176
35: bad sentence 17, PPL: -380.86768
36: good sentence 18, PPL: -8497.27344
37: bad sentence 18, PPL: -6320.63232
38: good sentence 19, PPL: -1720.16797
39: bad sentence 19, PPL: -3456.11572
40: good sentence 20, PPL: -452.93402
41: bad sentence 20, PPL: -863.22589
42: good sentence 21, PPL: -243.98473
43: bad sentence 21, PPL: -272.73782
44: good sentence 22, PPL: -211.28854
45: bad sentence 22, PPL: -329.40939
46: good sentence 23, PPL: -711.35260
47: bad sentence 23, PPL: -767.74005
48: good sentence 24, PPL: -128.74368
49: bad sentence 24, PPL: -206.46907
50: good sentence 25, PPL: -71.08572
51: bad sentence 25, PPL: -161.51155
52: good sentence 26, PPL: -344.81039
53: bad sentence 26, PPL: -379.66113
54: good sentence 27, PPL: -66.96696
55: bad sentence 27, PPL: -85.74435
56: good sentence 28, PPL: -330.15112
57: bad sentence 28, PPL: -1240.16675
58: good sentence 29, PPL: -1062.08777
59: bad sentence 29, PPL: -1566.76697
60: good sentence 30, PPL: -439.82532
61: bad sentence 30, PPL: -1119.53418
62: good sentence 31, PPL: -258.16931
63: bad sentence 31, PPL: -431.67712
64: good sentence 32, PPL: -476.70041
65: bad sentence 32, PPL: -418.32083
66: good sentence 33, PPL: -78.95261
67: bad sentence 33, PPL: -173.97227
68: good sentence 34, PPL: -317.22192
69: bad sentence 34, PPL: -1456.93970
70: good sentence 35, PPL: -202.93405
71: bad sentence 35, PPL: -827.20679
72: good sentence 36, PPL: -256.85800
73: bad sentence 36, PPL: -344.32770
74: good sentence 37, PPL: -167.65306
75: bad sentence 37, PPL: -163.41898
76: good sentence 38, PPL: -165.38979
77: bad sentence 38, PPL: -273.85684
78: good sentence 39, PPL: -411.89429
79: bad sentence 39, PPL: -727.52045
80: good sentence 40, PPL: -145.30141
81: bad sentence 40, PPL: -138.58116
82: good sentence 41, PPL: -2182.51758
83: bad sentence 41, PPL: -1726.48950
84: good sentence 42, PPL: -617.03650
85: bad sentence 42, PPL: -886.32666
86: good sentence 43, PPL: -442.31210
87: bad sentence 43, PPL: -1051.83203
88: good sentence 44, PPL: -565.78351
89: bad sentence 44, PPL: -653.94000
90: good sentence 45, PPL: -446.29678
91: bad sentence 45, PPL: -709.96289
92: good sentence 46, PPL: -1185.63916
93: bad sentence 46, PPL: -1098.04175
94: good sentence 47, PPL: -154.78012
95: bad sentence 47, PPL: -463.31900
96: good sentence 48, PPL: -139.77393
97: bad sentence 48, PPL: -226.96442
98: good sentence 49, PPL: -2604.78198
99: bad sentence 49, PPL: -2383.75781
100: good sentence 50, PPL: -2729.05249
101: bad sentence 50, PPL: -4272.72607
102: good sentence 51, PPL: -304.96609
103: bad sentence 51, PPL: -471.36804
104: good sentence 52, PPL: -797.38593
105: bad sentence 52, PPL: -530.17651
106: good sentence 53, PPL: -157.66017
107: bad sentence 53, PPL: -269.50931
108: good sentence 54, PPL: -305.15955
109: bad sentence 54, PPL: -315.95462
110: good sentence 55, PPL: -705.25665
111: bad sentence 55, PPL: -1376.29443
112: good sentence 56, PPL: -404.62460
113: bad sentence 56, PPL: -4131.95410
114: good sentence 57, PPL: -1138.20703
115: bad sentence 57, PPL: -1679.83154
116: good sentence 58, PPL: -1205.14966
117: bad sentence 58, PPL: -2343.45972
118: good sentence 59, PPL: -187.09813
119: bad sentence 59, PPL: -179.81737
120: good sentence 60, PPL: -520.35925
121: bad sentence 60, PPL: -1723.25317
122: good sentence 61, PPL: -1499.34290
123: bad sentence 61, PPL: -2180.67114
124: good sentence 62, PPL: -142.99301
125: bad sentence 62, PPL: -187.74104
126: good sentence 63, PPL: -792.16248
127: bad sentence 63, PPL: -1975.36719
128: good sentence 64, PPL: -133.67603
129: bad sentence 64, PPL: -580.41577
130: good sentence 65, PPL: -431.36255
131: bad sentence 65, PPL: -500.90973
132: good sentence 66, PPL: -203.64816
133: bad sentence 66, PPL: -369.43521
134: good sentence 67, PPL: -116.22157
135: bad sentence 67, PPL: -170.11783
136: good sentence 68, PPL: -1135.85291
137: bad sentence 68, PPL: -1084.56116
138: good sentence 69, PPL: -217.48599
139: bad sentence 69, PPL: -713.78339
140: good sentence 70, PPL: -154.84140
141: bad sentence 70, PPL: -254.04655
142: good sentence 71, PPL: -306.09589
143: bad sentence 71, PPL: -748.70660
144: good sentence 72, PPL: -2351.87598
145: bad sentence 72, PPL: -2830.17383
146: good sentence 73, PPL: -571.14648
147: bad sentence 73, PPL: -1091.77356
148: good sentence 74, PPL: -457.32309
149: bad sentence 74, PPL: -246.87134
150: good sentence 75, PPL: -1124.36731
151: bad sentence 75, PPL: -2015.39709
152: good sentence 76, PPL: -276.69354
153: bad sentence 76, PPL: -1027.41443
154: good sentence 77, PPL: -290.48685
155: bad sentence 77, PPL: -422.64423
156: good sentence 78, PPL: -133.64696
157: bad sentence 78, PPL: -615.93176
158: good sentence 79, PPL: -224.90157
159: bad sentence 79, PPL: -442.28723
160: good sentence 80, PPL: -297.94745
161: bad sentence 80, PPL: -564.83545
162: good sentence 81, PPL: -3384.71387
163: bad sentence 81, PPL: -2866.37671
164: good sentence 82, PPL: -327.13092
165: bad sentence 82, PPL: -3402.26758
166: good sentence 83, PPL: -802.46967
167: bad sentence 83, PPL: -1295.42188
168: good sentence 84, PPL: -358.64954
169: bad sentence 84, PPL: -478.57736
170: good sentence 85, PPL: -1195.80408
171: bad sentence 85, PPL: -872.72601
172: good sentence 86, PPL: -332.43542
173: bad sentence 86, PPL: -965.25122
174: good sentence 87, PPL: -770.41125
175: bad sentence 87, PPL: -2292.95557
176: good sentence 88, PPL: -155.74672
177: bad sentence 88, PPL: -284.19391
178: good sentence 89, PPL: -132.87332
179: bad sentence 89, PPL: -303.39786
180: good sentence 90, PPL: -94.72652
181: bad sentence 90, PPL: -221.32961
182: good sentence 91, PPL: -279.52106
183: bad sentence 91, PPL: -483.23654
184: good sentence 92, PPL: -3626.15308
185: bad sentence 92, PPL: -4018.37769
186: good sentence 93, PPL: -653.43689
187: bad sentence 93, PPL: -574.13208
188: good sentence 94, PPL: -361.38989
189: bad sentence 94, PPL: -556.69403
190: good sentence 95, PPL: -344.73068
191: bad sentence 95, PPL: -1522.65356
192: good sentence 96, PPL: -384.89151
193: bad sentence 96, PPL: -562.73322
194: good sentence 97, PPL: -379.56555
195: bad sentence 97, PPL: -420.56693
196: good sentence 98, PPL: -634.16559
197: bad sentence 98, PPL: -367.21878
198: good sentence 99, PPL: -450.37250
199: bad sentence 99, PPL: -489.03348
200: good sentence 100, PPL: -120.28324
201: bad sentence 100, PPL: -467.35764
202: good sentence 101, PPL: -1472.98938
203: bad sentence 101, PPL: -1095.89551
204: good sentence 102, PPL: -74.07259
205: bad sentence 102, PPL: -147.06882
206: good sentence 103, PPL: -221.19446
207: bad sentence 103, PPL: -214.01180
208: good sentence 104, PPL: -334.73184
209: bad sentence 104, PPL: -1206.00549
210: good sentence 105, PPL: -785.09998
211: bad sentence 105, PPL: -1859.20374
212: good sentence 106, PPL: -57.97264
213: bad sentence 106, PPL: -63.58315
214: good sentence 107, PPL: -132.73015
215: bad sentence 107, PPL: -132.33226
216: good sentence 108, PPL: -325.71405
217: bad sentence 108, PPL: -443.11197
218: good sentence 109, PPL: -384.39133
219: bad sentence 109, PPL: -446.97528
220: good sentence 110, PPL: -276.26190
221: bad sentence 110, PPL: -3793.61816
222: good sentence 111, PPL: -488.65842
223: bad sentence 111, PPL: -570.28467
224: good sentence 112, PPL: -555.62317
225: bad sentence 112, PPL: -2364.19702
226: good sentence 113, PPL: -94.18150
227: bad sentence 113, PPL: -200.98692
228: good sentence 114, PPL: -231.29791
229: bad sentence 114, PPL: -1390.74988
230: good sentence 115, PPL: -363.05563
231: bad sentence 115, PPL: -581.25275
232: good sentence 116, PPL: -753.97168
233: bad sentence 116, PPL: -1359.72180
234: good sentence 117, PPL: -291.87311
235: bad sentence 117, PPL: -178.71442
236: good sentence 118, PPL: -118.53989
237: bad sentence 118, PPL: -206.49525
238: good sentence 119, PPL: -91.14983
239: bad sentence 119, PPL: -283.27563
240: good sentence 120, PPL: -81.62471
241: bad sentence 120, PPL: -213.84451
242: good sentence 121, PPL: -114.28423
243: bad sentence 121, PPL: -192.79707
244: good sentence 122, PPL: -347.23022
245: bad sentence 122, PPL: -722.98285
246: good sentence 123, PPL: -518.37402
247: bad sentence 123, PPL: -804.70898
248: good sentence 124, PPL: -1023.53333
249: bad sentence 124, PPL: -1173.86340
250: good sentence 125, PPL: -476.10568
251: bad sentence 125, PPL: -1202.91614
252: good sentence 126, PPL: -5984.07764
253: bad sentence 126, PPL: -4657.36084
254: good sentence 127, PPL: -46.15202
255: bad sentence 127, PPL: -83.06769
256: good sentence 128, PPL: -386.37912
257: bad sentence 128, PPL: -947.10577
258: good sentence 129, PPL: -433.22906
259: bad sentence 129, PPL: -437.06332
260: good sentence 130, PPL: -857.79730
261: bad sentence 130, PPL: -2196.16626
262: good sentence 131, PPL: -480.52310
263: bad sentence 131, PPL: -582.11096
264: good sentence 132, PPL: -601.63330
265: bad sentence 132, PPL: -975.12067
266: good sentence 133, PPL: -120.02444
267: bad sentence 133, PPL: -1078.79980
268: good sentence 134, PPL: -670.97339
269: bad sentence 134, PPL: -1334.66675
270: good sentence 135, PPL: -257.20926
271: bad sentence 135, PPL: -435.89032
272: good sentence 136, PPL: -81.81796
273: bad sentence 136, PPL: -147.83589
274: good sentence 137, PPL: -75.32806
275: bad sentence 137, PPL: -120.70382
276: good sentence 138, PPL: -151.37434
277: bad sentence 138, PPL: -252.83804
278: good sentence 139, PPL: -167.34030
279: bad sentence 139, PPL: -241.25435
280: good sentence 140, PPL: -217.07063
281: bad sentence 140, PPL: -268.67859
282: good sentence 141, PPL: -288.31274
283: bad sentence 141, PPL: -334.59634
284: good sentence 142, PPL: -232.84015
285: bad sentence 142, PPL: -304.44260
286: good sentence 143, PPL: -179.59526
287: bad sentence 143, PPL: -195.00870
288: good sentence 144, PPL: -1179.03333
289: bad sentence 144, PPL: -2035.06250
290: good sentence 145, PPL: -1507.70679
291: bad sentence 145, PPL: -2314.01270
292: good sentence 146, PPL: -115.70169
293: bad sentence 146, PPL: -343.52084
294: good sentence 147, PPL: -595.75507
295: bad sentence 147, PPL: -473.48535
296: good sentence 148, PPL: -1607.41541
297: bad sentence 148, PPL: -5954.61133
298: good sentence 149, PPL: -258.75879
299: bad sentence 149, PPL: -385.60297
300: good sentence 150, PPL: -1021.30292
301: bad sentence 150, PPL: -3795.01880
302: good sentence 151, PPL: -285.40948
303: bad sentence 151, PPL: -386.72250
