Classifier-Noun
	cl_adj_comp_noun_v2
Model: 01-ai/Yi-6B, Accuracy: 76.80000, Average Perplexity (Good Sentences): -324.80441, Average Perplexity (Bad Sentences): -470.79117
0: good sentence 0, PPL: -111.77516
1: bad sentence 0, PPL: -463.44165
2: good sentence 1, PPL: -134.20523
3: bad sentence 1, PPL: -142.49770
4: good sentence 2, PPL: -379.83987
5: bad sentence 2, PPL: -285.23764
6: good sentence 3, PPL: -126.42054
7: bad sentence 3, PPL: -122.75661
8: good sentence 4, PPL: -393.51630
9: bad sentence 4, PPL: -596.70636
10: good sentence 5, PPL: -520.15405
11: bad sentence 5, PPL: -656.80658
12: good sentence 6, PPL: -274.53738
13: bad sentence 6, PPL: -404.58890
14: good sentence 7, PPL: -271.71106
15: bad sentence 7, PPL: -591.89929
16: good sentence 8, PPL: -178.94618
17: bad sentence 8, PPL: -306.16083
18: good sentence 9, PPL: -195.07176
19: bad sentence 9, PPL: -212.57866
20: good sentence 10, PPL: -187.37883
21: bad sentence 10, PPL: -356.64639
22: good sentence 11, PPL: -395.38663
23: bad sentence 11, PPL: -688.22302
24: good sentence 12, PPL: -447.27014
25: bad sentence 12, PPL: -356.47635
26: good sentence 13, PPL: -123.83024
27: bad sentence 13, PPL: -147.90089
28: good sentence 14, PPL: -303.01297
29: bad sentence 14, PPL: -600.66986
30: good sentence 15, PPL: -100.36942
31: bad sentence 15, PPL: -225.63466
32: good sentence 16, PPL: -141.53297
33: bad sentence 16, PPL: -148.07527
34: good sentence 17, PPL: -67.79338
35: bad sentence 17, PPL: -98.39755
36: good sentence 18, PPL: -148.95276
37: bad sentence 18, PPL: -443.73129
38: good sentence 19, PPL: -265.45230
39: bad sentence 19, PPL: -300.44910
40: good sentence 20, PPL: -451.97330
41: bad sentence 20, PPL: -586.87628
42: good sentence 21, PPL: -470.05969
43: bad sentence 21, PPL: -1155.57886
44: good sentence 22, PPL: -430.12585
45: bad sentence 22, PPL: -594.00458
46: good sentence 23, PPL: -248.46825
47: bad sentence 23, PPL: -408.89999
48: good sentence 24, PPL: -314.14304
49: bad sentence 24, PPL: -380.96829
50: good sentence 25, PPL: -291.93546
51: bad sentence 25, PPL: -436.51450
52: good sentence 26, PPL: -237.28006
53: bad sentence 26, PPL: -202.28529
54: good sentence 27, PPL: -139.45131
55: bad sentence 27, PPL: -481.93616
56: good sentence 28, PPL: -1107.49951
57: bad sentence 28, PPL: -1061.53784
58: good sentence 29, PPL: -310.76324
59: bad sentence 29, PPL: -497.24820
60: good sentence 30, PPL: -513.18866
61: bad sentence 30, PPL: -451.84787
62: good sentence 31, PPL: -204.35283
63: bad sentence 31, PPL: -252.91197
64: good sentence 32, PPL: -386.10086
65: bad sentence 32, PPL: -547.61005
66: good sentence 33, PPL: -31.23291
67: bad sentence 33, PPL: -56.12700
68: good sentence 34, PPL: -394.32980
69: bad sentence 34, PPL: -299.15009
70: good sentence 35, PPL: -241.79713
71: bad sentence 35, PPL: -387.84937
72: good sentence 36, PPL: -402.07758
73: bad sentence 36, PPL: -673.86713
74: good sentence 37, PPL: -153.28589
75: bad sentence 37, PPL: -663.30206
76: good sentence 38, PPL: -170.37209
77: bad sentence 38, PPL: -545.11682
78: good sentence 39, PPL: -106.17216
79: bad sentence 39, PPL: -225.62660
80: good sentence 40, PPL: -365.66156
81: bad sentence 40, PPL: -474.50696
82: good sentence 41, PPL: -101.60133
83: bad sentence 41, PPL: -223.56610
84: good sentence 42, PPL: -154.64482
85: bad sentence 42, PPL: -177.44739
86: good sentence 43, PPL: -556.16071
87: bad sentence 43, PPL: -747.39038
88: good sentence 44, PPL: -203.33719
89: bad sentence 44, PPL: -306.05969
90: good sentence 45, PPL: -163.69685
91: bad sentence 45, PPL: -137.38802
92: good sentence 46, PPL: -1124.66492
93: bad sentence 46, PPL: -883.86945
94: good sentence 47, PPL: -889.41974
95: bad sentence 47, PPL: -628.15692
96: good sentence 48, PPL: -150.84071
