Classifier-Noun
	cl_comp_noun_v2
Model: 01-ai/Yi-6B, Accuracy: 78.20000, Average Perplexity (Good Sentences): -792.46246, Average Perplexity (Bad Sentences): -1709.75623
0: good sentence 0, PPL: -56.73190
1: bad sentence 0, PPL: -1318.59802
2: good sentence 1, PPL: -555.21399
3: bad sentence 1, PPL: -634.57031
4: good sentence 2, PPL: -603.18396
5: bad sentence 2, PPL: -778.19092
6: good sentence 3, PPL: -503.05875
7: bad sentence 3, PPL: -1420.75342
8: good sentence 4, PPL: -755.10968
9: bad sentence 4, PPL: -1510.83081
10: good sentence 5, PPL: -2456.78345
11: bad sentence 5, PPL: -3688.78638
12: good sentence 6, PPL: -311.39499
13: bad sentence 6, PPL: -2223.74365
14: good sentence 7, PPL: -6839.89258
15: bad sentence 7, PPL: -15050.31152
16: good sentence 8, PPL: -94.39861
17: bad sentence 8, PPL: -944.31976
18: good sentence 9, PPL: -153.48936
19: bad sentence 9, PPL: -242.58116
20: good sentence 10, PPL: -348.57028
21: bad sentence 10, PPL: -1670.44849
22: good sentence 11, PPL: -1158.44556
23: bad sentence 11, PPL: -4461.45703
24: good sentence 12, PPL: -940.78485
25: bad sentence 12, PPL: -1057.49011
26: good sentence 13, PPL: -104.58311
27: bad sentence 13, PPL: -131.99995
28: good sentence 14, PPL: -953.26398
29: bad sentence 14, PPL: -1917.74365
30: good sentence 15, PPL: -426.59241
31: bad sentence 15, PPL: -2375.52124
32: good sentence 16, PPL: -879.00153
33: bad sentence 16, PPL: -1866.95935
34: good sentence 17, PPL: -30.62966
35: bad sentence 17, PPL: -86.74507
36: good sentence 18, PPL: -217.44212
37: bad sentence 18, PPL: -923.15082
38: good sentence 19, PPL: -1400.98218
39: bad sentence 19, PPL: -505.17096
40: good sentence 20, PPL: -1425.03064
41: bad sentence 20, PPL: -4950.27002
42: good sentence 21, PPL: -3074.47510
43: bad sentence 21, PPL: -9729.14551
44: good sentence 22, PPL: -993.53748
45: bad sentence 22, PPL: -1589.14612
46: good sentence 23, PPL: -819.73376
47: bad sentence 23, PPL: -1364.57642
48: good sentence 24, PPL: -490.87006
49: bad sentence 24, PPL: -333.41141
50: good sentence 25, PPL: -632.39240
51: bad sentence 25, PPL: -721.74835
52: good sentence 26, PPL: -763.71234
53: bad sentence 26, PPL: -1553.81323
54: good sentence 27, PPL: -142.78867
55: bad sentence 27, PPL: -546.64758
56: good sentence 28, PPL: -2233.33911
57: bad sentence 28, PPL: -4440.41162
58: good sentence 29, PPL: -549.94604
59: bad sentence 29, PPL: -1440.01514
60: good sentence 30, PPL: -2129.17993
61: bad sentence 30, PPL: -4444.27539
62: good sentence 31, PPL: -162.74374
63: bad sentence 31, PPL: -220.90173
64: good sentence 32, PPL: -699.31299
65: bad sentence 32, PPL: -1612.21155
66: good sentence 33, PPL: -13.75162
67: bad sentence 33, PPL: -54.58236
68: good sentence 34, PPL: -220.14893
69: bad sentence 34, PPL: -441.39432
70: good sentence 35, PPL: -260.42587
71: bad sentence 35, PPL: -761.94568
72: good sentence 36, PPL: -261.59943
73: bad sentence 36, PPL: -4145.02539
74: good sentence 37, PPL: -374.62006
75: bad sentence 37, PPL: -6101.41650
76: good sentence 38, PPL: -198.02779
77: bad sentence 38, PPL: -1164.00549
78: good sentence 39, PPL: -360.63763
79: bad sentence 39, PPL: -704.39294
80: good sentence 40, PPL: -333.09216
81: bad sentence 40, PPL: -3218.66260
82: good sentence 41, PPL: -277.02518
83: bad sentence 41, PPL: -770.33777
84: good sentence 42, PPL: -158.05362
85: bad sentence 42, PPL: -469.88535
86: good sentence 43, PPL: -2231.34766
87: bad sentence 43, PPL: -3247.51001
88: good sentence 44, PPL: -486.80417
89: bad sentence 44, PPL: -924.42212
90: good sentence 45, PPL: -342.49561
91: bad sentence 45, PPL: -133.09216
92: good sentence 46, PPL: -3276.35962
93: bad sentence 46, PPL: -3100.93286
94: good sentence 47, PPL: -6461.26611
95: bad sentence 47, PPL: -8374.50781
96: good sentence 48, PPL: -409.07455
97: bad sentence 48, PPL: -369.11951
98: good sentence 49, PPL: -927.91144
99: bad sentence 49, PPL: -1624.18616
100: good sentence 50, PPL: -187.80873
101: bad sentence 50, PPL: -129.81976
102: good sentence 51, PPL: -536.21204
103: bad sentence 51, PPL: -1771.44238
104: good sentence 52, PPL: -416.65897
105: bad sentence 52, PPL: -989.13385
106: good sentence 53, PPL: -145.67604
107: bad sentence 53, PPL: -450.36887
108: good sentence 54, PPL: -241.82932
109: bad sentence 54, PPL: -1205.84570
110: good sentence 55, PPL: -752.77972
111: bad sentence 55, PPL: -3385.65991
112: good sentence 56, PPL: -83.75969
113: bad sentence 56, PPL: -397.21497
114: good sentence 57, PPL: -85.70380
115: bad sentence 57, PPL: -269.74637
116: good sentence 58, PPL: -87.21574
117: bad sentence 58, PPL: -419.02234
118: good sentence 59, PPL: -297.33786
119: bad sentence 59, PPL: -844.65387
120: good sentence 60, PPL: -1700.06897
121: bad sentence 60, PPL: -2114.82886
122: good sentence 61, PPL: -765.59668
123: bad sentence 61, PPL: -918.01538
124: good sentence 62, PPL: -170.70874
125: bad sentence 62, PPL: -506.06110
126: good sentence 63, PPL: -328.95230
127: bad sentence 63, PPL: -849.31696
128: good sentence 64, PPL: -97.72413
129: bad sentence 64, PPL: -213.99345
130: good sentence 65, PPL: -149.83409
131: bad sentence 65, PPL: -466.75543
132: good sentence 66, PPL: -177.45087
133: bad sentence 66, PPL: -1317.02698
134: good sentence 67, PPL: -667.33875
135: bad sentence 67, PPL: -1804.38367
136: good sentence 68, PPL: -716.09711
137: bad sentence 68, PPL: -4082.99341
138: good sentence 69, PPL: -294.96881
139: bad sentence 69, PPL: -1487.45935
140: good sentence 70, PPL: -1411.91174
141: bad sentence 70, PPL: -10107.94434
142: good sentence 71, PPL: -104.89420
143: bad sentence 71, PPL: -803.16559
144: good sentence 72, PPL: -757.08826
145: bad sentence 72, PPL: -1537.11597
146: good sentence 73, PPL: -151.66963
147: bad sentence 73, PPL: -701.65009
148: good sentence 74, PPL: -120.50708
149: bad sentence 74, PPL: -2783.28589
150: good sentence 75, PPL: -152.54726
151: bad sentence 75, PPL: -1928.54541
152: good sentence 76, PPL: -305.44064
153: bad sentence 76, PPL: -637.51978
154: good sentence 77, PPL: -3731.39307
155: bad sentence 77, PPL: -371.73703
156: good sentence 78, PPL: -612.25073
157: bad sentence 78, PPL: -3907.90161
158: good sentence 79, PPL: -271.46967
159: bad sentence 79, PPL: -956.95111
160: good sentence 80, PPL: -294.22543
161: bad sentence 80, PPL: -287.46933
162: good sentence 81, PPL: -239.49095
