Classifier-Noun
	dem_cl_swap
Model: 01-ai/Yi-6B, Accuracy: 92.70000, Average Perplexity (Good Sentences): -226.15083, Average Perplexity (Bad Sentences): -792.97766
0: good sentence 0, PPL: -36.54731
1: bad sentence 0, PPL: -144.71478
2: good sentence 1, PPL: -233.70488
3: bad sentence 1, PPL: -17562.51953
4: good sentence 2, PPL: -157.58757
5: bad sentence 2, PPL: -3840.49292
6: good sentence 3, PPL: -187.90073
7: bad sentence 3, PPL: -436.66296
8: good sentence 4, PPL: -38.43045
9: bad sentence 4, PPL: -216.02298
10: good sentence 5, PPL: -83.21350
11: bad sentence 5, PPL: -183.18690
12: good sentence 6, PPL: -642.37750
13: bad sentence 6, PPL: -112.99165
14: good sentence 7, PPL: -1723.46277
15: bad sentence 7, PPL: -3391.31177
16: good sentence 8, PPL: -1446.52417
17: bad sentence 8, PPL: -1395.14172
18: good sentence 9, PPL: -403.37552
19: bad sentence 9, PPL: -4442.05078
20: good sentence 10, PPL: -464.70056
21: bad sentence 10, PPL: -5893.25879
22: good sentence 11, PPL: -80.38833
23: bad sentence 11, PPL: -618.59406
24: good sentence 12, PPL: -57.00867
25: bad sentence 12, PPL: -552.81952
26: good sentence 13, PPL: -43.96318
27: bad sentence 13, PPL: -485.49927
28: good sentence 14, PPL: -32.19530
29: bad sentence 14, PPL: -687.50769
30: good sentence 15, PPL: -556.30713
31: bad sentence 15, PPL: -942.62451
32: good sentence 16, PPL: -888.13190
33: bad sentence 16, PPL: -2140.37646
34: good sentence 17, PPL: -329.24731
35: bad sentence 17, PPL: -451.51447
36: good sentence 18, PPL: -64.53051
37: bad sentence 18, PPL: -630.12396
38: good sentence 19, PPL: -30.51162
39: bad sentence 19, PPL: -151.00977
40: good sentence 20, PPL: -74.00520
41: bad sentence 20, PPL: -539.75757
42: good sentence 21, PPL: -4693.66943
43: bad sentence 21, PPL: -3657.54346
44: good sentence 22, PPL: -75.46809
45: bad sentence 22, PPL: -162.86385
46: good sentence 23, PPL: -112.11236
47: bad sentence 23, PPL: -299.13980
48: good sentence 24, PPL: -163.09886
49: bad sentence 24, PPL: -237.62111
50: good sentence 25, PPL: -1307.33557
51: bad sentence 25, PPL: -1664.83521
52: good sentence 26, PPL: -693.01349
53: bad sentence 26, PPL: -540.71918
54: good sentence 27, PPL: -323.59674
55: bad sentence 27, PPL: -1001.53766
56: good sentence 28, PPL: -163.26126
57: bad sentence 28, PPL: -453.77365
58: good sentence 29, PPL: -269.83231
59: bad sentence 29, PPL: -491.44220
60: good sentence 30, PPL: -92.02093
61: bad sentence 30, PPL: -373.88821
62: good sentence 31, PPL: -1093.68677
63: bad sentence 31, PPL: -2299.65479
64: good sentence 32, PPL: -118.58670
65: bad sentence 32, PPL: -571.69147
66: good sentence 33, PPL: -264.88596
67: bad sentence 33, PPL: -658.50653
68: good sentence 34, PPL: -1021.32092
69: bad sentence 34, PPL: -3601.11646
70: good sentence 35, PPL: -61.29237
71: bad sentence 35, PPL: -215.19650
72: good sentence 36, PPL: -708.77124
73: bad sentence 36, PPL: -278.32629
74: good sentence 37, PPL: -134.16728
75: bad sentence 37, PPL: -1108.78516
76: good sentence 38, PPL: -405.60458
77: bad sentence 38, PPL: -1194.84985
78: good sentence 39, PPL: -307.93140
79: bad sentence 39, PPL: -2284.98022
80: good sentence 40, PPL: -416.86026
81: bad sentence 40, PPL: -1317.51379
82: good sentence 41, PPL: -105.99947
83: bad sentence 41, PPL: -206.15977
84: good sentence 42, PPL: -203.33476
85: bad sentence 42, PPL: -3476.83374
86: good sentence 43, PPL: -133.52103
87: bad sentence 43, PPL: -449.23853
88: good sentence 44, PPL: -268.05206
89: bad sentence 44, PPL: -1006.66840
90: good sentence 45, PPL: -376.44479
91: bad sentence 45, PPL: -1584.05444
92: good sentence 46, PPL: -614.88855
93: bad sentence 46, PPL: -2397.49194
94: good sentence 47, PPL: -308.10117
95: bad sentence 47, PPL: -536.61847
96: good sentence 48, PPL: -284.38669
97: bad sentence 48, PPL: -1121.71167
98: good sentence 49, PPL: -904.47864
99: bad sentence 49, PPL: -20781.85156
100: good sentence 50, PPL: -16503.96875
101: bad sentence 50, PPL: -16499.15430
102: good sentence 51, PPL: -497.01254
103: bad sentence 51, PPL: -48138.35547
104: good sentence 52, PPL: -65.31839
105: bad sentence 52, PPL: -448.18286
106: good sentence 53, PPL: -3454.09912
107: bad sentence 53, PPL: -8777.68848
108: good sentence 54, PPL: -278.95810
109: bad sentence 54, PPL: -383.96558
