DefinitenessEffect
	definiteness_demonstrative
Model: 01-ai/Yi-6B, Accuracy: 44.50000, Average Perplexity (Good Sentences): -560.55695, Average Perplexity (Bad Sentences): -474.54974
0: good sentence 0, PPL: -762.19568
1: bad sentence 0, PPL: -321.84445
2: good sentence 1, PPL: -91.48180
3: bad sentence 1, PPL: -44.19021
4: good sentence 2, PPL: -127.95235
5: bad sentence 2, PPL: -127.14133
6: good sentence 3, PPL: -1121.53040
7: bad sentence 3, PPL: -209.82310
8: good sentence 4, PPL: -452.36334
9: bad sentence 4, PPL: -622.13672
10: good sentence 5, PPL: -6227.01514
11: bad sentence 5, PPL: -2172.13843
12: good sentence 6, PPL: -1209.25903
13: bad sentence 6, PPL: -659.93335
14: good sentence 7, PPL: -1097.74744
15: bad sentence 7, PPL: -3501.05298
16: good sentence 8, PPL: -1984.77954
17: bad sentence 8, PPL: -631.66400
18: good sentence 9, PPL: -68.80367
19: bad sentence 9, PPL: -51.52197
20: good sentence 10, PPL: -234.91008
21: bad sentence 10, PPL: -151.08595
22: good sentence 11, PPL: -1659.49963
23: bad sentence 11, PPL: -2340.90234
24: good sentence 12, PPL: -544.68970
25: bad sentence 12, PPL: -232.79707
26: good sentence 13, PPL: -958.27448
27: bad sentence 13, PPL: -1375.24548
28: good sentence 14, PPL: -585.93982
29: bad sentence 14, PPL: -492.27127
30: good sentence 15, PPL: -621.67084
31: bad sentence 15, PPL: -675.25281
32: good sentence 16, PPL: -78.60410
33: bad sentence 16, PPL: -121.01214
34: good sentence 17, PPL: -105.93241
35: bad sentence 17, PPL: -185.28677
36: good sentence 18, PPL: -414.66147
37: bad sentence 18, PPL: -429.18283
38: good sentence 19, PPL: -167.74150
39: bad sentence 19, PPL: -177.03598
40: good sentence 20, PPL: -87.84480
41: bad sentence 20, PPL: -147.94844
42: good sentence 21, PPL: -1153.72729
43: bad sentence 21, PPL: -5286.35645
44: good sentence 22, PPL: -315.58347
45: bad sentence 22, PPL: -259.41910
46: good sentence 23, PPL: -273.60965
47: bad sentence 23, PPL: -304.21521
48: good sentence 24, PPL: -77.24789
49: bad sentence 24, PPL: -167.08539
50: good sentence 25, PPL: -777.55811
51: bad sentence 25, PPL: -632.65753
52: good sentence 26, PPL: -121.28943
53: bad sentence 26, PPL: -69.22499
54: good sentence 27, PPL: -264.90543
55: bad sentence 27, PPL: -514.34473
56: good sentence 28, PPL: -1748.78442
57: bad sentence 28, PPL: -1279.98914
58: good sentence 29, PPL: -73.74484
59: bad sentence 29, PPL: -122.06295
60: good sentence 30, PPL: -1305.89453
61: bad sentence 30, PPL: -1392.23157
62: good sentence 31, PPL: -291.12848
63: bad sentence 31, PPL: -229.27731
64: good sentence 32, PPL: -2702.92456
65: bad sentence 32, PPL: -330.28217
66: good sentence 33, PPL: -3057.41992
67: bad sentence 33, PPL: -956.12469
68: good sentence 34, PPL: -1809.49744
69: bad sentence 34, PPL: -1927.35486
70: good sentence 35, PPL: -198.20850
71: bad sentence 35, PPL: -101.29018
72: good sentence 36, PPL: -759.44647
73: bad sentence 36, PPL: -813.17810
74: good sentence 37, PPL: -1619.23401
75: bad sentence 37, PPL: -628.21326
76: good sentence 38, PPL: -1102.00195
77: bad sentence 38, PPL: -667.94617
78: good sentence 39, PPL: -20328.02930
79: bad sentence 39, PPL: -5819.55859
80: good sentence 40, PPL: -2891.53711
81: bad sentence 40, PPL: -1082.20435
82: good sentence 41, PPL: -962.95990
83: bad sentence 41, PPL: -281.17963
84: good sentence 42, PPL: -3371.78516
85: bad sentence 42, PPL: -931.69019
86: good sentence 43, PPL: -8172.75342
87: bad sentence 43, PPL: -1123.70752
88: good sentence 44, PPL: -703.20789
89: bad sentence 44, PPL: -458.51266
90: good sentence 45, PPL: -936.52698
91: bad sentence 45, PPL: -99.27718
92: good sentence 46, PPL: -85.94833
93: bad sentence 46, PPL: -118.58093
94: good sentence 47, PPL: -116.72909
95: bad sentence 47, PPL: -265.42447
96: good sentence 48, PPL: -683.11407
97: bad sentence 48, PPL: -704.27838
98: good sentence 49, PPL: -1126.48169
99: bad sentence 49, PPL: -771.53290
100: good sentence 50, PPL: -1225.87561
101: bad sentence 50, PPL: -1590.09668
102: good sentence 51, PPL: -92.32080
103: bad sentence 51, PPL: -57.30228
104: good sentence 52, PPL: -332.43906
105: bad sentence 52, PPL: -155.21649
106: good sentence 53, PPL: -5013.64990
107: bad sentence 53, PPL: -1831.92749
108: good sentence 54, PPL: -435.62558
109: bad sentence 54, PPL: -331.76160
110: good sentence 55, PPL: -723.38696
111: bad sentence 55, PPL: -1700.84094
112: good sentence 56, PPL: -78.62531
113: bad sentence 56, PPL: -89.22871
114: good sentence 57, PPL: -417.26437
115: bad sentence 57, PPL: -411.02594
116: good sentence 58, PPL: -71.02869
117: bad sentence 58, PPL: -217.38107
118: good sentence 59, PPL: -123.30919
119: bad sentence 59, PPL: -157.27762
120: good sentence 60, PPL: -167.14882
121: bad sentence 60, PPL: -200.51872
122: good sentence 61, PPL: -3934.80444
123: bad sentence 61, PPL: -1646.59937
124: good sentence 62, PPL: -548.09985
125: bad sentence 62, PPL: -174.99722
126: good sentence 63, PPL: -254.68286
127: bad sentence 63, PPL: -318.66751
128: good sentence 64, PPL: -1103.68103
129: bad sentence 64, PPL: -3149.91284
130: good sentence 65, PPL: -1454.38672
131: bad sentence 65, PPL: -1941.71375
132: good sentence 66, PPL: -422.25845
133: bad sentence 66, PPL: -394.71564
134: good sentence 67, PPL: -98.30775
135: bad sentence 67, PPL: -325.44437
136: good sentence 68, PPL: -397.41025
137: bad sentence 68, PPL: -738.86621
138: good sentence 69, PPL: -1750.94470
139: bad sentence 69, PPL: -1329.40759
140: good sentence 70, PPL: -936.06842
141: bad sentence 70, PPL: -951.07465
142: good sentence 71, PPL: -532.58466
143: bad sentence 71, PPL: -393.33020
144: good sentence 72, PPL: -3957.82227
145: bad sentence 72, PPL: -3054.98047
146: good sentence 73, PPL: -75.54107
147: bad sentence 73, PPL: -71.94582
148: good sentence 74, PPL: -1049.42224
149: bad sentence 74, PPL: -714.65588
150: good sentence 75, PPL: -1067.09155
151: bad sentence 75, PPL: -167.22758
152: good sentence 76, PPL: -542.20148
153: bad sentence 76, PPL: -391.08932
154: good sentence 77, PPL: -776.80029
155: bad sentence 77, PPL: -334.16904
156: good sentence 78, PPL: -48.04631
157: bad sentence 78, PPL: -83.95377
158: good sentence 79, PPL: -279.52267
159: bad sentence 79, PPL: -923.90955
160: good sentence 80, PPL: -236.07352
161: bad sentence 80, PPL: -77.49002
162: good sentence 81, PPL: -559.48346
163: bad sentence 81, PPL: -327.29321
164: good sentence 82, PPL: -435.87515
165: bad sentence 82, PPL: -241.05957
166: good sentence 83, PPL: -63.78549
167: bad sentence 83, PPL: -60.13190
168: good sentence 84, PPL: -537.92401
