PolarityItem
	even_wh
Model: 01-ai/Yi-6B, Accuracy: 96.90000, Average Perplexity (Good Sentences): -579.73230, Average Perplexity (Bad Sentences): -1393.00916
0: good sentence 0, PPL: -455.90259
1: bad sentence 0, PPL: -907.55859
2: good sentence 1, PPL: -2682.40820
3: bad sentence 1, PPL: -6824.07275
4: good sentence 2, PPL: -1741.62427
5: bad sentence 2, PPL: -4879.35010
6: good sentence 3, PPL: -1294.25549
7: bad sentence 3, PPL: -2160.43286
8: good sentence 4, PPL: -2591.33667
9: bad sentence 4, PPL: -6468.89941
10: good sentence 5, PPL: -288.61096
11: bad sentence 5, PPL: -334.85300
12: good sentence 6, PPL: -172.68552
13: bad sentence 6, PPL: -622.12512
14: good sentence 7, PPL: -1870.57178
15: bad sentence 7, PPL: -6165.57129
16: good sentence 8, PPL: -295.56592
17: bad sentence 8, PPL: -863.72241
18: good sentence 9, PPL: -157.79677
19: bad sentence 9, PPL: -506.06085
20: good sentence 10, PPL: -955.96240
21: bad sentence 10, PPL: -4067.00952
22: good sentence 11, PPL: -700.22858
23: bad sentence 11, PPL: -1315.01392
24: good sentence 12, PPL: -148.61746
25: bad sentence 12, PPL: -428.60120
26: good sentence 13, PPL: -2955.49854
27: bad sentence 13, PPL: -7065.33789
28: good sentence 14, PPL: -288.91745
29: bad sentence 14, PPL: -1085.28394
30: good sentence 15, PPL: -185.57370
31: bad sentence 15, PPL: -346.61282
32: good sentence 16, PPL: -228.23267
33: bad sentence 16, PPL: -985.14642
34: good sentence 17, PPL: -831.58093
35: bad sentence 17, PPL: -3074.32593
36: good sentence 18, PPL: -278.48148
37: bad sentence 18, PPL: -386.52249
38: good sentence 19, PPL: -535.94110
39: bad sentence 19, PPL: -1058.82971
40: good sentence 20, PPL: -182.99928
41: bad sentence 20, PPL: -260.72818
42: good sentence 21, PPL: -743.34784
43: bad sentence 21, PPL: -2212.56470
44: good sentence 22, PPL: -666.37274
45: bad sentence 22, PPL: -1842.55945
46: good sentence 23, PPL: -509.30862
47: bad sentence 23, PPL: -1951.14258
48: good sentence 24, PPL: -655.02509
49: bad sentence 24, PPL: -2834.42383
50: good sentence 25, PPL: -645.99780
51: bad sentence 25, PPL: -1717.06042
52: good sentence 26, PPL: -952.15875
53: bad sentence 26, PPL: -2934.06274
54: good sentence 27, PPL: -2660.66040
55: bad sentence 27, PPL: -14937.13477
56: good sentence 28, PPL: -701.35510
57: bad sentence 28, PPL: -1737.20447
58: good sentence 29, PPL: -779.69153
59: bad sentence 29, PPL: -1825.76648
60: good sentence 30, PPL: -1005.92365
61: bad sentence 30, PPL: -2015.27600
62: good sentence 31, PPL: -987.64264
63: bad sentence 31, PPL: -4506.58008
64: good sentence 32, PPL: -1518.07910
65: bad sentence 32, PPL: -4538.32715
66: good sentence 33, PPL: -674.00818
67: bad sentence 33, PPL: -3480.71851
68: good sentence 34, PPL: -354.64478
69: bad sentence 34, PPL: -1205.69043
70: good sentence 35, PPL: -367.77603
71: bad sentence 35, PPL: -389.16916
72: good sentence 36, PPL: -1421.46899
73: bad sentence 36, PPL: -5794.28320
74: good sentence 37, PPL: -354.39560
75: bad sentence 37, PPL: -1415.58020
76: good sentence 38, PPL: -414.63678
77: bad sentence 38, PPL: -875.08752
78: good sentence 39, PPL: -907.30200
79: bad sentence 39, PPL: -3485.73096
80: good sentence 40, PPL: -302.69009
81: bad sentence 40, PPL: -509.71799
82: good sentence 41, PPL: -724.44360
83: bad sentence 41, PPL: -973.25836
84: good sentence 42, PPL: -366.58698
85: bad sentence 42, PPL: -1563.73303
86: good sentence 43, PPL: -1407.63159
87: bad sentence 43, PPL: -3552.27515
88: good sentence 44, PPL: -1218.37622
89: bad sentence 44, PPL: -4480.62744
90: good sentence 45, PPL: -1606.15894
91: bad sentence 45, PPL: -1541.91028
92: good sentence 46, PPL: -1672.81262
93: bad sentence 46, PPL: -5186.61133
94: good sentence 47, PPL: -88.08326
95: bad sentence 47, PPL: -63.57645
96: good sentence 48, PPL: -1279.42883
97: bad sentence 48, PPL: -4651.04443
98: good sentence 49, PPL: -1274.61719
99: bad sentence 49, PPL: -3316.70361
100: good sentence 50, PPL: -348.75568
101: bad sentence 50, PPL: -566.02234
102: good sentence 51, PPL: -732.88037
103: bad sentence 51, PPL: -2101.29688
104: good sentence 52, PPL: -755.32648
105: bad sentence 52, PPL: -1304.06995
106: good sentence 53, PPL: -393.80051
107: bad sentence 53, PPL: -567.88177
108: good sentence 54, PPL: -557.92603
109: bad sentence 54, PPL: -2115.41284
110: good sentence 55, PPL: -571.92834
111: bad sentence 55, PPL: -2520.67993
112: good sentence 56, PPL: -314.15381
113: bad sentence 56, PPL: -1972.88306
114: good sentence 57, PPL: -665.69690
115: bad sentence 57, PPL: -2856.42847
116: good sentence 58, PPL: -1129.43616
117: bad sentence 58, PPL: -2110.69751
118: good sentence 59, PPL: -1092.70691
119: bad sentence 59, PPL: -3713.89404
120: good sentence 60, PPL: -1400.37903
121: bad sentence 60, PPL: -3434.39429
122: good sentence 61, PPL: -376.46042
123: bad sentence 61, PPL: -1714.03125
124: good sentence 62, PPL: -657.46271
125: bad sentence 62, PPL: -532.36047
126: good sentence 63, PPL: -592.07178
127: bad sentence 63, PPL: -959.44489
128: good sentence 64, PPL: -204.85020
129: bad sentence 64, PPL: -339.71786
130: good sentence 65, PPL: -688.02423
131: bad sentence 65, PPL: -3678.74585
132: good sentence 66, PPL: -402.18338
133: bad sentence 66, PPL: -2097.96118
134: good sentence 67, PPL: -453.65121
135: bad sentence 67, PPL: -1200.42529
136: good sentence 68, PPL: -2936.97119
137: bad sentence 68, PPL: -1516.57263
138: good sentence 69, PPL: -551.79108
139: bad sentence 69, PPL: -1207.53442
140: good sentence 70, PPL: -776.41333
141: bad sentence 70, PPL: -2126.65942
142: good sentence 71, PPL: -744.03156
143: bad sentence 71, PPL: -4879.86670
144: good sentence 72, PPL: -620.31079
145: bad sentence 72, PPL: -521.53375
146: good sentence 73, PPL: -476.17859
147: bad sentence 73, PPL: -1541.42371
148: good sentence 74, PPL: -455.79935
149: bad sentence 74, PPL: -233.91249
150: good sentence 75, PPL: -449.33728
151: bad sentence 75, PPL: -1188.05396
152: good sentence 76, PPL: -221.05316
153: bad sentence 76, PPL: -295.62146
154: good sentence 77, PPL: -164.65468
155: bad sentence 77, PPL: -222.04303
156: good sentence 78, PPL: -517.89325
157: bad sentence 78, PPL: -2601.94141
158: good sentence 79, PPL: -88.82851
159: bad sentence 79, PPL: -80.27093
160: good sentence 80, PPL: -504.53613
161: bad sentence 80, PPL: -2455.80054
162: good sentence 81, PPL: -496.12820
163: bad sentence 81, PPL: -977.83704
164: good sentence 82, PPL: -605.28662
165: bad sentence 82, PPL: -1320.70154
166: good sentence 83, PPL: -466.50842
167: bad sentence 83, PPL: -2386.07446
168: good sentence 84, PPL: -462.81647
169: bad sentence 84, PPL: -1525.52930
170: good sentence 85, PPL: -501.92133
171: bad sentence 85, PPL: -1822.00403
172: good sentence 86, PPL: -414.27829
173: bad sentence 86, PPL: -813.42047
174: good sentence 87, PPL: -1145.34033
175: bad sentence 87, PPL: -9072.86914
176: good sentence 88, PPL: -192.51642
177: bad sentence 88, PPL: -533.05493
178: good sentence 89, PPL: -441.68259
179: bad sentence 89, PPL: -1329.72327
180: good sentence 90, PPL: -357.04163
181: bad sentence 90, PPL: -974.10291
182: good sentence 91, PPL: -819.98553
183: bad sentence 91, PPL: -4257.35107
184: good sentence 92, PPL: -535.64703
185: bad sentence 92, PPL: -1216.02612
186: good sentence 93, PPL: -743.31024
187: bad sentence 93, PPL: -634.98773
188: good sentence 94, PPL: -343.99487
189: bad sentence 94, PPL: -3042.31885
