PolarityItem
	more_or_less
Model: 01-ai/Yi-6B, Accuracy: 93.30000, Average Perplexity (Good Sentences): -335.06351, Average Perplexity (Bad Sentences): -775.37476
0: good sentence 0, PPL: -139.54417
1: bad sentence 0, PPL: -887.14056
2: good sentence 1, PPL: -196.23672
3: bad sentence 1, PPL: -1153.88745
4: good sentence 2, PPL: -344.96713
5: bad sentence 2, PPL: -1025.41809
6: good sentence 3, PPL: -120.31519
7: bad sentence 3, PPL: -628.97455
8: good sentence 4, PPL: -351.11356
9: bad sentence 4, PPL: -769.87585
10: good sentence 5, PPL: -277.82062
11: bad sentence 5, PPL: -742.00958
12: good sentence 6, PPL: -211.48946
13: bad sentence 6, PPL: -1302.96484
14: good sentence 7, PPL: -84.58981
15: bad sentence 7, PPL: -526.37311
16: good sentence 8, PPL: -283.31793
17: bad sentence 8, PPL: -675.78625
18: good sentence 9, PPL: -2259.66528
19: bad sentence 9, PPL: -1638.37744
20: good sentence 10, PPL: -207.69231
21: bad sentence 10, PPL: -762.20984
22: good sentence 11, PPL: -177.05792
23: bad sentence 11, PPL: -362.28677
24: good sentence 12, PPL: -109.39809
25: bad sentence 12, PPL: -357.75623
26: good sentence 13, PPL: -225.50021
27: bad sentence 13, PPL: -645.35248
28: good sentence 14, PPL: -90.50076
29: bad sentence 14, PPL: -486.78516
30: good sentence 15, PPL: -1760.53992
31: bad sentence 15, PPL: -646.40918
32: good sentence 16, PPL: -429.70969
33: bad sentence 16, PPL: -2012.32886
34: good sentence 17, PPL: -395.21661
35: bad sentence 17, PPL: -1669.64807
36: good sentence 18, PPL: -370.04327
37: bad sentence 18, PPL: -443.79434
38: good sentence 19, PPL: -113.21818
39: bad sentence 19, PPL: -397.47205
40: good sentence 20, PPL: -710.23816
41: bad sentence 20, PPL: -846.22205
42: good sentence 21, PPL: -460.59570
43: bad sentence 21, PPL: -1935.00635
44: good sentence 22, PPL: -947.29492
45: bad sentence 22, PPL: -1164.46667
46: good sentence 23, PPL: -342.49808
47: bad sentence 23, PPL: -687.97827
48: good sentence 24, PPL: -641.85944
49: bad sentence 24, PPL: -846.39478
50: good sentence 25, PPL: -382.42453
51: bad sentence 25, PPL: -444.16293
52: good sentence 26, PPL: -136.58464
53: bad sentence 26, PPL: -351.54645
54: good sentence 27, PPL: -100.00153
55: bad sentence 27, PPL: -196.28697
56: good sentence 28, PPL: -602.95874
57: bad sentence 28, PPL: -1082.22241
58: good sentence 29, PPL: -310.14044
59: bad sentence 29, PPL: -651.56567
60: good sentence 30, PPL: -1387.68823
61: bad sentence 30, PPL: -1590.42664
62: good sentence 31, PPL: -141.70227
63: bad sentence 31, PPL: -372.25623
64: good sentence 32, PPL: -477.53580
65: bad sentence 32, PPL: -885.75244
66: good sentence 33, PPL: -170.39035
67: bad sentence 33, PPL: -410.29922
68: good sentence 34, PPL: -250.96964
69: bad sentence 34, PPL: -1324.45776
70: good sentence 35, PPL: -503.15735
71: bad sentence 35, PPL: -1977.98926
72: good sentence 36, PPL: -244.12053
73: bad sentence 36, PPL: -382.23947
74: good sentence 37, PPL: -1008.21472
75: bad sentence 37, PPL: -1486.93176
76: good sentence 38, PPL: -338.67624
77: bad sentence 38, PPL: -1843.82141
78: good sentence 39, PPL: -731.01489
79: bad sentence 39, PPL: -2436.46997
80: good sentence 40, PPL: -1134.40820
81: bad sentence 40, PPL: -594.57056
82: good sentence 41, PPL: -55.94394
83: bad sentence 41, PPL: -143.92409
84: good sentence 42, PPL: -120.42889
85: bad sentence 42, PPL: -487.52686
86: good sentence 43, PPL: -196.01247
87: bad sentence 43, PPL: -262.64984
88: good sentence 44, PPL: -759.76593
89: bad sentence 44, PPL: -1091.52368
