RelativeClause
	rc_resumptive_pronoun
Model: 01-ai/Yi-6B, Accuracy: 68.10000, Average Perplexity (Good Sentences): -410.68347, Average Perplexity (Bad Sentences): -460.04453
0: good sentence 0, PPL: -454.76685
1: bad sentence 0, PPL: -441.07681
2: good sentence 1, PPL: -191.65927
3: bad sentence 1, PPL: -239.79080
4: good sentence 2, PPL: -708.56445
5: bad sentence 2, PPL: -686.90997
6: good sentence 3, PPL: -656.18707
7: bad sentence 3, PPL: -660.52618
8: good sentence 4, PPL: -1260.37366
9: bad sentence 4, PPL: -1071.10046
10: good sentence 5, PPL: -183.89238
11: bad sentence 5, PPL: -279.42380
12: good sentence 6, PPL: -681.46851
13: bad sentence 6, PPL: -484.15054
14: good sentence 7, PPL: -155.56161
15: bad sentence 7, PPL: -210.12749
16: good sentence 8, PPL: -1232.23193
17: bad sentence 8, PPL: -1185.62500
18: good sentence 9, PPL: -603.08441
19: bad sentence 9, PPL: -734.80634
20: good sentence 10, PPL: -222.50598
21: bad sentence 10, PPL: -294.18066
22: good sentence 11, PPL: -507.96204
23: bad sentence 11, PPL: -438.72815
24: good sentence 12, PPL: -191.59760
25: bad sentence 12, PPL: -362.76678
26: good sentence 13, PPL: -373.29041
27: bad sentence 13, PPL: -292.16370
28: good sentence 14, PPL: -142.79514
29: bad sentence 14, PPL: -240.37041
30: good sentence 15, PPL: -1534.96252
31: bad sentence 15, PPL: -1813.63513
32: good sentence 16, PPL: -694.31903
33: bad sentence 16, PPL: -947.05920
34: good sentence 17, PPL: -205.62726
35: bad sentence 17, PPL: -419.80554
36: good sentence 18, PPL: -224.44872
37: bad sentence 18, PPL: -456.66626
38: good sentence 19, PPL: -281.98929
39: bad sentence 19, PPL: -448.38614
40: good sentence 20, PPL: -329.35565
41: bad sentence 20, PPL: -266.04688
42: good sentence 21, PPL: -246.92514
43: bad sentence 21, PPL: -272.94443
44: good sentence 22, PPL: -955.30573
45: bad sentence 22, PPL: -635.25879
46: good sentence 23, PPL: -145.85126
47: bad sentence 23, PPL: -261.44879
48: good sentence 24, PPL: -476.27258
49: bad sentence 24, PPL: -477.11069
50: good sentence 25, PPL: -217.03607
51: bad sentence 25, PPL: -338.75055
52: good sentence 26, PPL: -360.68390
53: bad sentence 26, PPL: -360.70059
54: good sentence 27, PPL: -710.68365
55: bad sentence 27, PPL: -701.37280
56: good sentence 28, PPL: -264.15237
57: bad sentence 28, PPL: -245.43245
58: good sentence 29, PPL: -164.30917
59: bad sentence 29, PPL: -160.37987
60: good sentence 30, PPL: -269.35797
61: bad sentence 30, PPL: -198.12563
62: good sentence 31, PPL: -239.35223
63: bad sentence 31, PPL: -339.16174
64: good sentence 32, PPL: -550.20837
65: bad sentence 32, PPL: -716.45099
66: good sentence 33, PPL: -369.35226
67: bad sentence 33, PPL: -455.87476
68: good sentence 34, PPL: -1211.82886
69: bad sentence 34, PPL: -1403.82288
70: good sentence 35, PPL: -183.97765
71: bad sentence 35, PPL: -251.72592
72: good sentence 36, PPL: -412.12531
73: bad sentence 36, PPL: -279.46271
74: good sentence 37, PPL: -408.66241
75: bad sentence 37, PPL: -267.39362
76: good sentence 38, PPL: -173.62544
77: bad sentence 38, PPL: -240.03665
78: good sentence 39, PPL: -274.22693
79: bad sentence 39, PPL: -293.71069
80: good sentence 40, PPL: -262.75595
81: bad sentence 40, PPL: -124.30309
82: good sentence 41, PPL: -1430.88647
83: bad sentence 41, PPL: -1652.08105
84: good sentence 42, PPL: -135.71884
85: bad sentence 42, PPL: -160.21957
86: good sentence 43, PPL: -182.34286
87: bad sentence 43, PPL: -221.96892
88: good sentence 44, PPL: -350.76367
89: bad sentence 44, PPL: -518.42053
90: good sentence 45, PPL: -561.77362
91: bad sentence 45, PPL: -616.45306
92: good sentence 46, PPL: -182.93672
93: bad sentence 46, PPL: -236.07745
94: good sentence 47, PPL: -608.02521
95: bad sentence 47, PPL: -839.06598
96: good sentence 48, PPL: -222.66763
97: bad sentence 48, PPL: -457.03900
98: good sentence 49, PPL: -113.71969
99: bad sentence 49, PPL: -142.07596
100: good sentence 50, PPL: -578.83679
101: bad sentence 50, PPL: -470.90591
102: good sentence 51, PPL: -414.15720
103: bad sentence 51, PPL: -554.58240
104: good sentence 52, PPL: -607.80688
105: bad sentence 52, PPL: -799.81616
106: good sentence 53, PPL: -281.46939
107: bad sentence 53, PPL: -290.48465
108: good sentence 54, PPL: -983.47229
109: bad sentence 54, PPL: -1057.81946
110: good sentence 55, PPL: -687.66699
111: bad sentence 55, PPL: -425.72107
112: good sentence 56, PPL: -181.55933
113: bad sentence 56, PPL: -251.91310
114: good sentence 57, PPL: -276.88531
115: bad sentence 57, PPL: -278.43887
116: good sentence 58, PPL: -720.69360
117: bad sentence 58, PPL: -677.96228
118: good sentence 59, PPL: -281.83252
119: bad sentence 59, PPL: -204.48131
120: good sentence 60, PPL: -1092.51880
121: bad sentence 60, PPL: -964.25018
122: good sentence 61, PPL: -212.82887
123: bad sentence 61, PPL: -275.16818
124: good sentence 62, PPL: -449.50937
125: bad sentence 62, PPL: -719.22766
126: good sentence 63, PPL: -267.70694
127: bad sentence 63, PPL: -216.12581
128: good sentence 64, PPL: -259.80670
129: bad sentence 64, PPL: -427.81549
130: good sentence 65, PPL: -1308.70715
131: bad sentence 65, PPL: -1120.68359
132: good sentence 66, PPL: -2066.95264
133: bad sentence 66, PPL: -2047.58801
134: good sentence 67, PPL: -208.07365
135: bad sentence 67, PPL: -166.44820
136: good sentence 68, PPL: -232.35139
137: bad sentence 68, PPL: -394.95532
138: good sentence 69, PPL: -268.31052
139: bad sentence 69, PPL: -294.62119
140: good sentence 70, PPL: -120.58456
141: bad sentence 70, PPL: -209.61211
142: good sentence 71, PPL: -2290.85205
143: bad sentence 71, PPL: -2911.45996
144: good sentence 72, PPL: -344.74942
145: bad sentence 72, PPL: -409.42426
146: good sentence 73, PPL: -451.32593
147: bad sentence 73, PPL: -518.79395
148: good sentence 74, PPL: -428.13647
149: bad sentence 74, PPL: -349.69986
150: good sentence 75, PPL: -431.57446
151: bad sentence 75, PPL: -368.85522
152: good sentence 76, PPL: -1062.68848
153: bad sentence 76, PPL: -741.30048
154: good sentence 77, PPL: -579.63885
155: bad sentence 77, PPL: -621.98242
156: good sentence 78, PPL: -881.11572
157: bad sentence 78, PPL: -809.32446
158: good sentence 79, PPL: -368.59589
159: bad sentence 79, PPL: -670.40955
160: good sentence 80, PPL: -864.36102
161: bad sentence 80, PPL: -1084.40027
162: good sentence 81, PPL: -1748.39172
163: bad sentence 81, PPL: -2142.43481
164: good sentence 82, PPL: -565.29004
165: bad sentence 82, PPL: -622.19781
166: good sentence 83, PPL: -477.33752
167: bad sentence 83, PPL: -881.33966
168: good sentence 84, PPL: -168.94260
169: bad sentence 84, PPL: -197.52579
170: good sentence 85, PPL: -563.24756
171: bad sentence 85, PPL: -533.55646
172: good sentence 86, PPL: -302.89307
173: bad sentence 86, PPL: -340.71619
174: good sentence 87, PPL: -186.91167
175: bad sentence 87, PPL: -191.77977
176: good sentence 88, PPL: -255.29626
177: bad sentence 88, PPL: -325.71994
178: good sentence 89, PPL: -816.34521
179: bad sentence 89, PPL: -917.01477
180: good sentence 90, PPL: -385.57684
181: bad sentence 90, PPL: -428.43158
182: good sentence 91, PPL: -639.36774
183: bad sentence 91, PPL: -1269.18481
184: good sentence 92, PPL: -655.92615
185: bad sentence 92, PPL: -804.20648
186: good sentence 93, PPL: -352.87375
187: bad sentence 93, PPL: -509.58386
188: good sentence 94, PPL: -258.35477
189: bad sentence 94, PPL: -261.68076
190: good sentence 95, PPL: -108.71770
191: bad sentence 95, PPL: -123.05280
192: good sentence 96, PPL: -489.76157
193: bad sentence 96, PPL: -742.19391
194: good sentence 97, PPL: -675.09149
195: bad sentence 97, PPL: -563.86432
196: good sentence 98, PPL: -611.25836
197: bad sentence 98, PPL: -824.56866
198: good sentence 99, PPL: -132.77426
199: bad sentence 99, PPL: -227.95901
200: good sentence 100, PPL: -332.25571
201: bad sentence 100, PPL: -451.89056
202: good sentence 101, PPL: -140.49083
203: bad sentence 101, PPL: -319.82916
204: good sentence 102, PPL: -122.74461
205: bad sentence 102, PPL: -250.74416
206: good sentence 103, PPL: -241.41258
