WhFronting
	bare_wh
Model: 01-ai/Yi-6B, Accuracy: 100.00000, Average Perplexity (Good Sentences): -369.58041, Average Perplexity (Bad Sentences): -1567.23108
0: good sentence 0, PPL: -157.83560
1: bad sentence 0, PPL: -430.98590
2: good sentence 1, PPL: -411.54916
3: bad sentence 1, PPL: -2267.69800
4: good sentence 2, PPL: -164.71153
5: bad sentence 2, PPL: -879.34363
6: good sentence 3, PPL: -312.92487
7: bad sentence 3, PPL: -955.65973
8: good sentence 4, PPL: -2855.46851
9: bad sentence 4, PPL: -6175.28076
10: good sentence 5, PPL: -191.22922
11: bad sentence 5, PPL: -1042.90930
12: good sentence 6, PPL: -842.73566
13: bad sentence 6, PPL: -2602.69849
14: good sentence 7, PPL: -477.53284
15: bad sentence 7, PPL: -1501.37048
16: good sentence 8, PPL: -554.82892
17: bad sentence 8, PPL: -4103.41699
18: good sentence 9, PPL: -279.43616
19: bad sentence 9, PPL: -1549.42358
20: good sentence 10, PPL: -467.43317
21: bad sentence 10, PPL: -2913.54321
22: good sentence 11, PPL: -235.22696
23: bad sentence 11, PPL: -1178.55945
24: good sentence 12, PPL: -1880.79749
25: bad sentence 12, PPL: -9047.64746
26: good sentence 13, PPL: -106.37877
27: bad sentence 13, PPL: -722.43073
28: good sentence 14, PPL: -351.37637
29: bad sentence 14, PPL: -978.16071
30: good sentence 15, PPL: -220.54631
31: bad sentence 15, PPL: -1041.15234
32: good sentence 16, PPL: -454.94687
33: bad sentence 16, PPL: -1171.28638
34: good sentence 17, PPL: -633.19531
35: bad sentence 17, PPL: -3653.30420
36: good sentence 18, PPL: -425.45178
37: bad sentence 18, PPL: -4421.77148
38: good sentence 19, PPL: -274.49576
39: bad sentence 19, PPL: -1295.57080
40: good sentence 20, PPL: -231.99821
41: bad sentence 20, PPL: -1195.23230
42: good sentence 21, PPL: -485.83115
43: bad sentence 21, PPL: -1446.26904
44: good sentence 22, PPL: -386.44067
45: bad sentence 22, PPL: -715.09082
46: good sentence 23, PPL: -220.92850
47: bad sentence 23, PPL: -1054.96582
48: good sentence 24, PPL: -283.83502
49: bad sentence 24, PPL: -1381.20557
50: good sentence 25, PPL: -331.80844
51: bad sentence 25, PPL: -2271.10889
52: good sentence 26, PPL: -380.38269
53: bad sentence 26, PPL: -1663.28003
54: good sentence 27, PPL: -225.92891
55: bad sentence 27, PPL: -2172.85010
56: good sentence 28, PPL: -1179.72949
57: bad sentence 28, PPL: -2032.15833
58: good sentence 29, PPL: -440.98810
59: bad sentence 29, PPL: -1148.38306
60: good sentence 30, PPL: -830.08575
61: bad sentence 30, PPL: -2203.07715
62: good sentence 31, PPL: -354.97739
63: bad sentence 31, PPL: -1186.03943
64: good sentence 32, PPL: -153.48959
65: bad sentence 32, PPL: -637.20673
66: good sentence 33, PPL: -563.57855
67: bad sentence 33, PPL: -1523.77649
68: good sentence 34, PPL: -818.90747
69: bad sentence 34, PPL: -5409.52637
70: good sentence 35, PPL: -821.74414
71: bad sentence 35, PPL: -5654.59863
72: good sentence 36, PPL: -354.38562
73: bad sentence 36, PPL: -1459.58545
74: good sentence 37, PPL: -643.04712
75: bad sentence 37, PPL: -1465.85510
76: good sentence 38, PPL: -230.36749
77: bad sentence 38, PPL: -1228.98291
78: good sentence 39, PPL: -191.05504
79: bad sentence 39, PPL: -787.55481
80: good sentence 40, PPL: -428.34396
81: bad sentence 40, PPL: -1795.70435
82: good sentence 41, PPL: -371.03574
83: bad sentence 41, PPL: -922.28229
84: good sentence 42, PPL: -179.84825
85: bad sentence 42, PPL: -505.76944
86: good sentence 43, PPL: -176.84657
87: bad sentence 43, PPL: -881.33801
88: good sentence 44, PPL: -341.40268
89: bad sentence 44, PPL: -1507.88000
90: good sentence 45, PPL: -863.76935
91: bad sentence 45, PPL: -4529.08789
92: good sentence 46, PPL: -222.77808
93: bad sentence 46, PPL: -975.05371
94: good sentence 47, PPL: -111.63226
95: bad sentence 47, PPL: -600.69397
96: good sentence 48, PPL: -568.95831
97: bad sentence 48, PPL: -2290.06006
98: good sentence 49, PPL: -376.41910
99: bad sentence 49, PPL: -1826.27673
100: good sentence 50, PPL: -498.86194
101: bad sentence 50, PPL: -1816.58130
102: good sentence 51, PPL: -481.12744
103: bad sentence 51, PPL: -2034.10107
104: good sentence 52, PPL: -1499.28369
105: bad sentence 52, PPL: -4707.02344
106: good sentence 53, PPL: -383.75894
107: bad sentence 53, PPL: -1529.36401
108: good sentence 54, PPL: -270.76315
109: bad sentence 54, PPL: -1145.75806
110: good sentence 55, PPL: -853.41962
111: bad sentence 55, PPL: -3080.53882
112: good sentence 56, PPL: -395.97495
113: bad sentence 56, PPL: -2169.64355
114: good sentence 57, PPL: -325.06036
115: bad sentence 57, PPL: -1537.55139
116: good sentence 58, PPL: -322.20517
117: bad sentence 58, PPL: -1731.85815
118: good sentence 59, PPL: -212.54855
119: bad sentence 59, PPL: -1406.00476
120: good sentence 60, PPL: -384.98438
121: bad sentence 60, PPL: -1452.88879
122: good sentence 61, PPL: -736.58002
123: bad sentence 61, PPL: -2631.27197
124: good sentence 62, PPL: -575.95746
125: bad sentence 62, PPL: -2271.28320
126: good sentence 63, PPL: -158.38377
127: bad sentence 63, PPL: -1079.32104
128: good sentence 64, PPL: -662.54187
129: bad sentence 64, PPL: -2640.84131
130: good sentence 65, PPL: -206.06610
131: bad sentence 65, PPL: -817.77972
132: good sentence 66, PPL: -758.54529
133: bad sentence 66, PPL: -1841.15063
134: good sentence 67, PPL: -517.09186
135: bad sentence 67, PPL: -2282.94922
136: good sentence 68, PPL: -467.64008
137: bad sentence 68, PPL: -1229.48511
138: good sentence 69, PPL: -198.71887
139: bad sentence 69, PPL: -1336.63599
140: good sentence 70, PPL: -378.03384
141: bad sentence 70, PPL: -1553.29846
142: good sentence 71, PPL: -219.99687
143: bad sentence 71, PPL: -328.50259
144: good sentence 72, PPL: -353.29382
145: bad sentence 72, PPL: -1859.48560
146: good sentence 73, PPL: -179.87227
147: bad sentence 73, PPL: -777.67273
148: good sentence 74, PPL: -290.48965
149: bad sentence 74, PPL: -1050.88196
150: good sentence 75, PPL: -305.07181
151: bad sentence 75, PPL: -1577.90063
152: good sentence 76, PPL: -393.10574
153: bad sentence 76, PPL: -1047.52649
154: good sentence 77, PPL: -383.69672
155: bad sentence 77, PPL: -1963.96057
156: good sentence 78, PPL: -2027.90784
157: bad sentence 78, PPL: -4344.41357
158: good sentence 79, PPL: -412.27548
159: bad sentence 79, PPL: -1571.82104
160: good sentence 80, PPL: -1635.55713
161: bad sentence 80, PPL: -7538.60596
162: good sentence 81, PPL: -392.02512
