WhFronting
	mod_wh
Model: 01-ai/Yi-6B, Accuracy: 99.90000, Average Perplexity (Good Sentences): -441.11343, Average Perplexity (Bad Sentences): -2219.38770
0: good sentence 0, PPL: -138.38661
1: bad sentence 0, PPL: -437.52356
2: good sentence 1, PPL: -443.98547
3: bad sentence 1, PPL: -3494.39502
4: good sentence 2, PPL: -105.22915
5: bad sentence 2, PPL: -887.06232
6: good sentence 3, PPL: -349.79507
7: bad sentence 3, PPL: -1747.62146
8: good sentence 4, PPL: -6195.41943
9: bad sentence 4, PPL: -10763.57617
10: good sentence 5, PPL: -255.17857
11: bad sentence 5, PPL: -1770.05347
12: good sentence 6, PPL: -1423.82361
13: bad sentence 6, PPL: -5706.01270
14: good sentence 7, PPL: -484.39395
15: bad sentence 7, PPL: -2728.13013
16: good sentence 8, PPL: -2428.39258
17: bad sentence 8, PPL: -21067.42773
18: good sentence 9, PPL: -987.31110
19: bad sentence 9, PPL: -6030.34424
20: good sentence 10, PPL: -383.07224
21: bad sentence 10, PPL: -4385.30322
22: good sentence 11, PPL: -288.37201
23: bad sentence 11, PPL: -2731.28394
24: good sentence 12, PPL: -2693.50903
25: bad sentence 12, PPL: -40498.61328
26: good sentence 13, PPL: -100.61366
27: bad sentence 13, PPL: -753.22284
28: good sentence 14, PPL: -719.32025
29: bad sentence 14, PPL: -2412.68164
30: good sentence 15, PPL: -296.94199
31: bad sentence 15, PPL: -2014.97705
32: good sentence 16, PPL: -422.75568
33: bad sentence 16, PPL: -1474.43347
34: good sentence 17, PPL: -776.32074
35: bad sentence 17, PPL: -3252.11523
36: good sentence 18, PPL: -222.10699
37: bad sentence 18, PPL: -7065.51270
38: good sentence 19, PPL: -141.53731
39: bad sentence 19, PPL: -1446.96362
40: good sentence 20, PPL: -456.03262
41: bad sentence 20, PPL: -1972.21228
42: good sentence 21, PPL: -678.36713
43: bad sentence 21, PPL: -4086.05542
44: good sentence 22, PPL: -379.00415
45: bad sentence 22, PPL: -1215.80518
46: good sentence 23, PPL: -156.95442
47: bad sentence 23, PPL: -1389.34070
48: good sentence 24, PPL: -632.87659
49: bad sentence 24, PPL: -2609.64038
50: good sentence 25, PPL: -454.71371
51: bad sentence 25, PPL: -2979.68188
52: good sentence 26, PPL: -835.98767
53: bad sentence 26, PPL: -5227.08154
54: good sentence 27, PPL: -581.04468
55: bad sentence 27, PPL: -4246.22021
56: good sentence 28, PPL: -1204.86804
57: bad sentence 28, PPL: -3660.42554
58: good sentence 29, PPL: -488.99432
59: bad sentence 29, PPL: -1674.66577
60: good sentence 30, PPL: -1555.96851
61: bad sentence 30, PPL: -4847.90234
62: good sentence 31, PPL: -323.22324
63: bad sentence 31, PPL: -2741.03784
64: good sentence 32, PPL: -291.00772
65: bad sentence 32, PPL: -1359.72180
66: good sentence 33, PPL: -410.93088
67: bad sentence 33, PPL: -1732.54028
68: good sentence 34, PPL: -975.97845
69: bad sentence 34, PPL: -5312.79443
70: good sentence 35, PPL: -870.25226
71: bad sentence 35, PPL: -10324.73828
72: good sentence 36, PPL: -196.37489
73: bad sentence 36, PPL: -1938.01379
74: good sentence 37, PPL: -690.45294
75: bad sentence 37, PPL: -3804.70508
76: good sentence 38, PPL: -461.97400
77: bad sentence 38, PPL: -3901.57080
78: good sentence 39, PPL: -37.41799
79: bad sentence 39, PPL: -167.74886
80: good sentence 40, PPL: -694.44287
81: bad sentence 40, PPL: -3227.59497
82: good sentence 41, PPL: -582.39972
83: bad sentence 41, PPL: -1946.59363
84: good sentence 42, PPL: -221.45004
85: bad sentence 42, PPL: -1224.18164
86: good sentence 43, PPL: -446.54498
87: bad sentence 43, PPL: -1980.00684
88: good sentence 44, PPL: -325.36618
89: bad sentence 44, PPL: -4483.56396
90: good sentence 45, PPL: -1705.70752
91: bad sentence 45, PPL: -6149.24121
92: good sentence 46, PPL: -344.35413
93: bad sentence 46, PPL: -1915.96033
94: good sentence 47, PPL: -232.71463
95: bad sentence 47, PPL: -939.12384
96: good sentence 48, PPL: -235.29886
97: bad sentence 48, PPL: -1596.06445
98: good sentence 49, PPL: -292.43158
99: bad sentence 49, PPL: -2180.32690
100: good sentence 50, PPL: -334.93030
101: bad sentence 50, PPL: -1669.88538
102: good sentence 51, PPL: -466.92392
103: bad sentence 51, PPL: -2817.52319
104: good sentence 52, PPL: -2347.84766
105: bad sentence 52, PPL: -6640.64502
106: good sentence 53, PPL: -120.52817
107: bad sentence 53, PPL: -844.86896
108: good sentence 54, PPL: -416.66791
109: bad sentence 54, PPL: -3615.82446
110: good sentence 55, PPL: -540.52069
111: bad sentence 55, PPL: -2936.68018
112: good sentence 56, PPL: -190.52756
113: bad sentence 56, PPL: -1293.34119
114: good sentence 57, PPL: -302.13074
115: bad sentence 57, PPL: -1407.57507
116: good sentence 58, PPL: -364.12881
117: bad sentence 58, PPL: -1863.23206
118: good sentence 59, PPL: -125.65450
119: bad sentence 59, PPL: -989.38904
120: good sentence 60, PPL: -511.69763
121: bad sentence 60, PPL: -3210.42822
122: good sentence 61, PPL: -972.25647
123: bad sentence 61, PPL: -8000.52002
124: good sentence 62, PPL: -1051.03284
125: bad sentence 62, PPL: -5502.84229
126: good sentence 63, PPL: -218.27370
127: bad sentence 63, PPL: -1558.87671
128: good sentence 64, PPL: -514.66241
129: bad sentence 64, PPL: -1966.08557
130: good sentence 65, PPL: -237.89091
131: bad sentence 65, PPL: -1755.89111
132: good sentence 66, PPL: -473.87881
133: bad sentence 66, PPL: -2095.06787
134: good sentence 67, PPL: -1408.04041
135: bad sentence 67, PPL: -5415.07471
136: good sentence 68, PPL: -421.17477
137: bad sentence 68, PPL: -1975.47266
138: good sentence 69, PPL: -276.92056
139: bad sentence 69, PPL: -1474.32446
140: good sentence 70, PPL: -359.40826
141: bad sentence 70, PPL: -1843.74243
142: good sentence 71, PPL: -140.30392
143: bad sentence 71, PPL: -331.88629
144: good sentence 72, PPL: -718.18207
145: bad sentence 72, PPL: -3576.40625
146: good sentence 73, PPL: -297.48193
147: bad sentence 73, PPL: -973.57031
148: good sentence 74, PPL: -582.96399
149: bad sentence 74, PPL: -2192.27295
150: good sentence 75, PPL: -299.05322
151: bad sentence 75, PPL: -1662.02893
152: good sentence 76, PPL: -346.78873
153: bad sentence 76, PPL: -1841.91028
154: good sentence 77, PPL: -556.13263
155: bad sentence 77, PPL: -3536.47266
156: good sentence 78, PPL: -1482.73816
157: bad sentence 78, PPL: -4410.87988
158: good sentence 79, PPL: -670.84961
159: bad sentence 79, PPL: -3423.08374
160: good sentence 80, PPL: -1904.91321
161: bad sentence 80, PPL: -6958.67236
162: good sentence 81, PPL: -696.51923
163: bad sentence 81, PPL: -1537.28528
164: good sentence 82, PPL: -550.01660
165: bad sentence 82, PPL: -2513.59595
166: good sentence 83, PPL: -209.28522
167: bad sentence 83, PPL: -956.94061
168: good sentence 84, PPL: -310.17300
169: bad sentence 84, PPL: -1423.18347
170: good sentence 85, PPL: -220.19827
