Plural
	baseline_cl_men_female
Model: google-bert/bert-base-chinese, Accuracy: 99.40000, Average Perplexity (Good Sentences): -6.32364, Average Perplexity (Bad Sentences): -9.70499
0: good sentence 0, PPL: -3.39264
1: bad sentence 0, PPL: -3.70899
2: good sentence 1, PPL: -6.30619
3: bad sentence 1, PPL: -12.99670
4: good sentence 2, PPL: -9.04680
5: bad sentence 2, PPL: -9.79071
6: good sentence 3, PPL: -136.23560
7: bad sentence 3, PPL: -216.63819
8: good sentence 4, PPL: -13.46378
9: bad sentence 4, PPL: -16.87794
10: good sentence 5, PPL: -3.85739
11: bad sentence 5, PPL: -5.06667
12: good sentence 6, PPL: -37.20446
13: bad sentence 6, PPL: -67.21083
14: good sentence 7, PPL: -23.27436
15: bad sentence 7, PPL: -54.15125
16: good sentence 8, PPL: -21.94947
17: bad sentence 8, PPL: -52.98321
18: good sentence 9, PPL: -25.79684
19: bad sentence 9, PPL: -36.45731
20: good sentence 10, PPL: -14.32802
21: bad sentence 10, PPL: -17.51479
22: good sentence 11, PPL: -107.60030
23: bad sentence 11, PPL: -196.76575
24: good sentence 12, PPL: -3.69573
25: bad sentence 12, PPL: -4.82172
26: good sentence 13, PPL: -12.35342
27: bad sentence 13, PPL: -14.63972
28: good sentence 14, PPL: -62.72203
29: bad sentence 14, PPL: -160.85422
30: good sentence 15, PPL: -13.78506
31: bad sentence 15, PPL: -20.32692
32: good sentence 16, PPL: -4.43988
33: bad sentence 16, PPL: -5.93282
34: good sentence 17, PPL: -2.63182
35: bad sentence 17, PPL: -4.81055
36: good sentence 18, PPL: -2.37375
37: bad sentence 18, PPL: -3.07141
38: good sentence 19, PPL: -2.83693
39: bad sentence 19, PPL: -3.69232
40: good sentence 20, PPL: -16.84417
41: bad sentence 20, PPL: -25.50123
42: good sentence 21, PPL: -11.47990
43: bad sentence 21, PPL: -37.44970
44: good sentence 22, PPL: -12.27919
45: bad sentence 22, PPL: -20.21578
46: good sentence 23, PPL: -3.05117
47: bad sentence 23, PPL: -5.44290
48: good sentence 24, PPL: -2.91803
