Plural
	baseline_men_female
Model: google-bert/bert-base-chinese, Accuracy: 98.00000, Average Perplexity (Good Sentences): -5.80703, Average Perplexity (Bad Sentences): -8.92154
0: good sentence 0, PPL: -9.84822
1: bad sentence 0, PPL: -32.58932
2: good sentence 1, PPL: -23.75736
3: bad sentence 1, PPL: -105.95044
4: good sentence 2, PPL: -7.14831
5: bad sentence 2, PPL: -10.98068
6: good sentence 3, PPL: -8.27804
7: bad sentence 3, PPL: -17.75186
8: good sentence 4, PPL: -2.20984
9: bad sentence 4, PPL: -2.64332
10: good sentence 5, PPL: -3.95825
11: bad sentence 5, PPL: -4.45459
12: good sentence 6, PPL: -3.12622
13: bad sentence 6, PPL: -3.64624
14: good sentence 7, PPL: -10.08404
15: bad sentence 7, PPL: -14.75391
16: good sentence 8, PPL: -4.73488
17: bad sentence 8, PPL: -6.69851
18: good sentence 9, PPL: -5.80214
19: bad sentence 9, PPL: -8.92057
20: good sentence 10, PPL: -10.50931
21: bad sentence 10, PPL: -11.03794
22: good sentence 11, PPL: -3.69176
23: bad sentence 11, PPL: -4.37687
24: good sentence 12, PPL: -6.80765
25: bad sentence 12, PPL: -12.28308
26: good sentence 13, PPL: -7.95016
27: bad sentence 13, PPL: -13.28671
28: good sentence 14, PPL: -15.24525
29: bad sentence 14, PPL: -45.75352
30: good sentence 15, PPL: -5.94983
31: bad sentence 15, PPL: -7.93445
32: good sentence 16, PPL: -1.83832
33: bad sentence 16, PPL: -1.91956
34: good sentence 17, PPL: -3.25217
35: bad sentence 17, PPL: -4.40095
36: good sentence 18, PPL: -3.15647
37: bad sentence 18, PPL: -2.97386
38: good sentence 19, PPL: -3.18504
39: bad sentence 19, PPL: -4.12670
40: good sentence 20, PPL: -2.34869
41: bad sentence 20, PPL: -3.76748
42: good sentence 21, PPL: -9.69674
43: bad sentence 21, PPL: -18.75657
44: good sentence 22, PPL: -3.02479
45: bad sentence 22, PPL: -3.88387
46: good sentence 23, PPL: -25.30869
47: bad sentence 23, PPL: -47.10284
48: good sentence 24, PPL: -2.75864
49: bad sentence 24, PPL: -4.45853
50: good sentence 25, PPL: -5.95257
51: bad sentence 25, PPL: -16.27640
52: good sentence 26, PPL: -3.65433
53: bad sentence 26, PPL: -4.22953
54: good sentence 27, PPL: -6.05996
55: bad sentence 27, PPL: -9.85450
56: good sentence 28, PPL: -2.94438
57: bad sentence 28, PPL: -3.49650
58: good sentence 29, PPL: -32.31755
59: bad sentence 29, PPL: -52.57281
60: good sentence 30, PPL: -10.90450
61: bad sentence 30, PPL: -18.77934
62: good sentence 31, PPL: -5.16396
63: bad sentence 31, PPL: -16.03602
64: good sentence 32, PPL: -5.73076
65: bad sentence 32, PPL: -9.31674
66: good sentence 33, PPL: -1.95422
67: bad sentence 33, PPL: -2.04504
68: good sentence 34, PPL: -9.57444
69: bad sentence 34, PPL: -11.13967
70: good sentence 35, PPL: -1.69452
71: bad sentence 35, PPL: -2.37085
72: good sentence 36, PPL: -4.80700
73: bad sentence 36, PPL: -5.42472
74: good sentence 37, PPL: -2.83966
75: bad sentence 37, PPL: -3.61189
76: good sentence 38, PPL: -4.00254
77: bad sentence 38, PPL: -6.80384
78: good sentence 39, PPL: -4.27711
79: bad sentence 39, PPL: -4.45983
80: good sentence 40, PPL: -2.60291
81: bad sentence 40, PPL: -2.29428
82: good sentence 41, PPL: -7.67512
83: bad sentence 41, PPL: -13.12145
84: good sentence 42, PPL: -3.09366
85: bad sentence 42, PPL: -3.57599
86: good sentence 43, PPL: -1.78738
87: bad sentence 43, PPL: -2.18229
88: good sentence 44, PPL: -10.69176
89: bad sentence 44, PPL: -13.84981
90: good sentence 45, PPL: -8.88719
91: bad sentence 45, PPL: -23.93455
92: good sentence 46, PPL: -8.99291
93: bad sentence 46, PPL: -14.98358
94: good sentence 47, PPL: -1.73606
