Plural
	cl_men_self_female
Model: google-bert/bert-base-chinese, Accuracy: 100.00000, Average Perplexity (Good Sentences): -4.26202, Average Perplexity (Bad Sentences): -6.07262
0: good sentence 0, PPL: -2.51518
1: bad sentence 0, PPL: -3.77782
2: good sentence 1, PPL: -3.60708
3: bad sentence 1, PPL: -5.25898
4: good sentence 2, PPL: -5.58402
5: bad sentence 2, PPL: -8.62402
6: good sentence 3, PPL: -53.88054
7: bad sentence 3, PPL: -85.90562
8: good sentence 4, PPL: -6.71954
9: bad sentence 4, PPL: -8.87924
10: good sentence 5, PPL: -2.95988
11: bad sentence 5, PPL: -4.22914
12: good sentence 6, PPL: -14.39676
13: bad sentence 6, PPL: -23.62297
14: good sentence 7, PPL: -19.87448
15: bad sentence 7, PPL: -37.00092
16: good sentence 8, PPL: -11.94335
17: bad sentence 8, PPL: -26.72142
18: good sentence 9, PPL: -12.77921
19: bad sentence 9, PPL: -23.12278
20: good sentence 10, PPL: -6.45526
21: bad sentence 10, PPL: -9.77732
22: good sentence 11, PPL: -47.18528
23: bad sentence 11, PPL: -86.81985
24: good sentence 12, PPL: -2.86863
25: bad sentence 12, PPL: -3.20553
26: good sentence 13, PPL: -7.07408
27: bad sentence 13, PPL: -8.99977
28: good sentence 14, PPL: -17.23022
29: bad sentence 14, PPL: -28.36159
30: good sentence 15, PPL: -8.89150
31: bad sentence 15, PPL: -11.19136
32: good sentence 16, PPL: -3.52790
33: bad sentence 16, PPL: -4.67188
34: good sentence 17, PPL: -2.12452
35: bad sentence 17, PPL: -2.66840
36: good sentence 18, PPL: -1.82708
37: bad sentence 18, PPL: -2.23764
38: good sentence 19, PPL: -2.04171
39: bad sentence 19, PPL: -2.52373
40: good sentence 20, PPL: -11.56079
41: bad sentence 20, PPL: -18.34988
42: good sentence 21, PPL: -7.02314
43: bad sentence 21, PPL: -11.30643
44: good sentence 22, PPL: -7.76516
45: bad sentence 22, PPL: -9.88913
46: good sentence 23, PPL: -2.40387
47: bad sentence 23, PPL: -2.84040
48: good sentence 24, PPL: -2.19723
49: bad sentence 24, PPL: -2.66595
50: good sentence 25, PPL: -2.04660
51: bad sentence 25, PPL: -2.61660
52: good sentence 26, PPL: -4.58809
53: bad sentence 26, PPL: -7.01380
54: good sentence 27, PPL: -4.42261
55: bad sentence 27, PPL: -5.77742
56: good sentence 28, PPL: -2.87100
57: bad sentence 28, PPL: -3.85351
58: good sentence 29, PPL: -4.35005
59: bad sentence 29, PPL: -5.37334
60: good sentence 30, PPL: -2.55120
61: bad sentence 30, PPL: -3.15050
62: good sentence 31, PPL: -8.75638
63: bad sentence 31, PPL: -14.79606
64: good sentence 32, PPL: -9.33033
65: bad sentence 32, PPL: -13.12059
66: good sentence 33, PPL: -3.39601
