Plural
	cl_men_self_male
Model: google-bert/bert-base-chinese, Accuracy: 100.00000, Average Perplexity (Good Sentences): -5.39239, Average Perplexity (Bad Sentences): -7.99439
0: good sentence 0, PPL: -2.79423
1: bad sentence 0, PPL: -4.66241
2: good sentence 1, PPL: -4.04718
3: bad sentence 1, PPL: -6.32058
4: good sentence 2, PPL: -7.15593
5: bad sentence 2, PPL: -12.40446
6: good sentence 3, PPL: -54.03068
7: bad sentence 3, PPL: -90.85981
8: good sentence 4, PPL: -7.99629
9: bad sentence 4, PPL: -11.00964
10: good sentence 5, PPL: -3.15396
11: bad sentence 5, PPL: -4.56017
12: good sentence 6, PPL: -17.68343
13: bad sentence 6, PPL: -29.97705
14: good sentence 7, PPL: -26.32376
15: bad sentence 7, PPL: -54.58413
16: good sentence 8, PPL: -17.78213
17: bad sentence 8, PPL: -35.56388
18: good sentence 9, PPL: -21.50155
19: bad sentence 9, PPL: -44.67809
20: good sentence 10, PPL: -7.48644
21: bad sentence 10, PPL: -12.48322
22: good sentence 11, PPL: -46.64716
23: bad sentence 11, PPL: -81.04048
24: good sentence 12, PPL: -3.33294
25: bad sentence 12, PPL: -4.13531
26: good sentence 13, PPL: -7.70684
27: bad sentence 13, PPL: -10.44645
28: good sentence 14, PPL: -26.26042
29: bad sentence 14, PPL: -46.13032
30: good sentence 15, PPL: -9.60281
31: bad sentence 15, PPL: -12.86465
32: good sentence 16, PPL: -4.54682
33: bad sentence 16, PPL: -6.57039
34: good sentence 17, PPL: -2.50012
35: bad sentence 17, PPL: -3.27468
36: good sentence 18, PPL: -2.22576
37: bad sentence 18, PPL: -2.90053
38: good sentence 19, PPL: -3.45600
39: bad sentence 19, PPL: -4.33508
40: good sentence 20, PPL: -15.04735
41: bad sentence 20, PPL: -24.40815
42: good sentence 21, PPL: -12.57154
43: bad sentence 21, PPL: -20.99199
44: good sentence 22, PPL: -9.31737
45: bad sentence 22, PPL: -12.95964
46: good sentence 23, PPL: -3.00896
47: bad sentence 23, PPL: -3.72492
48: good sentence 24, PPL: -2.69713
49: bad sentence 24, PPL: -3.24491
50: good sentence 25, PPL: -2.49489
51: bad sentence 25, PPL: -3.14302
52: good sentence 26, PPL: -4.95638
53: bad sentence 26, PPL: -7.21634
54: good sentence 27, PPL: -5.50526
55: bad sentence 27, PPL: -7.90733
56: good sentence 28, PPL: -3.39468
57: bad sentence 28, PPL: -4.75190
58: good sentence 29, PPL: -4.68133
59: bad sentence 29, PPL: -6.16825
60: good sentence 30, PPL: -3.33232
61: bad sentence 30, PPL: -4.30468
62: good sentence 31, PPL: -12.89383
63: bad sentence 31, PPL: -24.52607
64: good sentence 32, PPL: -11.07539
65: bad sentence 32, PPL: -16.73983
66: good sentence 33, PPL: -4.43155
67: bad sentence 33, PPL: -5.42095
68: good sentence 34, PPL: -8.80439
69: bad sentence 34, PPL: -23.83079
70: good sentence 35, PPL: -2.14486
71: bad sentence 35, PPL: -3.02637
72: good sentence 36, PPL: -9.96033
73: bad sentence 36, PPL: -18.33974
74: good sentence 37, PPL: -5.04974
75: bad sentence 37, PPL: -7.39574
76: good sentence 38, PPL: -2.44607
77: bad sentence 38, PPL: -3.13242
78: good sentence 39, PPL: -11.81150
79: bad sentence 39, PPL: -22.12416
80: good sentence 40, PPL: -7.30217
81: bad sentence 40, PPL: -12.34043
82: good sentence 41, PPL: -5.30566
83: bad sentence 41, PPL: -7.46195
84: good sentence 42, PPL: -4.04265
85: bad sentence 42, PPL: -5.86132
86: good sentence 43, PPL: -4.57198
87: bad sentence 43, PPL: -5.17159
88: good sentence 44, PPL: -2.19048
89: bad sentence 44, PPL: -3.01092
90: good sentence 45, PPL: -5.14723
91: bad sentence 45, PPL: -7.28706
92: good sentence 46, PPL: -2.64584
93: bad sentence 46, PPL: -3.24396
94: good sentence 47, PPL: -11.43951
95: bad sentence 47, PPL: -18.09083
96: good sentence 48, PPL: -2.69678
97: bad sentence 48, PPL: -3.79262
98: good sentence 49, PPL: -4.51536
99: bad sentence 49, PPL: -6.06224
100: good sentence 50, PPL: -26.35226
101: bad sentence 50, PPL: -37.86862
102: good sentence 51, PPL: -2.61615
103: bad sentence 51, PPL: -3.82693
104: good sentence 52, PPL: -3.40665
105: bad sentence 52, PPL: -4.71318
106: good sentence 53, PPL: -2.23501
107: bad sentence 53, PPL: -3.39795
