Plural
	cl_self_female
Model: google-bert/bert-base-chinese, Accuracy: 99.90000, Average Perplexity (Good Sentences): -3.78639, Average Perplexity (Bad Sentences): -6.41491
0: good sentence 0, PPL: -10.57037
1: bad sentence 0, PPL: -25.44176
2: good sentence 1, PPL: -2.58847
3: bad sentence 1, PPL: -3.37981
4: good sentence 2, PPL: -3.74701
5: bad sentence 2, PPL: -7.55041
6: good sentence 3, PPL: -12.34215
7: bad sentence 3, PPL: -16.51619
8: good sentence 4, PPL: -1.93633
9: bad sentence 4, PPL: -2.86296
10: good sentence 5, PPL: -2.88073
11: bad sentence 5, PPL: -5.46628
12: good sentence 6, PPL: -2.20594
13: bad sentence 6, PPL: -4.32995
14: good sentence 7, PPL: -2.49397
15: bad sentence 7, PPL: -4.42714
16: good sentence 8, PPL: -18.78721
17: bad sentence 8, PPL: -31.53175
18: good sentence 9, PPL: -9.86599
19: bad sentence 9, PPL: -19.64481
20: good sentence 10, PPL: -4.13683
21: bad sentence 10, PPL: -8.80262
22: good sentence 11, PPL: -1.85400
23: bad sentence 11, PPL: -2.98918
24: good sentence 12, PPL: -3.18702
25: bad sentence 12, PPL: -5.75981
26: good sentence 13, PPL: -7.62621
27: bad sentence 13, PPL: -14.33184
28: good sentence 14, PPL: -6.39984
29: bad sentence 14, PPL: -11.66872
30: good sentence 15, PPL: -2.66310
31: bad sentence 15, PPL: -4.04386
32: good sentence 16, PPL: -3.34889
33: bad sentence 16, PPL: -4.76414
34: good sentence 17, PPL: -4.52762
35: bad sentence 17, PPL: -7.42533
36: good sentence 18, PPL: -12.41406
37: bad sentence 18, PPL: -20.72372
38: good sentence 19, PPL: -4.53354
39: bad sentence 19, PPL: -7.61120
40: good sentence 20, PPL: -8.12041
41: bad sentence 20, PPL: -23.73394
42: good sentence 21, PPL: -5.41087
43: bad sentence 21, PPL: -9.50889
44: good sentence 22, PPL: -3.07754
45: bad sentence 22, PPL: -4.53436
46: good sentence 23, PPL: -2.59229
47: bad sentence 23, PPL: -3.74413
48: good sentence 24, PPL: -4.79818
49: bad sentence 24, PPL: -11.02899
50: good sentence 25, PPL: -5.22872
51: bad sentence 25, PPL: -7.48305
52: good sentence 26, PPL: -3.75822
53: bad sentence 26, PPL: -5.29152
54: good sentence 27, PPL: -3.73614
55: bad sentence 27, PPL: -8.64432
56: good sentence 28, PPL: -4.76336
57: bad sentence 28, PPL: -7.54971
58: good sentence 29, PPL: -5.60737
59: bad sentence 29, PPL: -9.00659
60: good sentence 30, PPL: -2.57554
61: bad sentence 30, PPL: -3.87194
62: good sentence 31, PPL: -9.16053
63: bad sentence 31, PPL: -25.63602
64: good sentence 32, PPL: -2.04130
65: bad sentence 32, PPL: -4.04601
66: good sentence 33, PPL: -1.56752
67: bad sentence 33, PPL: -2.49476
68: good sentence 34, PPL: -6.18351
69: bad sentence 34, PPL: -17.29676
70: good sentence 35, PPL: -4.24816
71: bad sentence 35, PPL: -6.19688
72: good sentence 36, PPL: -1.96123
73: bad sentence 36, PPL: -3.09830
74: good sentence 37, PPL: -2.91165
75: bad sentence 37, PPL: -4.53502
76: good sentence 38, PPL: -2.16077
77: bad sentence 38, PPL: -3.50223
78: good sentence 39, PPL: -10.27506
79: bad sentence 39, PPL: -16.59921
80: good sentence 40, PPL: -2.44946
81: bad sentence 40, PPL: -3.14362
82: good sentence 41, PPL: -5.06297
83: bad sentence 41, PPL: -9.01746
84: good sentence 42, PPL: -2.75124
85: bad sentence 42, PPL: -3.75658
86: good sentence 43, PPL: -3.12558
87: bad sentence 43, PPL: -4.70001
88: good sentence 44, PPL: -2.73309
89: bad sentence 44, PPL: -5.11209
90: good sentence 45, PPL: -2.22165
91: bad sentence 45, PPL: -3.07644
92: good sentence 46, PPL: -2.67338
93: bad sentence 46, PPL: -3.70288
94: good sentence 47, PPL: -4.15279
95: bad sentence 47, PPL: -5.23526
96: good sentence 48, PPL: -7.16882
97: bad sentence 48, PPL: -11.51246
98: good sentence 49, PPL: -3.15448
99: bad sentence 49, PPL: -4.66648
100: good sentence 50, PPL: -4.56661
101: bad sentence 50, PPL: -8.66864
102: good sentence 51, PPL: -3.97778
103: bad sentence 51, PPL: -6.66939
104: good sentence 52, PPL: -1.66460
105: bad sentence 52, PPL: -2.43188
106: good sentence 53, PPL: -1.93123
107: bad sentence 53, PPL: -2.80484
108: good sentence 54, PPL: -4.48205
109: bad sentence 54, PPL: -10.92358
110: good sentence 55, PPL: -3.79176
111: bad sentence 55, PPL: -5.81617
112: good sentence 56, PPL: -2.77128
113: bad sentence 56, PPL: -4.15394
114: good sentence 57, PPL: -6.60056
115: bad sentence 57, PPL: -9.93228
116: good sentence 58, PPL: -5.02724
117: bad sentence 58, PPL: -7.87167
118: good sentence 59, PPL: -6.08783
119: bad sentence 59, PPL: -8.44167
120: good sentence 60, PPL: -5.32186
121: bad sentence 60, PPL: -8.50289
122: good sentence 61, PPL: -4.42508
