Plural
	cl_self_male
Model: google-bert/bert-base-chinese, Accuracy: 99.90000, Average Perplexity (Good Sentences): -4.87991, Average Perplexity (Bad Sentences): -8.66374
0: good sentence 0, PPL: -15.58001
1: bad sentence 0, PPL: -40.54564
2: good sentence 1, PPL: -2.99635
3: bad sentence 1, PPL: -4.08848
4: good sentence 2, PPL: -6.11683
5: bad sentence 2, PPL: -13.07435
6: good sentence 3, PPL: -14.36644
7: bad sentence 3, PPL: -21.53154
8: good sentence 4, PPL: -2.49434
9: bad sentence 4, PPL: -3.82941
10: good sentence 5, PPL: -3.56343
11: bad sentence 5, PPL: -7.40831
12: good sentence 6, PPL: -3.17693
13: bad sentence 6, PPL: -6.14106
14: good sentence 7, PPL: -3.14709
15: bad sentence 7, PPL: -5.80276
16: good sentence 8, PPL: -28.25584
17: bad sentence 8, PPL: -52.83401
18: good sentence 9, PPL: -14.58115
19: bad sentence 9, PPL: -29.55611
20: good sentence 10, PPL: -4.40125
21: bad sentence 10, PPL: -9.90941
22: good sentence 11, PPL: -2.13239
23: bad sentence 11, PPL: -3.80569
24: good sentence 12, PPL: -4.32553
25: bad sentence 12, PPL: -7.83093
26: good sentence 13, PPL: -7.89604
27: bad sentence 13, PPL: -14.39878
28: good sentence 14, PPL: -8.98606
29: bad sentence 14, PPL: -18.70691
30: good sentence 15, PPL: -3.39477
31: bad sentence 15, PPL: -6.03297
32: good sentence 16, PPL: -4.04234
33: bad sentence 16, PPL: -5.48395
34: good sentence 17, PPL: -5.57639
35: bad sentence 17, PPL: -9.63205
36: good sentence 18, PPL: -19.80908
37: bad sentence 18, PPL: -34.81706
38: good sentence 19, PPL: -5.77869
39: bad sentence 19, PPL: -10.21052
40: good sentence 20, PPL: -17.85916
41: bad sentence 20, PPL: -42.76049
42: good sentence 21, PPL: -6.21977
43: bad sentence 21, PPL: -12.35554
44: good sentence 22, PPL: -5.14504
45: bad sentence 22, PPL: -8.04438
46: good sentence 23, PPL: -2.80210
47: bad sentence 23, PPL: -4.17404
48: good sentence 24, PPL: -5.93674
49: bad sentence 24, PPL: -13.25837
50: good sentence 25, PPL: -8.17634
51: bad sentence 25, PPL: -13.92974
52: good sentence 26, PPL: -4.23437
53: bad sentence 26, PPL: -7.10967
54: good sentence 27, PPL: -4.30294
55: bad sentence 27, PPL: -12.37876
56: good sentence 28, PPL: -6.95711
57: bad sentence 28, PPL: -10.61080
58: good sentence 29, PPL: -7.68512
59: bad sentence 29, PPL: -12.27929
60: good sentence 30, PPL: -3.08785
61: bad sentence 30, PPL: -5.20711
62: good sentence 31, PPL: -14.23079
63: bad sentence 31, PPL: -40.25535
64: good sentence 32, PPL: -2.31778
65: bad sentence 32, PPL: -4.65781
66: good sentence 33, PPL: -1.90678
67: bad sentence 33, PPL: -2.94231
68: good sentence 34, PPL: -6.91551
69: bad sentence 34, PPL: -18.88685
70: good sentence 35, PPL: -6.41516
