Plural
	menself_female
Model: google-bert/bert-base-chinese, Accuracy: 98.80000, Average Perplexity (Good Sentences): -3.75384, Average Perplexity (Bad Sentences): -5.10320
0: good sentence 0, PPL: -4.81949
1: bad sentence 0, PPL: -11.29095
2: good sentence 1, PPL: -11.28185
3: bad sentence 1, PPL: -21.97502
4: good sentence 2, PPL: -4.36410
5: bad sentence 2, PPL: -4.85180
6: good sentence 3, PPL: -6.82761
7: bad sentence 3, PPL: -10.34419
8: good sentence 4, PPL: -1.70290
9: bad sentence 4, PPL: -2.00386
10: good sentence 5, PPL: -2.46608
11: bad sentence 5, PPL: -3.07906
12: good sentence 6, PPL: -2.52179
13: bad sentence 6, PPL: -2.89110
14: good sentence 7, PPL: -4.82328
15: bad sentence 7, PPL: -5.82838
16: good sentence 8, PPL: -3.11886
17: bad sentence 8, PPL: -4.19534
18: good sentence 9, PPL: -5.15450
19: bad sentence 9, PPL: -5.34196
20: good sentence 10, PPL: -5.00947
21: bad sentence 10, PPL: -11.52336
22: good sentence 11, PPL: -2.44589
23: bad sentence 11, PPL: -2.61935
24: good sentence 12, PPL: -4.40734
25: bad sentence 12, PPL: -7.69399
26: good sentence 13, PPL: -3.43377
27: bad sentence 13, PPL: -4.86617
28: good sentence 14, PPL: -4.64669
29: bad sentence 14, PPL: -10.25775
30: good sentence 15, PPL: -4.36699
31: bad sentence 15, PPL: -5.21871
32: good sentence 16, PPL: -1.44031
33: bad sentence 16, PPL: -1.50826
34: good sentence 17, PPL: -2.39919
35: bad sentence 17, PPL: -2.92655
36: good sentence 18, PPL: -2.94128
37: bad sentence 18, PPL: -3.09645
38: good sentence 19, PPL: -2.27315
39: bad sentence 19, PPL: -2.55454
40: good sentence 20, PPL: -1.79768
41: bad sentence 20, PPL: -2.93120
42: good sentence 21, PPL: -4.96994
43: bad sentence 21, PPL: -7.20879
44: good sentence 22, PPL: -2.12777
45: bad sentence 22, PPL: -2.75158
46: good sentence 23, PPL: -17.70006
47: bad sentence 23, PPL: -34.36117
48: good sentence 24, PPL: -1.93125
49: bad sentence 24, PPL: -2.08101
50: good sentence 25, PPL: -4.32485
51: bad sentence 25, PPL: -6.47700
52: good sentence 26, PPL: -2.89510
53: bad sentence 26, PPL: -3.31585
54: good sentence 27, PPL: -3.79052
55: bad sentence 27, PPL: -4.11903
56: good sentence 28, PPL: -2.26665
57: bad sentence 28, PPL: -2.70797
58: good sentence 29, PPL: -17.88029
59: bad sentence 29, PPL: -16.79776
60: good sentence 30, PPL: -6.78643
61: bad sentence 30, PPL: -8.33096
62: good sentence 31, PPL: -2.64731
63: bad sentence 31, PPL: -3.90209
64: good sentence 32, PPL: -4.38975
65: bad sentence 32, PPL: -5.55135
66: good sentence 33, PPL: -1.43109
67: bad sentence 33, PPL: -1.55950
68: good sentence 34, PPL: -4.81421
69: bad sentence 34, PPL: -6.62582
70: good sentence 35, PPL: -1.49161
71: bad sentence 35, PPL: -2.02721
72: good sentence 36, PPL: -3.02323
73: bad sentence 36, PPL: -3.51468
74: good sentence 37, PPL: -1.79458
75: bad sentence 37, PPL: -2.34313
76: good sentence 38, PPL: -2.33104
77: bad sentence 38, PPL: -2.87962
78: good sentence 39, PPL: -2.50782
79: bad sentence 39, PPL: -3.81427
80: good sentence 40, PPL: -1.69990
81: bad sentence 40, PPL: -1.94043
82: good sentence 41, PPL: -5.08906
83: bad sentence 41, PPL: -7.70721
84: good sentence 42, PPL: -2.50974
85: bad sentence 42, PPL: -2.91585
86: good sentence 43, PPL: -1.48679
87: bad sentence 43, PPL: -1.88246
88: good sentence 44, PPL: -6.53015
89: bad sentence 44, PPL: -8.33353
90: good sentence 45, PPL: -5.42970
91: bad sentence 45, PPL: -11.03426
92: good sentence 46, PPL: -7.22683
93: bad sentence 46, PPL: -11.36885
94: good sentence 47, PPL: -1.51461
95: bad sentence 47, PPL: -1.70117
96: good sentence 48, PPL: -3.42943
97: bad sentence 48, PPL: -3.82600
98: good sentence 49, PPL: -12.77555
99: bad sentence 49, PPL: -14.70880
100: good sentence 50, PPL: -7.63258
101: bad sentence 50, PPL: -12.44116
102: good sentence 51, PPL: -2.55913
103: bad sentence 51, PPL: -3.40867
104: good sentence 52, PPL: -5.53236
105: bad sentence 52, PPL: -7.40300
106: good sentence 53, PPL: -8.16597
107: bad sentence 53, PPL: -11.18740
108: good sentence 54, PPL: -11.87238
109: bad sentence 54, PPL: -14.61466
110: good sentence 55, PPL: -4.73701
111: bad sentence 55, PPL: -7.16641
112: good sentence 56, PPL: -2.60590
113: bad sentence 56, PPL: -2.68596
114: good sentence 57, PPL: -5.41521
115: bad sentence 57, PPL: -14.41008
116: good sentence 58, PPL: -8.64372
117: bad sentence 58, PPL: -12.69751
118: good sentence 59, PPL: -1.57224
119: bad sentence 59, PPL: -1.87553
120: good sentence 60, PPL: -7.51075
121: bad sentence 60, PPL: -11.52181
122: good sentence 61, PPL: -6.49277
123: bad sentence 61, PPL: -11.54722
124: good sentence 62, PPL: -1.70345
125: bad sentence 62, PPL: -2.04942
126: good sentence 63, PPL: -3.11683
127: bad sentence 63, PPL: -4.42826
128: good sentence 64, PPL: -1.58166
129: bad sentence 64, PPL: -1.66881
130: good sentence 65, PPL: -3.64168
131: bad sentence 65, PPL: -6.45563
132: good sentence 66, PPL: -1.65242
133: bad sentence 66, PPL: -1.86377
134: good sentence 67, PPL: -2.35873
135: bad sentence 67, PPL: -3.40632
136: good sentence 68, PPL: -2.67953
137: bad sentence 68, PPL: -3.11443
138: good sentence 69, PPL: -2.03435
139: bad sentence 69, PPL: -2.48819
140: good sentence 70, PPL: -5.11497
141: bad sentence 70, PPL: -7.98850
142: good sentence 71, PPL: -2.26745
143: bad sentence 71, PPL: -2.86484
144: good sentence 72, PPL: -6.24198
145: bad sentence 72, PPL: -7.64486
146: good sentence 73, PPL: -11.80642
147: bad sentence 73, PPL: -21.00058
148: good sentence 74, PPL: -1.98223
149: bad sentence 74, PPL: -2.26898
150: good sentence 75, PPL: -4.38558
151: bad sentence 75, PPL: -5.70210
152: good sentence 76, PPL: -2.05762
153: bad sentence 76, PPL: -2.77717
154: good sentence 77, PPL: -1.95589
155: bad sentence 77, PPL: -2.66981
156: good sentence 78, PPL: -2.02309
157: bad sentence 78, PPL: -2.63654
158: good sentence 79, PPL: -3.52910
159: bad sentence 79, PPL: -5.53030
160: good sentence 80, PPL: -9.71866
161: bad sentence 80, PPL: -15.11109
162: good sentence 81, PPL: -4.36815
163: bad sentence 81, PPL: -7.74042
164: good sentence 82, PPL: -1.96148
165: bad sentence 82, PPL: -2.33321
166: good sentence 83, PPL: -6.55805
167: bad sentence 83, PPL: -7.82925
168: good sentence 84, PPL: -6.36352
169: bad sentence 84, PPL: -8.85056
170: good sentence 85, PPL: -4.63460
171: bad sentence 85, PPL: -10.54832
172: good sentence 86, PPL: -3.44876
173: bad sentence 86, PPL: -3.91476
174: good sentence 87, PPL: -1.82609
175: bad sentence 87, PPL: -2.07715
176: good sentence 88, PPL: -1.88916
177: bad sentence 88, PPL: -2.33868
178: good sentence 89, PPL: -1.91404
179: bad sentence 89, PPL: -1.97861
180: good sentence 90, PPL: -2.10406
181: bad sentence 90, PPL: -3.00391
182: good sentence 91, PPL: -6.73877
183: bad sentence 91, PPL: -11.58707
184: good sentence 92, PPL: -4.29812
185: bad sentence 92, PPL: -7.14564
186: good sentence 93, PPL: -2.66714
187: bad sentence 93, PPL: -2.77445
188: good sentence 94, PPL: -2.30236
189: bad sentence 94, PPL: -2.66236
190: good sentence 95, PPL: -4.38112
