Plural
	menself_male
Model: google-bert/bert-base-chinese, Accuracy: 99.30000, Average Perplexity (Good Sentences): -5.08402, Average Perplexity (Bad Sentences): -7.26144
0: good sentence 0, PPL: -6.13393
1: bad sentence 0, PPL: -12.04226
2: good sentence 1, PPL: -11.92723
3: bad sentence 1, PPL: -23.40952
4: good sentence 2, PPL: -4.93130
5: bad sentence 2, PPL: -5.90456
6: good sentence 3, PPL: -11.19800
7: bad sentence 3, PPL: -18.41948
8: good sentence 4, PPL: -2.07847
9: bad sentence 4, PPL: -2.48176
10: good sentence 5, PPL: -3.71622
11: bad sentence 5, PPL: -4.77958
12: good sentence 6, PPL: -3.40109
13: bad sentence 6, PPL: -4.16109
14: good sentence 7, PPL: -5.80386
15: bad sentence 7, PPL: -7.75695
16: good sentence 8, PPL: -3.43372
17: bad sentence 8, PPL: -5.41690
18: good sentence 9, PPL: -7.71257
19: bad sentence 9, PPL: -9.61382
20: good sentence 10, PPL: -5.83377
21: bad sentence 10, PPL: -12.97669
22: good sentence 11, PPL: -3.00178
23: bad sentence 11, PPL: -3.35919
24: good sentence 12, PPL: -5.58132
25: bad sentence 12, PPL: -10.55043
26: good sentence 13, PPL: -4.30692
27: bad sentence 13, PPL: -6.88666
28: good sentence 14, PPL: -6.41276
29: bad sentence 14, PPL: -14.06161
30: good sentence 15, PPL: -5.43458
31: bad sentence 15, PPL: -6.85479
32: good sentence 16, PPL: -1.82109
33: bad sentence 16, PPL: -1.90823
34: good sentence 17, PPL: -4.12270
35: bad sentence 17, PPL: -4.40980
36: good sentence 18, PPL: -4.90328
37: bad sentence 18, PPL: -5.94428
38: good sentence 19, PPL: -3.13898
39: bad sentence 19, PPL: -3.73515
40: good sentence 20, PPL: -1.99735
41: bad sentence 20, PPL: -3.48051
42: good sentence 21, PPL: -7.49689
43: bad sentence 21, PPL: -11.19489
44: good sentence 22, PPL: -2.52012
45: bad sentence 22, PPL: -3.25806
46: good sentence 23, PPL: -23.57668
47: bad sentence 23, PPL: -53.21264
48: good sentence 24, PPL: -2.47603
49: bad sentence 24, PPL: -2.61232
50: good sentence 25, PPL: -4.54174
51: bad sentence 25, PPL: -7.99080
52: good sentence 26, PPL: -3.22249
53: bad sentence 26, PPL: -4.26199
54: good sentence 27, PPL: -6.08829
55: bad sentence 27, PPL: -7.35822
56: good sentence 28, PPL: -2.55668
57: bad sentence 28, PPL: -3.14059
58: good sentence 29, PPL: -21.09755
59: bad sentence 29, PPL: -19.75382
60: good sentence 30, PPL: -7.79833
61: bad sentence 30, PPL: -10.65271
62: good sentence 31, PPL: -4.02743
63: bad sentence 31, PPL: -5.73516
64: good sentence 32, PPL: -6.53758
65: bad sentence 32, PPL: -8.22945
66: good sentence 33, PPL: -2.03815
67: bad sentence 33, PPL: -2.42988
68: good sentence 34, PPL: -5.23838
69: bad sentence 34, PPL: -7.48987
70: good sentence 35, PPL: -1.62789
71: bad sentence 35, PPL: -2.26804
72: good sentence 36, PPL: -5.24445
73: bad sentence 36, PPL: -6.28757
74: good sentence 37, PPL: -2.31309
75: bad sentence 37, PPL: -3.13143
76: good sentence 38, PPL: -3.57815
77: bad sentence 38, PPL: -5.14217
78: good sentence 39, PPL: -2.91189
79: bad sentence 39, PPL: -4.97052
80: good sentence 40, PPL: -2.05125
81: bad sentence 40, PPL: -2.36222
82: good sentence 41, PPL: -7.94543
83: bad sentence 41, PPL: -14.34514
84: good sentence 42, PPL: -2.98058
85: bad sentence 42, PPL: -3.55875
86: good sentence 43, PPL: -2.05894
87: bad sentence 43, PPL: -2.68267
88: good sentence 44, PPL: -7.72810
89: bad sentence 44, PPL: -11.49923
90: good sentence 45, PPL: -6.94942
91: bad sentence 45, PPL: -14.49628
92: good sentence 46, PPL: -22.36967
93: bad sentence 46, PPL: -106.64542
94: good sentence 47, PPL: -1.98591
95: bad sentence 47, PPL: -2.24549
96: good sentence 48, PPL: -6.20339
97: bad sentence 48, PPL: -7.11797
98: good sentence 49, PPL: -22.37920
99: bad sentence 49, PPL: -27.29491
100: good sentence 50, PPL: -10.57280
101: bad sentence 50, PPL: -18.62212
102: good sentence 51, PPL: -2.89030
103: bad sentence 51, PPL: -4.25215
104: good sentence 52, PPL: -6.19785
105: bad sentence 52, PPL: -8.91671
106: good sentence 53, PPL: -11.27488
107: bad sentence 53, PPL: -19.66909
108: good sentence 54, PPL: -19.73745
109: bad sentence 54, PPL: -31.71365
110: good sentence 55, PPL: -5.43481
111: bad sentence 55, PPL: -8.76746
112: good sentence 56, PPL: -3.36426
113: bad sentence 56, PPL: -4.18267
114: good sentence 57, PPL: -6.99000
115: bad sentence 57, PPL: -16.84266
116: good sentence 58, PPL: -8.39211
117: bad sentence 58, PPL: -13.12572
118: good sentence 59, PPL: -2.35366
119: bad sentence 59, PPL: -2.48868
120: good sentence 60, PPL: -11.16642
121: bad sentence 60, PPL: -20.00212
122: good sentence 61, PPL: -6.55698
123: bad sentence 61, PPL: -13.03229
124: good sentence 62, PPL: -2.03140
125: bad sentence 62, PPL: -2.58932
126: good sentence 63, PPL: -3.52163
127: bad sentence 63, PPL: -5.52212
128: good sentence 64, PPL: -2.03132
129: bad sentence 64, PPL: -2.29415
130: good sentence 65, PPL: -5.91764
131: bad sentence 65, PPL: -8.97732
132: good sentence 66, PPL: -2.19199
133: bad sentence 66, PPL: -2.51278
134: good sentence 67, PPL: -3.97116
135: bad sentence 67, PPL: -5.58071
136: good sentence 68, PPL: -4.34157
137: bad sentence 68, PPL: -6.25058
138: good sentence 69, PPL: -3.04629
139: bad sentence 69, PPL: -3.81920
140: good sentence 70, PPL: -8.19189
141: bad sentence 70, PPL: -13.24370
142: good sentence 71, PPL: -2.98234
143: bad sentence 71, PPL: -3.65713
144: good sentence 72, PPL: -10.05844
145: bad sentence 72, PPL: -11.35926
146: good sentence 73, PPL: -15.10579
147: bad sentence 73, PPL: -23.06143
148: good sentence 74, PPL: -2.64966
149: bad sentence 74, PPL: -3.35242
150: good sentence 75, PPL: -6.31904
151: bad sentence 75, PPL: -9.18778
152: good sentence 76, PPL: -3.96681
153: bad sentence 76, PPL: -5.40706
154: good sentence 77, PPL: -2.52233
155: bad sentence 77, PPL: -3.60056
156: good sentence 78, PPL: -2.25498
157: bad sentence 78, PPL: -3.22256
158: good sentence 79, PPL: -4.17884
159: bad sentence 79, PPL: -7.37675
160: good sentence 80, PPL: -10.55413
161: bad sentence 80, PPL: -19.20983
162: good sentence 81, PPL: -6.03428
163: bad sentence 81, PPL: -10.69277
164: good sentence 82, PPL: -2.29075
165: bad sentence 82, PPL: -2.58621
166: good sentence 83, PPL: -8.76297
167: bad sentence 83, PPL: -12.46159
168: good sentence 84, PPL: -8.09763
169: bad sentence 84, PPL: -13.44632
170: good sentence 85, PPL: -4.99196
171: bad sentence 85, PPL: -12.80440
172: good sentence 86, PPL: -6.67179
173: bad sentence 86, PPL: -6.77237
174: good sentence 87, PPL: -2.70906
175: bad sentence 87, PPL: -3.28811
176: good sentence 88, PPL: -2.15320
177: bad sentence 88, PPL: -3.00505
178: good sentence 89, PPL: -2.65925
179: bad sentence 89, PPL: -3.19553
180: good sentence 90, PPL: -2.30823
181: bad sentence 90, PPL: -3.34065
182: good sentence 91, PPL: -10.94226
183: bad sentence 91, PPL: -18.77713
184: good sentence 92, PPL: -6.14449
185: bad sentence 92, PPL: -10.41789
186: good sentence 93, PPL: -3.66550
187: bad sentence 93, PPL: -3.97168
188: good sentence 94, PPL: -2.85536
189: bad sentence 94, PPL: -3.75245
190: good sentence 95, PPL: -5.34126
191: bad sentence 95, PPL: -17.19446
192: good sentence 96, PPL: -7.91913
193: bad sentence 96, PPL: -11.01968
194: good sentence 97, PPL: -7.98012
195: bad sentence 97, PPL: -12.73652
196: good sentence 98, PPL: -3.90940
197: bad sentence 98, PPL: -5.21186
198: good sentence 99, PPL: -16.06170
199: bad sentence 99, PPL: -22.00244
200: good sentence 100, PPL: -4.04723
201: bad sentence 100, PPL: -5.34535
202: good sentence 101, PPL: -2.96856
203: bad sentence 101, PPL: -4.77595
204: good sentence 102, PPL: -7.25790
205: bad sentence 102, PPL: -10.58811
206: good sentence 103, PPL: -2.05449
207: bad sentence 103, PPL: -2.87215
208: good sentence 104, PPL: -2.75071
209: bad sentence 104, PPL: -3.14376
210: good sentence 105, PPL: -5.17915
211: bad sentence 105, PPL: -6.67898
212: good sentence 106, PPL: -5.23245
213: bad sentence 106, PPL: -5.96217
214: good sentence 107, PPL: -6.71649
215: bad sentence 107, PPL: -10.06906
216: good sentence 108, PPL: -6.33593
217: bad sentence 108, PPL: -9.39328
218: good sentence 109, PPL: -3.00760
219: bad sentence 109, PPL: -3.87580
220: good sentence 110, PPL: -3.53853
221: bad sentence 110, PPL: -5.47054
222: good sentence 111, PPL: -2.44003
223: bad sentence 111, PPL: -4.05053
224: good sentence 112, PPL: -8.70561
225: bad sentence 112, PPL: -13.21287
226: good sentence 113, PPL: -5.68161
227: bad sentence 113, PPL: -8.24959
228: good sentence 114, PPL: -6.38475
229: bad sentence 114, PPL: -10.63159
230: good sentence 115, PPL: -2.88237
231: bad sentence 115, PPL: -3.27162
232: good sentence 116, PPL: -32.30413
