Anaphor
	self_female
Model: google-bert/bert-base-chinese, Accuracy: 99.30000, Average Perplexity (Good Sentences): -3.94521, Average Perplexity (Bad Sentences): -5.32115
0: good sentence 0, PPL: -4.61096
1: bad sentence 0, PPL: -6.32393
2: good sentence 1, PPL: -1.95009
3: bad sentence 1, PPL: -2.17194
4: good sentence 2, PPL: -2.39459
5: bad sentence 2, PPL: -2.89020
6: good sentence 3, PPL: -5.86877
7: bad sentence 3, PPL: -8.33762
8: good sentence 4, PPL: -4.87677
9: bad sentence 4, PPL: -5.96056
10: good sentence 5, PPL: -2.59984
11: bad sentence 5, PPL: -3.82737
12: good sentence 6, PPL: -1.48285
13: bad sentence 6, PPL: -1.85501
14: good sentence 7, PPL: -2.21521
15: bad sentence 7, PPL: -2.97468
16: good sentence 8, PPL: -18.42450
17: bad sentence 8, PPL: -22.55011
18: good sentence 9, PPL: -1.91899
19: bad sentence 9, PPL: -2.62818
20: good sentence 10, PPL: -13.56171
21: bad sentence 10, PPL: -19.10970
22: good sentence 11, PPL: -2.03638
23: bad sentence 11, PPL: -3.53921
24: good sentence 12, PPL: -3.63986
25: bad sentence 12, PPL: -5.89316
26: good sentence 13, PPL: -6.47578
27: bad sentence 13, PPL: -10.47666
28: good sentence 14, PPL: -3.75369
29: bad sentence 14, PPL: -4.94428
30: good sentence 15, PPL: -1.60991
31: bad sentence 15, PPL: -1.89418
32: good sentence 16, PPL: -1.67594
33: bad sentence 16, PPL: -2.19226
34: good sentence 17, PPL: -12.94729
35: bad sentence 17, PPL: -19.43782
36: good sentence 18, PPL: -1.37351
37: bad sentence 18, PPL: -1.87384
38: good sentence 19, PPL: -1.88830
39: bad sentence 19, PPL: -2.64973
40: good sentence 20, PPL: -1.25670
41: bad sentence 20, PPL: -2.30847
42: good sentence 21, PPL: -6.10325
43: bad sentence 21, PPL: -7.80120
44: good sentence 22, PPL: -1.23990
45: bad sentence 22, PPL: -1.43583
46: good sentence 23, PPL: -5.30423
47: bad sentence 23, PPL: -8.13116
48: good sentence 24, PPL: -4.48033
49: bad sentence 24, PPL: -5.36645
50: good sentence 25, PPL: -2.47807
51: bad sentence 25, PPL: -3.09123
52: good sentence 26, PPL: -5.70163
53: bad sentence 26, PPL: -7.80047
54: good sentence 27, PPL: -5.73859
55: bad sentence 27, PPL: -6.74429
56: good sentence 28, PPL: -4.03469
57: bad sentence 28, PPL: -4.42937
58: good sentence 29, PPL: -3.69637
59: bad sentence 29, PPL: -5.69174
60: good sentence 30, PPL: -1.27302
61: bad sentence 30, PPL: -1.82939
62: good sentence 31, PPL: -2.72478
63: bad sentence 31, PPL: -4.13692
64: good sentence 32, PPL: -6.58158
65: bad sentence 32, PPL: -7.71569
66: good sentence 33, PPL: -2.84110
67: bad sentence 33, PPL: -3.66142
68: good sentence 34, PPL: -3.94940
69: bad sentence 34, PPL: -6.61484
70: good sentence 35, PPL: -1.92795
71: bad sentence 35, PPL: -2.44099
72: good sentence 36, PPL: -1.93575
73: bad sentence 36, PPL: -2.46692
74: good sentence 37, PPL: -13.68836
75: bad sentence 37, PPL: -20.88079
76: good sentence 38, PPL: -22.99577
77: bad sentence 38, PPL: -30.21179
78: good sentence 39, PPL: -2.04259
79: bad sentence 39, PPL: -2.84552
80: good sentence 40, PPL: -9.68300
81: bad sentence 40, PPL: -16.11300
82: good sentence 41, PPL: -2.56647
83: bad sentence 41, PPL: -3.06302
84: good sentence 42, PPL: -1.43020
85: bad sentence 42, PPL: -1.54300
86: good sentence 43, PPL: -1.76404
87: bad sentence 43, PPL: -2.16744
88: good sentence 44, PPL: -8.86116
89: bad sentence 44, PPL: -9.53213
90: good sentence 45, PPL: -6.01919
91: bad sentence 45, PPL: -7.41126
92: good sentence 46, PPL: -1.85998
93: bad sentence 46, PPL: -2.42528
94: good sentence 47, PPL: -2.96745
95: bad sentence 47, PPL: -4.00138
96: good sentence 48, PPL: -2.30353
97: bad sentence 48, PPL: -4.20354
98: good sentence 49, PPL: -1.87370
99: bad sentence 49, PPL: -2.51569
100: good sentence 50, PPL: -1.78647
101: bad sentence 50, PPL: -2.73067
102: good sentence 51, PPL: -1.44201
103: bad sentence 51, PPL: -2.36909
104: good sentence 52, PPL: -1.24596
105: bad sentence 52, PPL: -1.66812
106: good sentence 53, PPL: -1.66152
107: bad sentence 53, PPL: -1.97931
108: good sentence 54, PPL: -14.13567
109: bad sentence 54, PPL: -19.41710
110: good sentence 55, PPL: -1.57012
111: bad sentence 55, PPL: -2.19310
112: good sentence 56, PPL: -2.61800
113: bad sentence 56, PPL: -3.18691
114: good sentence 57, PPL: -3.51122
115: bad sentence 57, PPL: -4.31020
116: good sentence 58, PPL: -2.63552
117: bad sentence 58, PPL: -4.44999
118: good sentence 59, PPL: -5.59452
119: bad sentence 59, PPL: -8.37411
120: good sentence 60, PPL: -1.79502
121: bad sentence 60, PPL: -2.13767
122: good sentence 61, PPL: -2.60232
123: bad sentence 61, PPL: -3.48951
124: good sentence 62, PPL: -2.56114
125: bad sentence 62, PPL: -3.54928
126: good sentence 63, PPL: -4.74723
127: bad sentence 63, PPL: -5.97044
128: good sentence 64, PPL: -3.14865
129: bad sentence 64, PPL: -3.99399
130: good sentence 65, PPL: -1.58911
131: bad sentence 65, PPL: -2.16852
132: good sentence 66, PPL: -11.98664
133: bad sentence 66, PPL: -15.95471
134: good sentence 67, PPL: -2.67942
135: bad sentence 67, PPL: -4.13054
136: good sentence 68, PPL: -5.71941
137: bad sentence 68, PPL: -11.05225
138: good sentence 69, PPL: -2.81404
139: bad sentence 69, PPL: -4.13496
140: good sentence 70, PPL: -1.74387
141: bad sentence 70, PPL: -2.56225
142: good sentence 71, PPL: -7.66739
143: bad sentence 71, PPL: -10.64438
144: good sentence 72, PPL: -2.22516
145: bad sentence 72, PPL: -3.93108
146: good sentence 73, PPL: -3.60445
147: bad sentence 73, PPL: -4.27002
148: good sentence 74, PPL: -2.22228
149: bad sentence 74, PPL: -2.93386
150: good sentence 75, PPL: -1.99129
151: bad sentence 75, PPL: -3.00250
152: good sentence 76, PPL: -2.49617
153: bad sentence 76, PPL: -3.60845
154: good sentence 77, PPL: -3.11641
155: bad sentence 77, PPL: -3.52655
156: good sentence 78, PPL: -1.83871
157: bad sentence 78, PPL: -2.43204
158: good sentence 79, PPL: -1.32186
159: bad sentence 79, PPL: -1.74412
160: good sentence 80, PPL: -1.28226
161: bad sentence 80, PPL: -1.90974
162: good sentence 81, PPL: -13.34983
163: bad sentence 81, PPL: -23.45024
164: good sentence 82, PPL: -1.62381
165: bad sentence 82, PPL: -2.02689
166: good sentence 83, PPL: -1.27152
167: bad sentence 83, PPL: -1.93382
168: good sentence 84, PPL: -16.00708
169: bad sentence 84, PPL: -19.28974
170: good sentence 85, PPL: -1.75614
171: bad sentence 85, PPL: -2.65769
172: good sentence 86, PPL: -1.98630
173: bad sentence 86, PPL: -2.73973
174: good sentence 87, PPL: -3.78740
175: bad sentence 87, PPL: -4.85918
176: good sentence 88, PPL: -1.42519
177: bad sentence 88, PPL: -1.99428
178: good sentence 89, PPL: -2.95421
179: bad sentence 89, PPL: -4.49418
180: good sentence 90, PPL: -3.05630
181: bad sentence 90, PPL: -4.69297
182: good sentence 91, PPL: -8.52973
183: bad sentence 91, PPL: -10.59356
184: good sentence 92, PPL: -11.38186
185: bad sentence 92, PPL: -21.49956
186: good sentence 93, PPL: -2.71949
187: bad sentence 93, PPL: -3.25286
188: good sentence 94, PPL: -1.50851
189: bad sentence 94, PPL: -2.47024
190: good sentence 95, PPL: -3.32486
191: bad sentence 95, PPL: -4.22140
192: good sentence 96, PPL: -3.51983
193: bad sentence 96, PPL: -4.92679
194: good sentence 97, PPL: -15.39194
195: bad sentence 97, PPL: -22.04108
196: good sentence 98, PPL: -2.57786
197: bad sentence 98, PPL: -3.26277
198: good sentence 99, PPL: -3.06390
199: bad sentence 99, PPL: -4.08194
200: good sentence 100, PPL: -5.84784
201: bad sentence 100, PPL: -7.24031
202: good sentence 101, PPL: -3.98364
203: bad sentence 101, PPL: -5.19073
204: good sentence 102, PPL: -3.02995
205: bad sentence 102, PPL: -4.81083
206: good sentence 103, PPL: -2.25928
207: bad sentence 103, PPL: -3.70920
208: good sentence 104, PPL: -5.48400
209: bad sentence 104, PPL: -7.60205
210: good sentence 105, PPL: -2.65684
211: bad sentence 105, PPL: -3.74052
212: good sentence 106, PPL: -1.94934
213: bad sentence 106, PPL: -2.26786
214: good sentence 107, PPL: -5.03229
215: bad sentence 107, PPL: -6.18825
216: good sentence 108, PPL: -1.27786
217: bad sentence 108, PPL: -1.79217
218: good sentence 109, PPL: -8.36968
219: bad sentence 109, PPL: -12.13025
220: good sentence 110, PPL: -3.95339
221: bad sentence 110, PPL: -5.67420
222: good sentence 111, PPL: -14.44087
223: bad sentence 111, PPL: -18.46311
224: good sentence 112, PPL: -3.88713
225: bad sentence 112, PPL: -5.25442
226: good sentence 113, PPL: -2.02660
227: bad sentence 113, PPL: -3.06714
228: good sentence 114, PPL: -1.74345
229: bad sentence 114, PPL: -2.08439
230: good sentence 115, PPL: -2.04250
231: bad sentence 115, PPL: -2.98948
232: good sentence 116, PPL: -1.96902
233: bad sentence 116, PPL: -2.63666
234: good sentence 117, PPL: -6.15234
235: bad sentence 117, PPL: -7.83030
236: good sentence 118, PPL: -2.92172
237: bad sentence 118, PPL: -3.84710
238: good sentence 119, PPL: -1.68669
239: bad sentence 119, PPL: -2.64736
240: good sentence 120, PPL: -2.21601
241: bad sentence 120, PPL: -3.05743
242: good sentence 121, PPL: -10.79807
243: bad sentence 121, PPL: -20.03940
244: good sentence 122, PPL: -4.01677
245: bad sentence 122, PPL: -4.81214
246: good sentence 123, PPL: -2.93025
247: bad sentence 123, PPL: -3.76562
248: good sentence 124, PPL: -1.82746
249: bad sentence 124, PPL: -2.47510
250: good sentence 125, PPL: -4.48774
251: bad sentence 125, PPL: -5.92578
252: good sentence 126, PPL: -1.85091
253: bad sentence 126, PPL: -2.34569
254: good sentence 127, PPL: -2.02846
255: bad sentence 127, PPL: -2.57006
256: good sentence 128, PPL: -13.82003
257: bad sentence 128, PPL: -16.49579
258: good sentence 129, PPL: -22.31787
259: bad sentence 129, PPL: -28.58846
260: good sentence 130, PPL: -2.13236
261: bad sentence 130, PPL: -2.69531
262: good sentence 131, PPL: -9.99075
263: bad sentence 131, PPL: -14.88824
264: good sentence 132, PPL: -2.24072
265: bad sentence 132, PPL: -3.21331
266: good sentence 133, PPL: -11.19421
267: bad sentence 133, PPL: -11.70269
268: good sentence 134, PPL: -2.92580
269: bad sentence 134, PPL: -3.84730
270: good sentence 135, PPL: -7.22671
271: bad sentence 135, PPL: -8.48524
272: good sentence 136, PPL: -14.37950
273: bad sentence 136, PPL: -13.78630
274: good sentence 137, PPL: -2.10670
275: bad sentence 137, PPL: -2.70513
276: good sentence 138, PPL: -1.56349
277: bad sentence 138, PPL: -2.04539
278: good sentence 139, PPL: -5.24900
279: bad sentence 139, PPL: -9.07063
280: good sentence 140, PPL: -6.82039
281: bad sentence 140, PPL: -9.96051
282: good sentence 141, PPL: -1.92482
283: bad sentence 141, PPL: -2.72424
284: good sentence 142, PPL: -1.49188
285: bad sentence 142, PPL: -2.23435
286: good sentence 143, PPL: -6.04528
287: bad sentence 143, PPL: -7.77766
288: good sentence 144, PPL: -5.82287
289: bad sentence 144, PPL: -6.66601
290: good sentence 145, PPL: -9.75655
291: bad sentence 145, PPL: -12.73389
292: good sentence 146, PPL: -2.42051
293: bad sentence 146, PPL: -2.99918
294: good sentence 147, PPL: -3.60901
