DefinitenessEffect
	definiteness_demonstrative
Model: google-bert/bert-base-chinese, Accuracy: 98.20000, Average Perplexity (Good Sentences): -4.79858, Average Perplexity (Bad Sentences): -11.76479
0: good sentence 0, PPL: -3.51290
1: bad sentence 0, PPL: -5.64738
2: good sentence 1, PPL: -1.67361
3: bad sentence 1, PPL: -4.82086
4: good sentence 2, PPL: -5.55339
5: bad sentence 2, PPL: -18.72306
6: good sentence 3, PPL: -3.23906
7: bad sentence 3, PPL: -5.83553
8: good sentence 4, PPL: -2.41932
9: bad sentence 4, PPL: -7.84970
10: good sentence 5, PPL: -9.27352
11: bad sentence 5, PPL: -34.00231
12: good sentence 6, PPL: -7.40665
13: bad sentence 6, PPL: -10.05758
14: good sentence 7, PPL: -8.03595
15: bad sentence 7, PPL: -11.09490
16: good sentence 8, PPL: -5.93641
17: bad sentence 8, PPL: -10.89018
18: good sentence 9, PPL: -2.24360
19: bad sentence 9, PPL: -5.20443
20: good sentence 10, PPL: -3.17896
21: bad sentence 10, PPL: -5.68012
22: good sentence 11, PPL: -9.81541
23: bad sentence 11, PPL: -49.49617
24: good sentence 12, PPL: -9.51399
25: bad sentence 12, PPL: -14.13380
26: good sentence 13, PPL: -3.26025
27: bad sentence 13, PPL: -9.34496
28: good sentence 14, PPL: -5.54860
29: bad sentence 14, PPL: -7.75362
30: good sentence 15, PPL: -5.95139
31: bad sentence 15, PPL: -13.51033
32: good sentence 16, PPL: -2.44274
33: bad sentence 16, PPL: -8.66225
34: good sentence 17, PPL: -13.14172
35: bad sentence 17, PPL: -182.73281
36: good sentence 18, PPL: -4.23579
37: bad sentence 18, PPL: -8.14893
38: good sentence 19, PPL: -3.57924
39: bad sentence 19, PPL: -12.12504
40: good sentence 20, PPL: -2.46503
41: bad sentence 20, PPL: -5.67817
42: good sentence 21, PPL: -3.94997
43: bad sentence 21, PPL: -7.54786
44: good sentence 22, PPL: -3.56736
45: bad sentence 22, PPL: -9.43718
46: good sentence 23, PPL: -3.70069
47: bad sentence 23, PPL: -13.66197
48: good sentence 24, PPL: -4.74906
49: bad sentence 24, PPL: -6.60386
50: good sentence 25, PPL: -5.89788
51: bad sentence 25, PPL: -6.00615
52: good sentence 26, PPL: -2.75902
53: bad sentence 26, PPL: -8.87764
54: good sentence 27, PPL: -4.81476
55: bad sentence 27, PPL: -9.97868
56: good sentence 28, PPL: -2.46588
57: bad sentence 28, PPL: -4.50253
58: good sentence 29, PPL: -3.14262
59: bad sentence 29, PPL: -14.88328
60: good sentence 30, PPL: -8.32529
61: bad sentence 30, PPL: -26.51643
62: good sentence 31, PPL: -3.27130
63: bad sentence 31, PPL: -6.86565
64: good sentence 32, PPL: -3.46868
65: bad sentence 32, PPL: -6.12584
66: good sentence 33, PPL: -3.09613
67: bad sentence 33, PPL: -7.90820
68: good sentence 34, PPL: -67.74723
69: bad sentence 34, PPL: -108.07023
70: good sentence 35, PPL: -2.35420
71: bad sentence 35, PPL: -4.37376
72: good sentence 36, PPL: -2.28682
73: bad sentence 36, PPL: -9.16347
74: good sentence 37, PPL: -4.75181
75: bad sentence 37, PPL: -9.70076
76: good sentence 38, PPL: -13.40499
77: bad sentence 38, PPL: -37.56985
78: good sentence 39, PPL: -73.58018
79: bad sentence 39, PPL: -234.99955
80: good sentence 40, PPL: -11.20122
81: bad sentence 40, PPL: -20.54004
82: good sentence 41, PPL: -1.70405
83: bad sentence 41, PPL: -4.96916
84: good sentence 42, PPL: -6.30154
85: bad sentence 42, PPL: -15.75121
86: good sentence 43, PPL: -10.70135
87: bad sentence 43, PPL: -15.52571
88: good sentence 44, PPL: -4.31721
89: bad sentence 44, PPL: -8.09595
90: good sentence 45, PPL: -3.25515
91: bad sentence 45, PPL: -6.64913
92: good sentence 46, PPL: -1.69322
93: bad sentence 46, PPL: -4.53871
94: good sentence 47, PPL: -3.73762
95: bad sentence 47, PPL: -11.62323
96: good sentence 48, PPL: -28.80416
97: bad sentence 48, PPL: -71.66082
98: good sentence 49, PPL: -10.06626
99: bad sentence 49, PPL: -23.36082
100: good sentence 50, PPL: -2.17549
101: bad sentence 50, PPL: -4.28374
102: good sentence 51, PPL: -1.79445
103: bad sentence 51, PPL: -3.67897
104: good sentence 52, PPL: -3.98498
105: bad sentence 52, PPL: -11.89289
106: good sentence 53, PPL: -2.44424
107: bad sentence 53, PPL: -6.73405
108: good sentence 54, PPL: -3.42523
109: bad sentence 54, PPL: -6.20532
110: good sentence 55, PPL: -23.52879
111: bad sentence 55, PPL: -35.74987
112: good sentence 56, PPL: -3.29322
113: bad sentence 56, PPL: -11.35963
114: good sentence 57, PPL: -7.38814
115: bad sentence 57, PPL: -19.18885
116: good sentence 58, PPL: -1.53132
117: bad sentence 58, PPL: -3.25598
118: good sentence 59, PPL: -1.70590
119: bad sentence 59, PPL: -7.26839
120: good sentence 60, PPL: -5.50330
121: bad sentence 60, PPL: -11.74162
122: good sentence 61, PPL: -18.75228
123: bad sentence 61, PPL: -20.47657
124: good sentence 62, PPL: -2.28507
125: bad sentence 62, PPL: -4.01828
126: good sentence 63, PPL: -1.82304
127: bad sentence 63, PPL: -6.45316
128: good sentence 64, PPL: -9.11254
