DefinitenessEffect
	definiteness_every
Model: google-bert/bert-base-chinese, Accuracy: 94.60000, Average Perplexity (Good Sentences): -4.79858, Average Perplexity (Bad Sentences): -11.54938
0: good sentence 0, PPL: -3.51290
1: bad sentence 0, PPL: -7.97590
2: good sentence 1, PPL: -1.67361
3: bad sentence 1, PPL: -4.22157
4: good sentence 2, PPL: -5.55339
5: bad sentence 2, PPL: -18.66502
6: good sentence 3, PPL: -3.23906
7: bad sentence 3, PPL: -10.40447
8: good sentence 4, PPL: -2.41932
9: bad sentence 4, PPL: -6.28555
10: good sentence 5, PPL: -9.27352
11: bad sentence 5, PPL: -39.59249
12: good sentence 6, PPL: -7.40665
13: bad sentence 6, PPL: -6.87129
14: good sentence 7, PPL: -8.03595
15: bad sentence 7, PPL: -14.67910
16: good sentence 8, PPL: -5.93641
17: bad sentence 8, PPL: -9.88348
18: good sentence 9, PPL: -2.24360
19: bad sentence 9, PPL: -7.33938
20: good sentence 10, PPL: -3.17896
21: bad sentence 10, PPL: -5.60027
22: good sentence 11, PPL: -9.81541
23: bad sentence 11, PPL: -20.55294
24: good sentence 12, PPL: -9.51399
25: bad sentence 12, PPL: -11.54161
26: good sentence 13, PPL: -3.26025
27: bad sentence 13, PPL: -4.55129
28: good sentence 14, PPL: -5.54860
29: bad sentence 14, PPL: -11.24121
30: good sentence 15, PPL: -5.95139
31: bad sentence 15, PPL: -10.44043
32: good sentence 16, PPL: -2.44274
33: bad sentence 16, PPL: -7.80719
34: good sentence 17, PPL: -13.14172
35: bad sentence 17, PPL: -384.90143
36: good sentence 18, PPL: -4.23579
37: bad sentence 18, PPL: -30.52637
38: good sentence 19, PPL: -3.57924
39: bad sentence 19, PPL: -17.63945
40: good sentence 20, PPL: -2.46503
41: bad sentence 20, PPL: -7.43891
42: good sentence 21, PPL: -3.94997
43: bad sentence 21, PPL: -6.22954
44: good sentence 22, PPL: -3.56736
45: bad sentence 22, PPL: -15.93007
46: good sentence 23, PPL: -3.70069
47: bad sentence 23, PPL: -16.57182
48: good sentence 24, PPL: -4.74906
49: bad sentence 24, PPL: -11.30021
50: good sentence 25, PPL: -5.89788
51: bad sentence 25, PPL: -4.34576
52: good sentence 26, PPL: -2.75902
53: bad sentence 26, PPL: -53.82544
54: good sentence 27, PPL: -4.81476
55: bad sentence 27, PPL: -10.91292
56: good sentence 28, PPL: -2.46588
57: bad sentence 28, PPL: -7.19927
58: good sentence 29, PPL: -3.14262
59: bad sentence 29, PPL: -15.45976
60: good sentence 30, PPL: -8.32529
61: bad sentence 30, PPL: -12.33821
62: good sentence 31, PPL: -3.27130
63: bad sentence 31, PPL: -4.59798
64: good sentence 32, PPL: -3.46868
65: bad sentence 32, PPL: -7.78254
66: good sentence 33, PPL: -3.09613
67: bad sentence 33, PPL: -7.87515
68: good sentence 34, PPL: -67.74723
69: bad sentence 34, PPL: -114.99917
70: good sentence 35, PPL: -2.35420
71: bad sentence 35, PPL: -3.65043
72: good sentence 36, PPL: -2.28682
73: bad sentence 36, PPL: -3.24592
74: good sentence 37, PPL: -4.75181
75: bad sentence 37, PPL: -13.50217
76: good sentence 38, PPL: -13.40499
77: bad sentence 38, PPL: -40.82063
78: good sentence 39, PPL: -73.58018
79: bad sentence 39, PPL: -37.81486
80: good sentence 40, PPL: -11.20122
81: bad sentence 40, PPL: -19.59275
82: good sentence 41, PPL: -1.70405
83: bad sentence 41, PPL: -5.03008
84: good sentence 42, PPL: -6.30154
85: bad sentence 42, PPL: -10.38728
86: good sentence 43, PPL: -10.70135
87: bad sentence 43, PPL: -8.46375
88: good sentence 44, PPL: -4.31721
89: bad sentence 44, PPL: -12.68479
90: good sentence 45, PPL: -3.25515
91: bad sentence 45, PPL: -10.90585
92: good sentence 46, PPL: -1.69322
93: bad sentence 46, PPL: -3.15817
94: good sentence 47, PPL: -3.73762
95: bad sentence 47, PPL: -10.73999
96: good sentence 48, PPL: -28.80416
97: bad sentence 48, PPL: -52.64677
98: good sentence 49, PPL: -10.06626
99: bad sentence 49, PPL: -46.55907
100: good sentence 50, PPL: -2.17549
101: bad sentence 50, PPL: -3.22027
102: good sentence 51, PPL: -1.79445
103: bad sentence 51, PPL: -3.63957
104: good sentence 52, PPL: -3.98498
105: bad sentence 52, PPL: -9.56990
106: good sentence 53, PPL: -2.44424
107: bad sentence 53, PPL: -8.53601
108: good sentence 54, PPL: -3.42523
109: bad sentence 54, PPL: -7.58903
110: good sentence 55, PPL: -23.52879
111: bad sentence 55, PPL: -126.27163
112: good sentence 56, PPL: -3.29322
113: bad sentence 56, PPL: -7.12646
114: good sentence 57, PPL: -7.38814
115: bad sentence 57, PPL: -13.44234
116: good sentence 58, PPL: -1.53132
