Plural
	baseline_cl_men_female
Model: nghuyong/ernie-3.0-base-zh, Accuracy: 99.50000, Average Perplexity (Good Sentences): -26.82598, Average Perplexity (Bad Sentences): -62.15333
0: good sentence 0, PPL: -10.84935
1: bad sentence 0, PPL: -16.20506
2: good sentence 1, PPL: -18.12296
3: bad sentence 1, PPL: -37.57599
4: good sentence 2, PPL: -18.47437
5: bad sentence 2, PPL: -35.49567
6: good sentence 3, PPL: -211.33391
7: bad sentence 3, PPL: -592.75895
8: good sentence 4, PPL: -18.61386
9: bad sentence 4, PPL: -29.85980
10: good sentence 5, PPL: -11.81286
11: bad sentence 5, PPL: -32.32562
12: good sentence 6, PPL: -122.14682
13: bad sentence 6, PPL: -299.85745
14: good sentence 7, PPL: -242.86506
15: bad sentence 7, PPL: -1076.79488
16: good sentence 8, PPL: -265.29704
17: bad sentence 8, PPL: -260.62012
18: good sentence 9, PPL: -284.32584
19: bad sentence 9, PPL: -514.16691
20: good sentence 10, PPL: -41.64741
21: bad sentence 10, PPL: -108.16907
22: good sentence 11, PPL: -207.92594
23: bad sentence 11, PPL: -448.35432
24: good sentence 12, PPL: -7.08550
25: bad sentence 12, PPL: -15.74296
26: good sentence 13, PPL: -104.54588
27: bad sentence 13, PPL: -402.66402
28: good sentence 14, PPL: -124.24212
29: bad sentence 14, PPL: -295.39829
30: good sentence 15, PPL: -46.61995
31: bad sentence 15, PPL: -125.56304
32: good sentence 16, PPL: -8.29483
33: bad sentence 16, PPL: -14.12268
34: good sentence 17, PPL: -6.97208
35: bad sentence 17, PPL: -23.48759
36: good sentence 18, PPL: -4.70461
37: bad sentence 18, PPL: -7.65217
38: good sentence 19, PPL: -8.88810
39: bad sentence 19, PPL: -13.08147
40: good sentence 20, PPL: -27.12071
41: bad sentence 20, PPL: -42.47816
42: good sentence 21, PPL: -27.35289
43: bad sentence 21, PPL: -78.58801
44: good sentence 22, PPL: -28.86505
45: bad sentence 22, PPL: -73.41611
46: good sentence 23, PPL: -12.42267
47: bad sentence 23, PPL: -25.60575
48: good sentence 24, PPL: -8.45644
49: bad sentence 24, PPL: -15.09413
50: good sentence 25, PPL: -15.16952
51: bad sentence 25, PPL: -54.89400
52: good sentence 26, PPL: -42.35783
53: bad sentence 26, PPL: -60.01667
54: good sentence 27, PPL: -11.21860
55: bad sentence 27, PPL: -28.35365
56: good sentence 28, PPL: -17.44746
57: bad sentence 28, PPL: -36.28551
58: good sentence 29, PPL: -26.25926
59: bad sentence 29, PPL: -41.17258
60: good sentence 30, PPL: -14.29321
61: bad sentence 30, PPL: -23.81030
62: good sentence 31, PPL: -39.75986
63: bad sentence 31, PPL: -184.86743
64: good sentence 32, PPL: -62.21709
65: bad sentence 32, PPL: -228.98272
66: good sentence 33, PPL: -12.59417
67: bad sentence 33, PPL: -30.90622
68: good sentence 34, PPL: -19.27238
69: bad sentence 34, PPL: -34.29416
70: good sentence 35, PPL: -6.09150
71: bad sentence 35, PPL: -10.02549
72: good sentence 36, PPL: -67.00637
73: bad sentence 36, PPL: -269.20420
74: good sentence 37, PPL: -45.25986
75: bad sentence 37, PPL: -170.40931
76: good sentence 38, PPL: -12.31487
77: bad sentence 38, PPL: -21.53491
78: good sentence 39, PPL: -192.24630
79: bad sentence 39, PPL: -158.48032
80: good sentence 40, PPL: -33.26910
81: bad sentence 40, PPL: -82.84733
82: good sentence 41, PPL: -34.72736
83: bad sentence 41, PPL: -71.98491
84: good sentence 42, PPL: -18.00968
85: bad sentence 42, PPL: -48.03905
86: good sentence 43, PPL: -46.70684
87: bad sentence 43, PPL: -140.60237
88: good sentence 44, PPL: -7.46825
89: bad sentence 44, PPL: -14.20665
90: good sentence 45, PPL: -37.04501
91: bad sentence 45, PPL: -96.24146
92: good sentence 46, PPL: -6.50713
93: bad sentence 46, PPL: -9.09995
94: good sentence 47, PPL: -25.73846
95: bad sentence 47, PPL: -100.63131
96: good sentence 48, PPL: -16.79852
97: bad sentence 48, PPL: -22.62712
98: good sentence 49, PPL: -13.86583
99: bad sentence 49, PPL: -28.83228
100: good sentence 50, PPL: -57.48150
101: bad sentence 50, PPL: -118.28126
102: good sentence 51, PPL: -29.41461
103: bad sentence 51, PPL: -66.94813
104: good sentence 52, PPL: -9.32010
105: bad sentence 52, PPL: -29.13850
106: good sentence 53, PPL: -3.47888
107: bad sentence 53, PPL: -9.16658
108: good sentence 54, PPL: -29.83998
109: bad sentence 54, PPL: -67.39213
110: good sentence 55, PPL: -98.13304
111: bad sentence 55, PPL: -254.35000
112: good sentence 56, PPL: -8.58714
113: bad sentence 56, PPL: -13.69573
114: good sentence 57, PPL: -46.64939
115: bad sentence 57, PPL: -223.19436
116: good sentence 58, PPL: -8.42553
117: bad sentence 58, PPL: -20.42040
118: good sentence 59, PPL: -36.38450
119: bad sentence 59, PPL: -79.79682
120: good sentence 60, PPL: -327.84418
121: bad sentence 60, PPL: -622.64169
122: good sentence 61, PPL: -38.04627
123: bad sentence 61, PPL: -98.98012
124: good sentence 62, PPL: -68.53693
125: bad sentence 62, PPL: -321.10731
126: good sentence 63, PPL: -7.92708
127: bad sentence 63, PPL: -16.17882
128: good sentence 64, PPL: -7.12437
129: bad sentence 64, PPL: -21.21051
130: good sentence 65, PPL: -64.66186
131: bad sentence 65, PPL: -158.83500
132: good sentence 66, PPL: -26.95398
133: bad sentence 66, PPL: -105.85750
134: good sentence 67, PPL: -31.84300
135: bad sentence 67, PPL: -107.99995
136: good sentence 68, PPL: -27.95152
137: bad sentence 68, PPL: -107.16211
138: good sentence 69, PPL: -192.88710
139: bad sentence 69, PPL: -558.06780
140: good sentence 70, PPL: -8.71203
141: bad sentence 70, PPL: -13.14011
142: good sentence 71, PPL: -12.47869
143: bad sentence 71, PPL: -32.63305
144: good sentence 72, PPL: -35.30726
145: bad sentence 72, PPL: -69.91196
146: good sentence 73, PPL: -17.10170
147: bad sentence 73, PPL: -38.08180
148: good sentence 74, PPL: -16.52210
149: bad sentence 74, PPL: -43.30473
150: good sentence 75, PPL: -10.19579
151: bad sentence 75, PPL: -21.03620
152: good sentence 76, PPL: -39.96118
153: bad sentence 76, PPL: -84.55007
154: good sentence 77, PPL: -21.73157
155: bad sentence 77, PPL: -60.53232
156: good sentence 78, PPL: -96.26923
157: bad sentence 78, PPL: -412.80904
158: good sentence 79, PPL: -112.78573
159: bad sentence 79, PPL: -205.03537
160: good sentence 80, PPL: -9.32013
161: bad sentence 80, PPL: -31.59176
162: good sentence 81, PPL: -15.96364
163: bad sentence 81, PPL: -61.43070
164: good sentence 82, PPL: -5.42790
165: bad sentence 82, PPL: -10.23825
166: good sentence 83, PPL: -36.09719
167: bad sentence 83, PPL: -84.14320
168: good sentence 84, PPL: -7.40169
169: bad sentence 84, PPL: -34.16251
170: good sentence 85, PPL: -91.57131
171: bad sentence 85, PPL: -173.77362
172: good sentence 86, PPL: -8.09423
173: bad sentence 86, PPL: -14.30457
174: good sentence 87, PPL: -28.25111
175: bad sentence 87, PPL: -62.62567
176: good sentence 88, PPL: -16.02374
177: bad sentence 88, PPL: -36.36495
178: good sentence 89, PPL: -61.43422
179: bad sentence 89, PPL: -98.91303
180: good sentence 90, PPL: -6.50979
181: bad sentence 90, PPL: -11.53439
182: good sentence 91, PPL: -25.36680
183: bad sentence 91, PPL: -43.78362
184: good sentence 92, PPL: -26.58305
185: bad sentence 92, PPL: -33.24614
186: good sentence 93, PPL: -52.52193
187: bad sentence 93, PPL: -225.35194
188: good sentence 94, PPL: -17.02331
189: bad sentence 94, PPL: -29.56076
190: good sentence 95, PPL: -52.92383
191: bad sentence 95, PPL: -97.79501
192: good sentence 96, PPL: -71.02420
193: bad sentence 96, PPL: -203.96020
194: good sentence 97, PPL: -17.82731
195: bad sentence 97, PPL: -35.97868
196: good sentence 98, PPL: -11.90444
197: bad sentence 98, PPL: -34.08971
198: good sentence 99, PPL: -96.95393
199: bad sentence 99, PPL: -261.72304
200: good sentence 100, PPL: -55.58799
201: bad sentence 100, PPL: -116.68115
202: good sentence 101, PPL: -87.76188
203: bad sentence 101, PPL: -248.86098
204: good sentence 102, PPL: -10.93908
205: bad sentence 102, PPL: -22.59083
206: good sentence 103, PPL: -37.53803
207: bad sentence 103, PPL: -98.39851
208: good sentence 104, PPL: -13.93156
209: bad sentence 104, PPL: -33.41629
210: good sentence 105, PPL: -54.28080
211: bad sentence 105, PPL: -138.12666
212: good sentence 106, PPL: -30.39394
213: bad sentence 106, PPL: -52.71910
214: good sentence 107, PPL: -34.00767
215: bad sentence 107, PPL: -89.39765
216: good sentence 108, PPL: -91.17856
217: bad sentence 108, PPL: -437.64723
218: good sentence 109, PPL: -180.48001
219: bad sentence 109, PPL: -431.83920
220: good sentence 110, PPL: -33.59809
221: bad sentence 110, PPL: -54.75036
222: good sentence 111, PPL: -79.41548
223: bad sentence 111, PPL: -196.36738
224: good sentence 112, PPL: -53.38168
225: bad sentence 112, PPL: -129.35779
226: good sentence 113, PPL: -19.78056
227: bad sentence 113, PPL: -36.74906
228: good sentence 114, PPL: -6.34290
229: bad sentence 114, PPL: -15.83428
230: good sentence 115, PPL: -14.95163
231: bad sentence 115, PPL: -19.20856
232: good sentence 116, PPL: -22.73432
233: bad sentence 116, PPL: -38.48589
234: good sentence 117, PPL: -39.41162
235: bad sentence 117, PPL: -175.30906
236: good sentence 118, PPL: -34.79109
237: bad sentence 118, PPL: -113.43282
238: good sentence 119, PPL: -24.66832
239: bad sentence 119, PPL: -60.91291
