Plural
	baseline_men_male
Model: nghuyong/ernie-3.0-base-zh, Accuracy: 99.70000, Average Perplexity (Good Sentences): -40.43225, Average Perplexity (Bad Sentences): -123.50471
0: good sentence 0, PPL: -82.16563
1: bad sentence 0, PPL: -605.41136
2: good sentence 1, PPL: -99.11433
3: bad sentence 1, PPL: -264.91277
4: good sentence 2, PPL: -23.16233
5: bad sentence 2, PPL: -119.34676
6: good sentence 3, PPL: -48.06241
7: bad sentence 3, PPL: -222.94054
8: good sentence 4, PPL: -22.53957
9: bad sentence 4, PPL: -48.54107
10: good sentence 5, PPL: -84.10969
11: bad sentence 5, PPL: -283.66006
12: good sentence 6, PPL: -45.24761
13: bad sentence 6, PPL: -184.06937
14: good sentence 7, PPL: -30.87474
15: bad sentence 7, PPL: -86.51871
16: good sentence 8, PPL: -52.99772
17: bad sentence 8, PPL: -122.47742
18: good sentence 9, PPL: -39.27007
19: bad sentence 9, PPL: -151.32526
20: good sentence 10, PPL: -80.91539
21: bad sentence 10, PPL: -152.79206
22: good sentence 11, PPL: -15.09301
23: bad sentence 11, PPL: -56.50725
24: good sentence 12, PPL: -35.95120
25: bad sentence 12, PPL: -91.02911
26: good sentence 13, PPL: -70.99185
27: bad sentence 13, PPL: -318.70995
28: good sentence 14, PPL: -60.96402
29: bad sentence 14, PPL: -302.04679
30: good sentence 15, PPL: -42.30926
31: bad sentence 15, PPL: -94.37175
32: good sentence 16, PPL: -20.47660
33: bad sentence 16, PPL: -46.91107
34: good sentence 17, PPL: -24.18895
35: bad sentence 17, PPL: -81.45890
36: good sentence 18, PPL: -24.53324
37: bad sentence 18, PPL: -44.13078
38: good sentence 19, PPL: -16.23506
39: bad sentence 19, PPL: -70.51914
40: good sentence 20, PPL: -7.30664
41: bad sentence 20, PPL: -13.95117
42: good sentence 21, PPL: -83.95472
43: bad sentence 21, PPL: -354.50051
44: good sentence 22, PPL: -10.90996
45: bad sentence 22, PPL: -24.89637
46: good sentence 23, PPL: -151.71009
47: bad sentence 23, PPL: -371.23041
48: good sentence 24, PPL: -9.64797
49: bad sentence 24, PPL: -59.13100
50: good sentence 25, PPL: -36.23342
51: bad sentence 25, PPL: -112.89233
52: good sentence 26, PPL: -49.68920
53: bad sentence 26, PPL: -108.77146
54: good sentence 27, PPL: -9.16821
55: bad sentence 27, PPL: -30.71484
56: good sentence 28, PPL: -23.93334
57: bad sentence 28, PPL: -67.25749
58: good sentence 29, PPL: -63.28148
59: bad sentence 29, PPL: -168.76293
60: good sentence 30, PPL: -68.03487
61: bad sentence 30, PPL: -169.86552
62: good sentence 31, PPL: -43.96780
63: bad sentence 31, PPL: -200.89246
64: good sentence 32, PPL: -78.23698
65: bad sentence 32, PPL: -154.34943
66: good sentence 33, PPL: -16.51731
67: bad sentence 33, PPL: -44.27142
68: good sentence 34, PPL: -26.98273
69: bad sentence 34, PPL: -61.59620
70: good sentence 35, PPL: -8.88126
71: bad sentence 35, PPL: -26.95358
72: good sentence 36, PPL: -16.76558
73: bad sentence 36, PPL: -39.78312
74: good sentence 37, PPL: -22.77906
75: bad sentence 37, PPL: -101.80249
76: good sentence 38, PPL: -39.55445
77: bad sentence 38, PPL: -178.37459
78: good sentence 39, PPL: -26.60638
79: bad sentence 39, PPL: -60.67584
80: good sentence 40, PPL: -13.46143
81: bad sentence 40, PPL: -25.58610
82: good sentence 41, PPL: -205.29498
83: bad sentence 41, PPL: -1294.45286
84: good sentence 42, PPL: -33.55481
85: bad sentence 42, PPL: -120.74311
