Plural
	cl_men_self_male
Model: nghuyong/ernie-3.0-base-zh, Accuracy: 99.60000, Average Perplexity (Good Sentences): -22.18431, Average Perplexity (Bad Sentences): -41.91867
0: good sentence 0, PPL: -8.09057
1: bad sentence 0, PPL: -13.11686
2: good sentence 1, PPL: -19.96493
3: bad sentence 1, PPL: -49.31547
4: good sentence 2, PPL: -13.15859
5: bad sentence 2, PPL: -29.87810
6: good sentence 3, PPL: -92.60544
7: bad sentence 3, PPL: -262.91366
8: good sentence 4, PPL: -8.40250
9: bad sentence 4, PPL: -16.99885
10: good sentence 5, PPL: -10.30210
11: bad sentence 5, PPL: -27.82252
12: good sentence 6, PPL: -49.64713
13: bad sentence 6, PPL: -93.31135
14: good sentence 7, PPL: -273.09263
15: bad sentence 7, PPL: -453.43689
16: good sentence 8, PPL: -135.14325
17: bad sentence 8, PPL: -134.83264
18: good sentence 9, PPL: -111.95824
19: bad sentence 9, PPL: -228.78867
20: good sentence 10, PPL: -28.61997
21: bad sentence 10, PPL: -63.64287
22: good sentence 11, PPL: -79.37028
23: bad sentence 11, PPL: -223.08846
24: good sentence 12, PPL: -5.79740
25: bad sentence 12, PPL: -10.41597
26: good sentence 13, PPL: -72.98333
27: bad sentence 13, PPL: -134.98556
28: good sentence 14, PPL: -63.67821
29: bad sentence 14, PPL: -105.73054
30: good sentence 15, PPL: -29.88100
31: bad sentence 15, PPL: -46.52642
32: good sentence 16, PPL: -8.21138
33: bad sentence 16, PPL: -13.40703
34: good sentence 17, PPL: -6.45358
35: bad sentence 17, PPL: -11.25004
36: good sentence 18, PPL: -3.84418
37: bad sentence 18, PPL: -6.22200
38: good sentence 19, PPL: -7.38259
39: bad sentence 19, PPL: -11.25111
40: good sentence 20, PPL: -21.92149
41: bad sentence 20, PPL: -38.91934
42: good sentence 21, PPL: -34.99208
43: bad sentence 21, PPL: -75.37075
44: good sentence 22, PPL: -27.73115
45: bad sentence 22, PPL: -53.42035
46: good sentence 23, PPL: -12.73203
47: bad sentence 23, PPL: -15.81295
48: good sentence 24, PPL: -8.19972
49: bad sentence 24, PPL: -14.07318
50: good sentence 25, PPL: -15.61956
51: bad sentence 25, PPL: -26.60751
52: good sentence 26, PPL: -22.45664
53: bad sentence 26, PPL: -41.09349
54: good sentence 27, PPL: -13.10667
55: bad sentence 27, PPL: -24.45520
56: good sentence 28, PPL: -16.06831
57: bad sentence 28, PPL: -42.12003
58: good sentence 29, PPL: -22.01026
59: bad sentence 29, PPL: -35.03148
60: good sentence 30, PPL: -9.23462
61: bad sentence 30, PPL: -16.08620
62: good sentence 31, PPL: -39.12529
63: bad sentence 31, PPL: -85.97904
64: good sentence 32, PPL: -39.72504
65: bad sentence 32, PPL: -107.20686
66: good sentence 33, PPL: -10.89200
67: bad sentence 33, PPL: -18.55459
68: good sentence 34, PPL: -15.36905
69: bad sentence 34, PPL: -26.45582
70: good sentence 35, PPL: -3.85945
71: bad sentence 35, PPL: -6.85830
72: good sentence 36, PPL: -50.35694
73: bad sentence 36, PPL: -94.61264
74: good sentence 37, PPL: -32.98699
75: bad sentence 37, PPL: -83.01821
76: good sentence 38, PPL: -11.12512
77: bad sentence 38, PPL: -19.21151
78: good sentence 39, PPL: -111.29518
79: bad sentence 39, PPL: -119.34217
80: good sentence 40, PPL: -16.27699
81: bad sentence 40, PPL: -23.55838
82: good sentence 41, PPL: -27.59444
83: bad sentence 41, PPL: -68.77598
84: good sentence 42, PPL: -18.19302
85: bad sentence 42, PPL: -38.16022
86: good sentence 43, PPL: -43.22234
87: bad sentence 43, PPL: -90.39957
88: good sentence 44, PPL: -5.88090
89: bad sentence 44, PPL: -10.20606
90: good sentence 45, PPL: -27.79306
91: bad sentence 45, PPL: -56.52642
92: good sentence 46, PPL: -9.06024
93: bad sentence 46, PPL: -14.78681
94: good sentence 47, PPL: -28.00758
95: bad sentence 47, PPL: -61.58625
96: good sentence 48, PPL: -20.05186
97: bad sentence 48, PPL: -20.54372
98: good sentence 49, PPL: -13.05144
99: bad sentence 49, PPL: -21.18259
100: good sentence 50, PPL: -41.10223
101: bad sentence 50, PPL: -77.91302
102: good sentence 51, PPL: -16.84104
103: bad sentence 51, PPL: -41.10637
104: good sentence 52, PPL: -7.84910
105: bad sentence 52, PPL: -13.00530
106: good sentence 53, PPL: -4.28820
107: bad sentence 53, PPL: -10.30952
108: good sentence 54, PPL: -17.97123
109: bad sentence 54, PPL: -40.78603
110: good sentence 55, PPL: -89.84038
111: bad sentence 55, PPL: -162.32354
112: good sentence 56, PPL: -9.80581
113: bad sentence 56, PPL: -11.84277
114: good sentence 57, PPL: -33.65818
115: bad sentence 57, PPL: -110.28839
116: good sentence 58, PPL: -9.49550
117: bad sentence 58, PPL: -18.08721
118: good sentence 59, PPL: -21.58638
119: bad sentence 59, PPL: -45.21930
120: good sentence 60, PPL: -229.71575
121: bad sentence 60, PPL: -389.81329
122: good sentence 61, PPL: -31.43067
123: bad sentence 61, PPL: -55.62189
124: good sentence 62, PPL: -56.14214
125: bad sentence 62, PPL: -109.76159
126: good sentence 63, PPL: -8.36118
127: bad sentence 63, PPL: -11.59221
128: good sentence 64, PPL: -6.74262
129: bad sentence 64, PPL: -13.92333
130: good sentence 65, PPL: -45.85441
131: bad sentence 65, PPL: -126.71022
132: good sentence 66, PPL: -30.58454
133: bad sentence 66, PPL: -44.59249
134: good sentence 67, PPL: -26.38417
135: bad sentence 67, PPL: -46.79792
136: good sentence 68, PPL: -17.55160
137: bad sentence 68, PPL: -36.56988
138: good sentence 69, PPL: -112.42448
139: bad sentence 69, PPL: -227.90801
140: good sentence 70, PPL: -11.87333
141: bad sentence 70, PPL: -14.15806
142: good sentence 71, PPL: -13.05967
143: bad sentence 71, PPL: -19.62047
144: good sentence 72, PPL: -30.59392
145: bad sentence 72, PPL: -59.06656
146: good sentence 73, PPL: -25.26164
147: bad sentence 73, PPL: -27.26765
148: good sentence 74, PPL: -18.27300
149: bad sentence 74, PPL: -31.82657
150: good sentence 75, PPL: -8.07594
151: bad sentence 75, PPL: -16.36127
152: good sentence 76, PPL: -32.89906
153: bad sentence 76, PPL: -52.19224
154: good sentence 77, PPL: -23.48268
155: bad sentence 77, PPL: -42.72010
156: good sentence 78, PPL: -74.70823
157: bad sentence 78, PPL: -181.28015
158: good sentence 79, PPL: -48.79942
159: bad sentence 79, PPL: -79.24976
160: good sentence 80, PPL: -9.37846
