Plural
	cl_self_female
Model: nghuyong/ernie-3.0-base-zh, Accuracy: 99.20000, Average Perplexity (Good Sentences): -15.05473, Average Perplexity (Bad Sentences): -30.73015
0: good sentence 0, PPL: -64.87384
1: bad sentence 0, PPL: -335.14776
2: good sentence 1, PPL: -10.92061
3: bad sentence 1, PPL: -23.90224
4: good sentence 2, PPL: -16.22900
5: bad sentence 2, PPL: -24.77558
6: good sentence 3, PPL: -14.69228
7: bad sentence 3, PPL: -18.99480
8: good sentence 4, PPL: -7.50270
9: bad sentence 4, PPL: -14.39168
10: good sentence 5, PPL: -10.96641
11: bad sentence 5, PPL: -28.03359
12: good sentence 6, PPL: -26.54522
13: bad sentence 6, PPL: -53.13696
14: good sentence 7, PPL: -5.91153
15: bad sentence 7, PPL: -18.20485
16: good sentence 8, PPL: -183.23547
17: bad sentence 8, PPL: -424.78074
18: good sentence 9, PPL: -19.39859
19: bad sentence 9, PPL: -32.54600
20: good sentence 10, PPL: -26.01174
21: bad sentence 10, PPL: -50.85720
22: good sentence 11, PPL: -15.94431
23: bad sentence 11, PPL: -30.45719
24: good sentence 12, PPL: -10.91612
25: bad sentence 12, PPL: -37.90117
26: good sentence 13, PPL: -12.24053
27: bad sentence 13, PPL: -29.12382
28: good sentence 14, PPL: -24.37712
29: bad sentence 14, PPL: -64.45295
30: good sentence 15, PPL: -8.15893
31: bad sentence 15, PPL: -19.54420
32: good sentence 16, PPL: -13.16697
33: bad sentence 16, PPL: -34.69509
34: good sentence 17, PPL: -14.83967
35: bad sentence 17, PPL: -28.35315
36: good sentence 18, PPL: -88.74677
37: bad sentence 18, PPL: -184.20029
38: good sentence 19, PPL: -36.27372
39: bad sentence 19, PPL: -56.41835
40: good sentence 20, PPL: -161.31073
41: bad sentence 20, PPL: -446.23317
42: good sentence 21, PPL: -16.73598
43: bad sentence 21, PPL: -31.40643
44: good sentence 22, PPL: -5.24300
45: bad sentence 22, PPL: -8.32473
46: good sentence 23, PPL: -7.61412
47: bad sentence 23, PPL: -27.61482
48: good sentence 24, PPL: -13.76722
49: bad sentence 24, PPL: -35.69574
50: good sentence 25, PPL: -10.39115
51: bad sentence 25, PPL: -15.77611
52: good sentence 26, PPL: -31.07325
53: bad sentence 26, PPL: -72.28557
54: good sentence 27, PPL: -8.63108
55: bad sentence 27, PPL: -19.25437
56: good sentence 28, PPL: -37.43840
57: bad sentence 28, PPL: -143.91994
58: good sentence 29, PPL: -11.37061
59: bad sentence 29, PPL: -20.31964
