Plural
	menself_female
Model: nghuyong/ernie-3.0-base-zh, Accuracy: 96.10000, Average Perplexity (Good Sentences): -22.08649, Average Perplexity (Bad Sentences): -40.56038
0: good sentence 0, PPL: -50.30711
1: bad sentence 0, PPL: -148.07492
2: good sentence 1, PPL: -32.05923
3: bad sentence 1, PPL: -75.87283
4: good sentence 2, PPL: -9.91545
5: bad sentence 2, PPL: -14.84808
6: good sentence 3, PPL: -24.27921
7: bad sentence 3, PPL: -64.17776
8: good sentence 4, PPL: -11.11051
9: bad sentence 4, PPL: -19.12659
10: good sentence 5, PPL: -44.40800
11: bad sentence 5, PPL: -94.22214
12: good sentence 6, PPL: -28.11369
13: bad sentence 6, PPL: -35.62288
14: good sentence 7, PPL: -23.61085
15: bad sentence 7, PPL: -37.91096
16: good sentence 8, PPL: -22.13284
17: bad sentence 8, PPL: -37.07780
18: good sentence 9, PPL: -21.39664
19: bad sentence 9, PPL: -54.20862
20: good sentence 10, PPL: -57.58420
21: bad sentence 10, PPL: -93.03807
22: good sentence 11, PPL: -9.44773
23: bad sentence 11, PPL: -16.68165
24: good sentence 12, PPL: -25.26561
25: bad sentence 12, PPL: -49.14061
26: good sentence 13, PPL: -43.68496
27: bad sentence 13, PPL: -112.41529
28: good sentence 14, PPL: -46.78487
29: bad sentence 14, PPL: -94.80674
30: good sentence 15, PPL: -21.02111
31: bad sentence 15, PPL: -30.76819
32: good sentence 16, PPL: -16.27992
33: bad sentence 16, PPL: -20.55813
34: good sentence 17, PPL: -16.18991
35: bad sentence 17, PPL: -33.18395
36: good sentence 18, PPL: -13.69075
37: bad sentence 18, PPL: -15.22780
38: good sentence 19, PPL: -11.54812
39: bad sentence 19, PPL: -18.79831
40: good sentence 20, PPL: -6.52537
41: bad sentence 20, PPL: -11.54368
42: good sentence 21, PPL: -52.13351
43: bad sentence 21, PPL: -77.89592
44: good sentence 22, PPL: -5.79263
45: bad sentence 22, PPL: -8.08444
46: good sentence 23, PPL: -80.79499
47: bad sentence 23, PPL: -103.65338
48: good sentence 24, PPL: -8.95008
49: bad sentence 24, PPL: -14.34614
50: good sentence 25, PPL: -18.41650
51: bad sentence 25, PPL: -54.91575
52: good sentence 26, PPL: -30.04717
53: bad sentence 26, PPL: -50.77527
54: good sentence 27, PPL: -8.74015
55: bad sentence 27, PPL: -16.13131
56: good sentence 28, PPL: -29.93720
57: bad sentence 28, PPL: -44.06660
58: good sentence 29, PPL: -31.74112
59: bad sentence 29, PPL: -79.72838
60: good sentence 30, PPL: -30.32409
61: bad sentence 30, PPL: -38.53908
62: good sentence 31, PPL: -21.08852
63: bad sentence 31, PPL: -32.63980
64: good sentence 32, PPL: -32.10087
65: bad sentence 32, PPL: -47.19551
66: good sentence 33, PPL: -6.36269
67: bad sentence 33, PPL: -11.48777
68: good sentence 34, PPL: -12.56135
69: bad sentence 34, PPL: -26.82784
70: good sentence 35, PPL: -12.50053
71: bad sentence 35, PPL: -15.23600
72: good sentence 36, PPL: -10.31490
73: bad sentence 36, PPL: -18.36531
74: good sentence 37, PPL: -7.42224
75: bad sentence 37, PPL: -16.72363
76: good sentence 38, PPL: -22.64387
77: bad sentence 38, PPL: -43.39309
78: good sentence 39, PPL: -15.11079
79: bad sentence 39, PPL: -24.03707
80: good sentence 40, PPL: -9.54466
81: bad sentence 40, PPL: -12.54254
82: good sentence 41, PPL: -63.77634
83: bad sentence 41, PPL: -178.44650
84: good sentence 42, PPL: -19.83712
85: bad sentence 42, PPL: -45.32532
86: good sentence 43, PPL: -11.54806
87: bad sentence 43, PPL: -21.56686
88: good sentence 44, PPL: -49.42962
89: bad sentence 44, PPL: -109.84370
90: good sentence 45, PPL: -78.67424
91: bad sentence 45, PPL: -152.66475
92: good sentence 46, PPL: -33.53406
93: bad sentence 46, PPL: -88.42122
94: good sentence 47, PPL: -7.55927
95: bad sentence 47, PPL: -12.18868
96: good sentence 48, PPL: -11.30532
97: bad sentence 48, PPL: -17.77435
98: good sentence 49, PPL: -65.66442
99: bad sentence 49, PPL: -127.26738
100: good sentence 50, PPL: -56.91087
101: bad sentence 50, PPL: -115.60227
102: good sentence 51, PPL: -38.17907
103: bad sentence 51, PPL: -37.22406
104: good sentence 52, PPL: -44.36771
105: bad sentence 52, PPL: -52.93902
106: good sentence 53, PPL: -22.76839
107: bad sentence 53, PPL: -47.06629
108: good sentence 54, PPL: -97.20718
109: bad sentence 54, PPL: -111.36168
110: good sentence 55, PPL: -34.10394
111: bad sentence 55, PPL: -80.14028
112: good sentence 56, PPL: -23.89159
