Anaphor
	pp_female
Model: nghuyong/ernie-3.0-base-zh, Accuracy: 59.10000, Average Perplexity (Good Sentences): -12.69653, Average Perplexity (Bad Sentences): -12.95391
0: good sentence 0, PPL: -19.11986
1: bad sentence 0, PPL: -19.13457
2: good sentence 1, PPL: -15.43451
3: bad sentence 1, PPL: -14.77397
4: good sentence 2, PPL: -51.85973
5: bad sentence 2, PPL: -50.63150
6: good sentence 3, PPL: -23.03251
7: bad sentence 3, PPL: -24.36383
8: good sentence 4, PPL: -48.71583
9: bad sentence 4, PPL: -46.74188
10: good sentence 5, PPL: -6.10172
11: bad sentence 5, PPL: -6.49786
12: good sentence 6, PPL: -26.45765
13: bad sentence 6, PPL: -27.95131
14: good sentence 7, PPL: -9.60552
15: bad sentence 7, PPL: -10.48459
16: good sentence 8, PPL: -10.11914
17: bad sentence 8, PPL: -8.59494
18: good sentence 9, PPL: -15.80827
19: bad sentence 9, PPL: -17.02504
20: good sentence 10, PPL: -5.52842
21: bad sentence 10, PPL: -5.67402
22: good sentence 11, PPL: -32.90500
23: bad sentence 11, PPL: -31.15496
24: good sentence 12, PPL: -18.66961
25: bad sentence 12, PPL: -22.85815
26: good sentence 13, PPL: -28.34216
27: bad sentence 13, PPL: -28.75017
28: good sentence 14, PPL: -31.10772
29: bad sentence 14, PPL: -30.96681
30: good sentence 15, PPL: -9.64041
31: bad sentence 15, PPL: -9.27675
32: good sentence 16, PPL: -13.75590
33: bad sentence 16, PPL: -13.92641
34: good sentence 17, PPL: -10.84559
35: bad sentence 17, PPL: -11.48656
36: good sentence 18, PPL: -4.52630
37: bad sentence 18, PPL: -4.94979
38: good sentence 19, PPL: -15.52233
39: bad sentence 19, PPL: -15.75620
40: good sentence 20, PPL: -5.82268
41: bad sentence 20, PPL: -6.14028
42: good sentence 21, PPL: -16.11848
43: bad sentence 21, PPL: -18.87920
44: good sentence 22, PPL: -4.65783
45: bad sentence 22, PPL: -5.33713
46: good sentence 23, PPL: -25.52222
47: bad sentence 23, PPL: -25.39401
48: good sentence 24, PPL: -10.50405
49: bad sentence 24, PPL: -11.46681
50: good sentence 25, PPL: -32.10291
51: bad sentence 25, PPL: -29.01524
52: good sentence 26, PPL: -6.89970
53: bad sentence 26, PPL: -7.23586
54: good sentence 27, PPL: -8.10897
55: bad sentence 27, PPL: -8.39102
56: good sentence 28, PPL: -12.16401
57: bad sentence 28, PPL: -12.15380
58: good sentence 29, PPL: -9.54056
59: bad sentence 29, PPL: -10.36976
60: good sentence 30, PPL: -29.94839
61: bad sentence 30, PPL: -25.95076
62: good sentence 31, PPL: -27.38549
63: bad sentence 31, PPL: -27.42753
64: good sentence 32, PPL: -9.80729
65: bad sentence 32, PPL: -9.99585
66: good sentence 33, PPL: -4.47923
67: bad sentence 33, PPL: -4.52207
68: good sentence 34, PPL: -4.67149
69: bad sentence 34, PPL: -4.53206
70: good sentence 35, PPL: -19.72073
71: bad sentence 35, PPL: -21.75259
72: good sentence 36, PPL: -13.03591
73: bad sentence 36, PPL: -15.21414
74: good sentence 37, PPL: -16.20267
75: bad sentence 37, PPL: -17.43691
76: good sentence 38, PPL: -14.11888
77: bad sentence 38, PPL: -17.72710
78: good sentence 39, PPL: -7.35624
79: bad sentence 39, PPL: -8.52294
80: good sentence 40, PPL: -8.27749
81: bad sentence 40, PPL: -8.64461
82: good sentence 41, PPL: -3.15838
83: bad sentence 41, PPL: -3.22383
