Anaphor
	self_female
Model: nghuyong/ernie-3.0-base-zh, Accuracy: 92.80000, Average Perplexity (Good Sentences): -28.85861, Average Perplexity (Bad Sentences): -38.52343
0: good sentence 0, PPL: -13.94683
1: bad sentence 0, PPL: -14.28663
2: good sentence 1, PPL: -11.87852
3: bad sentence 1, PPL: -14.99443
4: good sentence 2, PPL: -49.99231
5: bad sentence 2, PPL: -58.70898
6: good sentence 3, PPL: -88.85012
7: bad sentence 3, PPL: -88.73093
8: good sentence 4, PPL: -42.86580
9: bad sentence 4, PPL: -65.77737
10: good sentence 5, PPL: -32.39766
11: bad sentence 5, PPL: -31.19093
12: good sentence 6, PPL: -9.86979
13: bad sentence 6, PPL: -9.25773
14: good sentence 7, PPL: -17.42690
15: bad sentence 7, PPL: -17.48669
16: good sentence 8, PPL: -163.24529
17: bad sentence 8, PPL: -252.21006
18: good sentence 9, PPL: -11.57685
19: bad sentence 9, PPL: -13.51333
20: good sentence 10, PPL: -56.39065
21: bad sentence 10, PPL: -63.55954
22: good sentence 11, PPL: -7.53990
23: bad sentence 11, PPL: -11.83194
24: good sentence 12, PPL: -26.32808
25: bad sentence 12, PPL: -40.65429
26: good sentence 13, PPL: -79.63768
27: bad sentence 13, PPL: -76.66733
28: good sentence 14, PPL: -76.57495
29: bad sentence 14, PPL: -83.39125
30: good sentence 15, PPL: -7.14160
31: bad sentence 15, PPL: -8.14326
32: good sentence 16, PPL: -6.46504
33: bad sentence 16, PPL: -9.59217
34: good sentence 17, PPL: -183.43759
35: bad sentence 17, PPL: -235.83337
36: good sentence 18, PPL: -11.78725
37: bad sentence 18, PPL: -14.87047
38: good sentence 19, PPL: -21.72651
39: bad sentence 19, PPL: -32.00027
40: good sentence 20, PPL: -3.58646
41: bad sentence 20, PPL: -5.94423
42: good sentence 21, PPL: -93.22272
43: bad sentence 21, PPL: -118.66379
44: good sentence 22, PPL: -6.27854
45: bad sentence 22, PPL: -8.89115
46: good sentence 23, PPL: -54.11825
47: bad sentence 23, PPL: -57.49514
48: good sentence 24, PPL: -29.65456
49: bad sentence 24, PPL: -35.28470
50: good sentence 25, PPL: -131.70241
51: bad sentence 25, PPL: -160.81690
52: good sentence 26, PPL: -20.79431
53: bad sentence 26, PPL: -24.89760
54: good sentence 27, PPL: -185.71470
55: bad sentence 27, PPL: -355.72346
56: good sentence 28, PPL: -39.90413
57: bad sentence 28, PPL: -41.46036
58: good sentence 29, PPL: -11.48171
59: bad sentence 29, PPL: -20.11329
60: good sentence 30, PPL: -22.06089
61: bad sentence 30, PPL: -31.81724
62: good sentence 31, PPL: -80.41439
63: bad sentence 31, PPL: -123.22627
64: good sentence 32, PPL: -87.50576
65: bad sentence 32, PPL: -129.53922
66: good sentence 33, PPL: -35.15235
67: bad sentence 33, PPL: -36.08926
68: good sentence 34, PPL: -6.83910
69: bad sentence 34, PPL: -11.33121
70: good sentence 35, PPL: -20.88007
71: bad sentence 35, PPL: -27.06554
72: good sentence 36, PPL: -20.70806
73: bad sentence 36, PPL: -21.89314
74: good sentence 37, PPL: -104.43003
75: bad sentence 37, PPL: -133.47257
76: good sentence 38, PPL: -227.22503
77: bad sentence 38, PPL: -266.91289
78: good sentence 39, PPL: -4.03419
79: bad sentence 39, PPL: -5.33004
80: good sentence 40, PPL: -83.62372
81: bad sentence 40, PPL: -98.35475
82: good sentence 41, PPL: -89.14807
83: bad sentence 41, PPL: -80.59673
84: good sentence 42, PPL: -3.99403
85: bad sentence 42, PPL: -5.54075
