Aspect
	temporal_le
Model: nghuyong/ernie-3.0-base-zh, Accuracy: 59.70000, Average Perplexity (Good Sentences): -41.57976, Average Perplexity (Bad Sentences): -47.59697
0: good sentence 0, PPL: -17.50721
1: bad sentence 0, PPL: -21.07662
2: good sentence 1, PPL: -12.81762
3: bad sentence 1, PPL: -45.95955
4: good sentence 2, PPL: -7.66685
5: bad sentence 2, PPL: -23.41438
6: good sentence 3, PPL: -119.75927
7: bad sentence 3, PPL: -41.95649
8: good sentence 4, PPL: -88.23571
9: bad sentence 4, PPL: -148.29751
10: good sentence 5, PPL: -32.35331
11: bad sentence 5, PPL: -20.10903
12: good sentence 6, PPL: -58.51521
13: bad sentence 6, PPL: -30.73597
14: good sentence 7, PPL: -31.66995
15: bad sentence 7, PPL: -48.98884
16: good sentence 8, PPL: -16.48976
17: bad sentence 8, PPL: -31.32591
18: good sentence 9, PPL: -55.48975
19: bad sentence 9, PPL: -137.59869
20: good sentence 10, PPL: -31.17423
21: bad sentence 10, PPL: -71.50201
22: good sentence 11, PPL: -19.01055
23: bad sentence 11, PPL: -19.94772
24: good sentence 12, PPL: -26.29194
25: bad sentence 12, PPL: -44.23717
26: good sentence 13, PPL: -167.87967
27: bad sentence 13, PPL: -134.96884
28: good sentence 14, PPL: -15.25519
29: bad sentence 14, PPL: -22.56934
30: good sentence 15, PPL: -29.29452
31: bad sentence 15, PPL: -43.51140
32: good sentence 16, PPL: -7.38937
33: bad sentence 16, PPL: -24.98222
34: good sentence 17, PPL: -22.75627
35: bad sentence 17, PPL: -50.15942
36: good sentence 18, PPL: -8.43346
37: bad sentence 18, PPL: -28.99216
38: good sentence 19, PPL: -8.48418
39: bad sentence 19, PPL: -7.05076
40: good sentence 20, PPL: -609.68978
41: bad sentence 20, PPL: -438.98474
42: good sentence 21, PPL: -119.71588
43: bad sentence 21, PPL: -63.21713
44: good sentence 22, PPL: -10.13485
45: bad sentence 22, PPL: -28.62601
46: good sentence 23, PPL: -370.91387
47: bad sentence 23, PPL: -748.97592
48: good sentence 24, PPL: -7.98609
49: bad sentence 24, PPL: -21.05635
50: good sentence 25, PPL: -90.64896
51: bad sentence 25, PPL: -167.72890
52: good sentence 26, PPL: -28.70230
53: bad sentence 26, PPL: -36.60241
54: good sentence 27, PPL: -180.99474
55: bad sentence 27, PPL: -257.12335
56: good sentence 28, PPL: -195.78082
57: bad sentence 28, PPL: -190.99513
58: good sentence 29, PPL: -5.73914
59: bad sentence 29, PPL: -10.56762
60: good sentence 30, PPL: -25.22806
61: bad sentence 30, PPL: -30.73636
62: good sentence 31, PPL: -5.95180
63: bad sentence 31, PPL: -4.82330
64: good sentence 32, PPL: -35.87222
65: bad sentence 32, PPL: -79.60766
66: good sentence 33, PPL: -21.89336
67: bad sentence 33, PPL: -14.05888
68: good sentence 34, PPL: -177.04340
69: bad sentence 34, PPL: -191.45449
70: good sentence 35, PPL: -35.83386
