DefinitenessEffect
	definiteness_demonstrative
Model: nghuyong/ernie-3.0-base-zh, Accuracy: 93.90000, Average Perplexity (Good Sentences): -16.32667, Average Perplexity (Bad Sentences): -33.35316
0: good sentence 0, PPL: -84.44703
1: bad sentence 0, PPL: -175.54822
2: good sentence 1, PPL: -2.86168
3: bad sentence 1, PPL: -6.33768
4: good sentence 2, PPL: -12.01687
5: bad sentence 2, PPL: -34.20183
6: good sentence 3, PPL: -9.23545
7: bad sentence 3, PPL: -16.26782
8: good sentence 4, PPL: -7.92563
9: bad sentence 4, PPL: -25.85017
10: good sentence 5, PPL: -40.49629
11: bad sentence 5, PPL: -110.52739
12: good sentence 6, PPL: -12.95275
13: bad sentence 6, PPL: -31.97057
14: good sentence 7, PPL: -24.41736
15: bad sentence 7, PPL: -32.14914
16: good sentence 8, PPL: -16.27760
17: bad sentence 8, PPL: -16.48660
18: good sentence 9, PPL: -4.43340
19: bad sentence 9, PPL: -8.17056
20: good sentence 10, PPL: -11.71414
21: bad sentence 10, PPL: -26.32062
22: good sentence 11, PPL: -40.78582
23: bad sentence 11, PPL: -132.74908
24: good sentence 12, PPL: -38.07073
25: bad sentence 12, PPL: -60.29935
26: good sentence 13, PPL: -34.99155
27: bad sentence 13, PPL: -81.55529
28: good sentence 14, PPL: -25.29158
29: bad sentence 14, PPL: -27.13428
30: good sentence 15, PPL: -35.72683
31: bad sentence 15, PPL: -38.19170
32: good sentence 16, PPL: -11.31393
33: bad sentence 16, PPL: -45.27102
34: good sentence 17, PPL: -24.07399
35: bad sentence 17, PPL: -92.34282
36: good sentence 18, PPL: -16.70763
37: bad sentence 18, PPL: -48.92032
38: good sentence 19, PPL: -18.35957
39: bad sentence 19, PPL: -31.34735
40: good sentence 20, PPL: -25.71548
41: bad sentence 20, PPL: -38.78742
42: good sentence 21, PPL: -4.61411
43: bad sentence 21, PPL: -6.34594
44: good sentence 22, PPL: -16.53028
45: bad sentence 22, PPL: -27.08840
46: good sentence 23, PPL: -20.00688
47: bad sentence 23, PPL: -47.80916
48: good sentence 24, PPL: -8.38156
49: bad sentence 24, PPL: -13.70941
50: good sentence 25, PPL: -16.02438
51: bad sentence 25, PPL: -14.11502
