DefinitenessEffect
	definiteness_every
Model: nghuyong/ernie-3.0-base-zh, Accuracy: 96.20000, Average Perplexity (Good Sentences): -16.32667, Average Perplexity (Bad Sentences): -52.17676
0: good sentence 0, PPL: -84.44703
1: bad sentence 0, PPL: -150.36329
2: good sentence 1, PPL: -2.86168
3: bad sentence 1, PPL: -29.86773
4: good sentence 2, PPL: -12.01687
5: bad sentence 2, PPL: -119.89919
6: good sentence 3, PPL: -9.23545
7: bad sentence 3, PPL: -31.54499
8: good sentence 4, PPL: -7.92563
9: bad sentence 4, PPL: -25.63013
10: good sentence 5, PPL: -40.49629
11: bad sentence 5, PPL: -182.79889
12: good sentence 6, PPL: -12.95275
13: bad sentence 6, PPL: -25.50975
14: good sentence 7, PPL: -24.41736
15: bad sentence 7, PPL: -24.07420
16: good sentence 8, PPL: -16.27760
17: bad sentence 8, PPL: -17.67954
18: good sentence 9, PPL: -4.43340
19: bad sentence 9, PPL: -28.40557
20: good sentence 10, PPL: -11.71414
21: bad sentence 10, PPL: -53.36465
22: good sentence 11, PPL: -40.78582
23: bad sentence 11, PPL: -70.96713
24: good sentence 12, PPL: -38.07073
25: bad sentence 12, PPL: -81.25553
26: good sentence 13, PPL: -34.99155
27: bad sentence 13, PPL: -51.64513
28: good sentence 14, PPL: -25.29158
29: bad sentence 14, PPL: -31.44019
30: good sentence 15, PPL: -35.72683
31: bad sentence 15, PPL: -75.27371
32: good sentence 16, PPL: -11.31393
33: bad sentence 16, PPL: -31.34738
34: good sentence 17, PPL: -24.07399
35: bad sentence 17, PPL: -552.38796
36: good sentence 18, PPL: -16.70763
37: bad sentence 18, PPL: -72.12980
38: good sentence 19, PPL: -18.35957
39: bad sentence 19, PPL: -61.10510
40: good sentence 20, PPL: -25.71548
41: bad sentence 20, PPL: -43.75030
42: good sentence 21, PPL: -4.61411
43: bad sentence 21, PPL: -16.06118
44: good sentence 22, PPL: -16.53028
45: bad sentence 22, PPL: -75.22287
46: good sentence 23, PPL: -20.00688
47: bad sentence 23, PPL: -114.09621
48: good sentence 24, PPL: -8.38156
49: bad sentence 24, PPL: -47.19228
50: good sentence 25, PPL: -16.02438
51: bad sentence 25, PPL: -17.33202
52: good sentence 26, PPL: -8.40382
53: bad sentence 26, PPL: -135.24961
54: good sentence 27, PPL: -25.24581
55: bad sentence 27, PPL: -45.75029
56: good sentence 28, PPL: -9.82809
57: bad sentence 28, PPL: -36.31492
58: good sentence 29, PPL: -39.26088
59: bad sentence 29, PPL: -142.77331
60: good sentence 30, PPL: -26.67747
61: bad sentence 30, PPL: -54.27538
62: good sentence 31, PPL: -6.33891
63: bad sentence 31, PPL: -11.38053
64: good sentence 32, PPL: -14.37991
65: bad sentence 32, PPL: -15.98060
66: good sentence 33, PPL: -12.99269
67: bad sentence 33, PPL: -55.47700
68: good sentence 34, PPL: -55.91518
69: bad sentence 34, PPL: -84.29798
70: good sentence 35, PPL: -13.44068
71: bad sentence 35, PPL: -33.30251
72: good sentence 36, PPL: -22.72776
73: bad sentence 36, PPL: -48.93716
74: good sentence 37, PPL: -8.31735
75: bad sentence 37, PPL: -44.73504
76: good sentence 38, PPL: -31.44959
77: bad sentence 38, PPL: -163.98668
78: good sentence 39, PPL: -134.91249
79: bad sentence 39, PPL: -273.41972
80: good sentence 40, PPL: -18.09647
81: bad sentence 40, PPL: -25.61581
82: good sentence 41, PPL: -9.20914
83: bad sentence 41, PPL: -21.03178
84: good sentence 42, PPL: -15.94159
85: bad sentence 42, PPL: -50.45299
86: good sentence 43, PPL: -13.75687
87: bad sentence 43, PPL: -16.29762
88: good sentence 44, PPL: -17.02284
89: bad sentence 44, PPL: -24.96457
90: good sentence 45, PPL: -12.49181
91: bad sentence 45, PPL: -41.07076
92: good sentence 46, PPL: -16.05742
93: bad sentence 46, PPL: -83.59861
94: good sentence 47, PPL: -12.14502
95: bad sentence 47, PPL: -56.44050
96: good sentence 48, PPL: -117.35249
97: bad sentence 48, PPL: -197.85704
98: good sentence 49, PPL: -54.17724
99: bad sentence 49, PPL: -164.31428
100: good sentence 50, PPL: -54.56195
101: bad sentence 50, PPL: -51.27362
102: good sentence 51, PPL: -3.31580
103: bad sentence 51, PPL: -11.76397
104: good sentence 52, PPL: -4.41039
105: bad sentence 52, PPL: -29.14737
106: good sentence 53, PPL: -13.26305
107: bad sentence 53, PPL: -25.54032
108: good sentence 54, PPL: -12.25695
109: bad sentence 54, PPL: -65.84474
110: good sentence 55, PPL: -34.48220
111: bad sentence 55, PPL: -123.76068
112: good sentence 56, PPL: -11.93521
113: bad sentence 56, PPL: -51.60670
114: good sentence 57, PPL: -15.44142
115: bad sentence 57, PPL: -45.08923
116: good sentence 58, PPL: -2.65411
117: bad sentence 58, PPL: -17.51188
118: good sentence 59, PPL: -8.67356
119: bad sentence 59, PPL: -27.63858
120: good sentence 60, PPL: -6.86272
121: bad sentence 60, PPL: -41.96716
122: good sentence 61, PPL: -28.23605
123: bad sentence 61, PPL: -21.48998
124: good sentence 62, PPL: -9.91738
125: bad sentence 62, PPL: -28.57017
126: good sentence 63, PPL: -14.60007
127: bad sentence 63, PPL: -102.93907
128: good sentence 64, PPL: -26.60731
129: bad sentence 64, PPL: -64.58510
130: good sentence 65, PPL: -61.79357
131: bad sentence 65, PPL: -142.46652
132: good sentence 66, PPL: -58.23789
133: bad sentence 66, PPL: -59.85793
134: good sentence 67, PPL: -2.80260
135: bad sentence 67, PPL: -13.95391
136: good sentence 68, PPL: -54.94545
137: bad sentence 68, PPL: -61.65266
