PolarityItem
	even_wh
Model: nghuyong/ernie-3.0-base-zh, Accuracy: 85.80000, Average Perplexity (Good Sentences): -8.35760, Average Perplexity (Bad Sentences): -15.10859
0: good sentence 0, PPL: -2.97297
1: bad sentence 0, PPL: -5.37230
2: good sentence 1, PPL: -21.03292
3: bad sentence 1, PPL: -38.49059
4: good sentence 2, PPL: -31.57781
5: bad sentence 2, PPL: -38.07937
6: good sentence 3, PPL: -8.28282
7: bad sentence 3, PPL: -9.96455
8: good sentence 4, PPL: -18.17867
9: bad sentence 4, PPL: -27.04851
10: good sentence 5, PPL: -2.96293
11: bad sentence 5, PPL: -3.69085
12: good sentence 6, PPL: -2.36654
13: bad sentence 6, PPL: -7.89671
14: good sentence 7, PPL: -7.35044
15: bad sentence 7, PPL: -23.83818
16: good sentence 8, PPL: -9.63033
17: bad sentence 8, PPL: -9.33536
18: good sentence 9, PPL: -3.65533
19: bad sentence 9, PPL: -7.56765
20: good sentence 10, PPL: -7.48595
21: bad sentence 10, PPL: -24.65022
22: good sentence 11, PPL: -19.17226
23: bad sentence 11, PPL: -13.58789
24: good sentence 12, PPL: -3.39723
25: bad sentence 12, PPL: -27.02561
26: good sentence 13, PPL: -17.90443
27: bad sentence 13, PPL: -26.69437
28: good sentence 14, PPL: -4.71310
29: bad sentence 14, PPL: -7.84974
30: good sentence 15, PPL: -2.48001
31: bad sentence 15, PPL: -9.08206
32: good sentence 16, PPL: -4.62258
33: bad sentence 16, PPL: -24.71301
34: good sentence 17, PPL: -2.68964
35: bad sentence 17, PPL: -10.52644
36: good sentence 18, PPL: -5.23213
37: bad sentence 18, PPL: -8.48181
38: good sentence 19, PPL: -7.75977
39: bad sentence 19, PPL: -15.14535
40: good sentence 20, PPL: -11.96642
41: bad sentence 20, PPL: -14.07795
42: good sentence 21, PPL: -6.36991
43: bad sentence 21, PPL: -10.12333
44: good sentence 22, PPL: -7.06470
45: bad sentence 22, PPL: -11.44597
46: good sentence 23, PPL: -4.38711
47: bad sentence 23, PPL: -8.84875
48: good sentence 24, PPL: -9.30222
49: bad sentence 24, PPL: -22.48686
50: good sentence 25, PPL: -11.32919
51: bad sentence 25, PPL: -18.56067
52: good sentence 26, PPL: -19.87025
53: bad sentence 26, PPL: -37.51846
54: good sentence 27, PPL: -36.48736
55: bad sentence 27, PPL: -60.88853
56: good sentence 28, PPL: -11.24196
57: bad sentence 28, PPL: -14.28118
58: good sentence 29, PPL: -5.86761
59: bad sentence 29, PPL: -27.55307
60: good sentence 30, PPL: -4.64848
61: bad sentence 30, PPL: -11.66265
