WhFronting
	mod_wh
Model: nghuyong/ernie-3.0-base-zh, Accuracy: 100.00000, Average Perplexity (Good Sentences): -8.76807, Average Perplexity (Bad Sentences): -45.69017
0: good sentence 0, PPL: -3.79743
1: bad sentence 0, PPL: -34.99675
2: good sentence 1, PPL: -9.55760
3: bad sentence 1, PPL: -26.52664
4: good sentence 2, PPL: -5.64755
5: bad sentence 2, PPL: -24.24534
6: good sentence 3, PPL: -3.06787
7: bad sentence 3, PPL: -25.96261
8: good sentence 4, PPL: -9.52335
9: bad sentence 4, PPL: -36.26028
10: good sentence 5, PPL: -7.89984
11: bad sentence 5, PPL: -46.29610
12: good sentence 6, PPL: -10.43350
13: bad sentence 6, PPL: -29.47276
14: good sentence 7, PPL: -8.37363
15: bad sentence 7, PPL: -39.90298
16: good sentence 8, PPL: -26.54986
17: bad sentence 8, PPL: -101.65715
18: good sentence 9, PPL: -17.31294
19: bad sentence 9, PPL: -146.46712
20: good sentence 10, PPL: -3.83915
21: bad sentence 10, PPL: -13.88396
22: good sentence 11, PPL: -6.55505
23: bad sentence 11, PPL: -70.54256
24: good sentence 12, PPL: -69.02782
25: bad sentence 12, PPL: -574.16931
26: good sentence 13, PPL: -2.57875
27: bad sentence 13, PPL: -9.66136
28: good sentence 14, PPL: -6.69481
29: bad sentence 14, PPL: -41.92255
30: good sentence 15, PPL: -8.04182
31: bad sentence 15, PPL: -40.05412
32: good sentence 16, PPL: -6.78741
33: bad sentence 16, PPL: -54.71404
34: good sentence 17, PPL: -16.41528
35: bad sentence 17, PPL: -128.70723
36: good sentence 18, PPL: -4.66081
37: bad sentence 18, PPL: -20.33591
38: good sentence 19, PPL: -9.17744
39: bad sentence 19, PPL: -37.78338
40: good sentence 20, PPL: -4.30215
41: bad sentence 20, PPL: -50.50463
42: good sentence 21, PPL: -5.94370
43: bad sentence 21, PPL: -24.70395
44: good sentence 22, PPL: -19.39879
45: bad sentence 22, PPL: -175.18795
46: good sentence 23, PPL: -3.41302
47: bad sentence 23, PPL: -22.89814
48: good sentence 24, PPL: -10.72288
49: bad sentence 24, PPL: -39.32626
50: good sentence 25, PPL: -6.15413
51: bad sentence 25, PPL: -15.09776
52: good sentence 26, PPL: -14.79859
53: bad sentence 26, PPL: -102.63391
54: good sentence 27, PPL: -3.92368
55: bad sentence 27, PPL: -17.23295
56: good sentence 28, PPL: -36.45030
57: bad sentence 28, PPL: -219.32662
