Plural
	baseline_cl_female
Model: imone/pangu_2_6B, Accuracy: 0.00000, Average Perplexity (Good Sentences): -10322.01172, Average Perplexity (Bad Sentences): -6387.22607
0: good sentence 0, PPL: -21391.90625
1: bad sentence 0, PPL: -12844.38281
2: good sentence 1, PPL: -7925.82324
3: bad sentence 1, PPL: -5340.64258
4: good sentence 2, PPL: -21428.74219
5: bad sentence 2, PPL: -12767.84570
6: good sentence 3, PPL: -17058.54883
7: bad sentence 3, PPL: -10498.14746
8: good sentence 4, PPL: -5717.57715
9: bad sentence 4, PPL: -3708.90332
10: good sentence 5, PPL: -3826.30811
11: bad sentence 5, PPL: -2328.96582
12: good sentence 6, PPL: -15952.45703
13: bad sentence 6, PPL: -10051.03809
14: good sentence 7, PPL: -18029.44922
15: bad sentence 7, PPL: -11220.99023
16: good sentence 8, PPL: -14273.35449
17: bad sentence 8, PPL: -10300.83984
18: good sentence 9, PPL: -13461.58203
19: bad sentence 9, PPL: -7634.49121
20: good sentence 10, PPL: -10082.70020
21: bad sentence 10, PPL: -5894.83252
22: good sentence 11, PPL: -3376.78247
23: bad sentence 11, PPL: -2137.49487
24: good sentence 12, PPL: -16423.87695
25: bad sentence 12, PPL: -11896.37891
26: good sentence 13, PPL: -7913.17285
27: bad sentence 13, PPL: -5317.81787
28: good sentence 14, PPL: -15771.04199
29: bad sentence 14, PPL: -8809.57324
30: good sentence 15, PPL: -10220.05371
31: bad sentence 15, PPL: -5434.07080
32: good sentence 16, PPL: -9686.77051
33: bad sentence 16, PPL: -6215.58203
34: good sentence 17, PPL: -18815.13281
35: bad sentence 17, PPL: -12494.48438
36: good sentence 18, PPL: -19896.04688
37: bad sentence 18, PPL: -12486.57422
38: good sentence 19, PPL: -11176.96680
39: bad sentence 19, PPL: -6057.54395
40: good sentence 20, PPL: -20762.24023
41: bad sentence 20, PPL: -13400.15039
42: good sentence 21, PPL: -10348.32812
43: bad sentence 21, PPL: -6317.92627
44: good sentence 22, PPL: -9053.42969
45: bad sentence 22, PPL: -5573.07324
46: good sentence 23, PPL: -18657.19727
47: bad sentence 23, PPL: -10639.01855
48: good sentence 24, PPL: -20268.01953
49: bad sentence 24, PPL: -11668.80859
50: good sentence 25, PPL: -6561.46436
51: bad sentence 25, PPL: -3694.42627
52: good sentence 26, PPL: -36449.78125
53: bad sentence 26, PPL: -22825.96680
54: good sentence 27, PPL: -11279.00195
55: bad sentence 27, PPL: -6083.48633
56: good sentence 28, PPL: -17904.69141
57: bad sentence 28, PPL: -11261.95508
58: good sentence 29, PPL: -12149.48047
59: bad sentence 29, PPL: -7971.53271
60: good sentence 30, PPL: -8917.34570
61: bad sentence 30, PPL: -5338.69727
62: good sentence 31, PPL: -12252.56152
63: bad sentence 31, PPL: -6727.98291
64: good sentence 32, PPL: -42646.47266
65: bad sentence 32, PPL: -26240.67578
66: good sentence 33, PPL: -5098.63379
67: bad sentence 33, PPL: -3628.51587
68: good sentence 34, PPL: -27981.41992
69: bad sentence 34, PPL: -15315.79004
70: good sentence 35, PPL: -25797.12109
71: bad sentence 35, PPL: -14231.87012
72: good sentence 36, PPL: -14739.50488
73: bad sentence 36, PPL: -9109.95117
74: good sentence 37, PPL: -15744.11328
75: bad sentence 37, PPL: -9086.13477
76: good sentence 38, PPL: -20150.95508
77: bad sentence 38, PPL: -13004.75293
78: good sentence 39, PPL: -4017.37769
79: bad sentence 39, PPL: -2890.10059
80: good sentence 40, PPL: -18480.67773
81: bad sentence 40, PPL: -11116.60742
82: good sentence 41, PPL: -8541.12988
83: bad sentence 41, PPL: -6017.15430
84: good sentence 42, PPL: -11909.52344
85: bad sentence 42, PPL: -7243.29688
86: good sentence 43, PPL: -10618.71582
87: bad sentence 43, PPL: -6432.95850
88: good sentence 44, PPL: -7242.86084
89: bad sentence 44, PPL: -4495.56494
90: good sentence 45, PPL: -15294.02734
91: bad sentence 45, PPL: -9503.58887
92: good sentence 46, PPL: -11945.30957
93: bad sentence 46, PPL: -7350.25732
94: good sentence 47, PPL: -20406.24609
95: bad sentence 47, PPL: -11395.83691
96: good sentence 48, PPL: -14191.57617
97: bad sentence 48, PPL: -8930.20508
98: good sentence 49, PPL: -5268.53516
99: bad sentence 49, PPL: -3328.89111
100: good sentence 50, PPL: -15048.93359
101: bad sentence 50, PPL: -8586.44043
102: good sentence 51, PPL: -5378.31738
103: bad sentence 51, PPL: -3691.74268
104: good sentence 52, PPL: -9619.17285
105: bad sentence 52, PPL: -6479.92041
106: good sentence 53, PPL: -6169.31201
107: bad sentence 53, PPL: -3595.25562
108: good sentence 54, PPL: -3475.56714
109: bad sentence 54, PPL: -2067.77856
110: good sentence 55, PPL: -8673.26660
111: bad sentence 55, PPL: -5496.35400
112: good sentence 56, PPL: -26304.86914
113: bad sentence 56, PPL: -15287.49512
114: good sentence 57, PPL: -21112.11914
115: bad sentence 57, PPL: -13148.41504
116: good sentence 58, PPL: -16222.30371
117: bad sentence 58, PPL: -9645.57324
118: good sentence 59, PPL: -11050.56641
119: bad sentence 59, PPL: -7602.27637
120: good sentence 60, PPL: -5968.43262
121: bad sentence 60, PPL: -3615.94507
122: good sentence 61, PPL: -12188.56738
123: bad sentence 61, PPL: -7043.12305
124: good sentence 62, PPL: -20230.61328
125: bad sentence 62, PPL: -12979.94727
126: good sentence 63, PPL: -23032.43359
127: bad sentence 63, PPL: -13524.06738
128: good sentence 64, PPL: -11434.50488
129: bad sentence 64, PPL: -6781.10693
130: good sentence 65, PPL: -24460.88867
131: bad sentence 65, PPL: -15725.22070
132: good sentence 66, PPL: -15681.61035
133: bad sentence 66, PPL: -8836.27148
134: good sentence 67, PPL: -15887.18848
135: bad sentence 67, PPL: -8502.31543
136: good sentence 68, PPL: -4037.46167
137: bad sentence 68, PPL: -2307.46899
138: good sentence 69, PPL: -10065.58984
139: bad sentence 69, PPL: -6273.28711
140: good sentence 70, PPL: -2823.90820
141: bad sentence 70, PPL: -1789.82642
142: good sentence 71, PPL: -11383.62793
143: bad sentence 71, PPL: -7540.54688
144: good sentence 72, PPL: -14255.32910
145: bad sentence 72, PPL: -8682.48633
146: good sentence 73, PPL: -11763.58105
147: bad sentence 73, PPL: -7189.29395
148: good sentence 74, PPL: -19264.59180
149: bad sentence 74, PPL: -11792.13281
150: good sentence 75, PPL: -18773.19336
151: bad sentence 75, PPL: -10953.62695
152: good sentence 76, PPL: -4713.52783
153: bad sentence 76, PPL: -3063.24536
154: good sentence 77, PPL: -4440.77588
155: bad sentence 77, PPL: -3166.15479
156: good sentence 78, PPL: -17629.32422
157: bad sentence 78, PPL: -10118.51465
158: good sentence 79, PPL: -6042.19141
159: bad sentence 79, PPL: -3574.30225
160: good sentence 80, PPL: -7738.62695
161: bad sentence 80, PPL: -4905.12744
162: good sentence 81, PPL: -8418.06738
163: bad sentence 81, PPL: -5060.32178
164: good sentence 82, PPL: -9544.61621
165: bad sentence 82, PPL: -6689.66504
166: good sentence 83, PPL: -22711.75000
167: bad sentence 83, PPL: -12572.51172
168: good sentence 84, PPL: -3575.52954
169: bad sentence 84, PPL: -2320.55298
170: good sentence 85, PPL: -8746.59570
171: bad sentence 85, PPL: -4924.26025
172: good sentence 86, PPL: -29063.54297
173: bad sentence 86, PPL: -19246.41211
174: good sentence 87, PPL: -4276.84766
175: bad sentence 87, PPL: -2459.08057
176: good sentence 88, PPL: -6874.06055
177: bad sentence 88, PPL: -3903.26050
178: good sentence 89, PPL: -17235.07031
179: bad sentence 89, PPL: -10495.36426
180: good sentence 90, PPL: -10836.86035
181: bad sentence 90, PPL: -5745.82666
182: good sentence 91, PPL: -6791.63037
183: bad sentence 91, PPL: -3494.55835
184: good sentence 92, PPL: -5854.29346
185: bad sentence 92, PPL: -3451.80078
186: good sentence 93, PPL: -10861.75391
187: bad sentence 93, PPL: -5691.21436
188: good sentence 94, PPL: -6460.90918
189: bad sentence 94, PPL: -4318.00732
190: good sentence 95, PPL: -11093.83789
191: bad sentence 95, PPL: -6423.02148
192: good sentence 96, PPL: -11091.83789
193: bad sentence 96, PPL: -6495.42529
194: good sentence 97, PPL: -14825.45898
195: bad sentence 97, PPL: -8315.42383
196: good sentence 98, PPL: -2816.46875
197: bad sentence 98, PPL: -1972.60266
198: good sentence 99, PPL: -3293.43604
199: bad sentence 99, PPL: -2067.02832
200: good sentence 100, PPL: -7258.48193
201: bad sentence 100, PPL: -4248.43604
202: good sentence 101, PPL: -4783.00391
203: bad sentence 101, PPL: -2952.70703
204: good sentence 102, PPL: -7737.42334
205: bad sentence 102, PPL: -5564.36865
206: good sentence 103, PPL: -9948.98633
207: bad sentence 103, PPL: -6308.48584
208: good sentence 104, PPL: -10458.80469
209: bad sentence 104, PPL: -6340.45264
210: good sentence 105, PPL: -21429.98828
211: bad sentence 105, PPL: -13430.11426
212: good sentence 106, PPL: -3898.81470
213: bad sentence 106, PPL: -2371.90259
214: good sentence 107, PPL: -4990.38477
215: bad sentence 107, PPL: -2990.30298
216: good sentence 108, PPL: -9367.89160
217: bad sentence 108, PPL: -5773.35596
218: good sentence 109, PPL: -11674.85254
219: bad sentence 109, PPL: -6997.10938
220: good sentence 110, PPL: -7845.56592
221: bad sentence 110, PPL: -4850.08545
222: good sentence 111, PPL: -4123.36035
223: bad sentence 111, PPL: -2707.53857
224: good sentence 112, PPL: -5989.01025
225: bad sentence 112, PPL: -3259.49268
226: good sentence 113, PPL: -10363.19141
227: bad sentence 113, PPL: -6879.37891
228: good sentence 114, PPL: -7090.02148
229: bad sentence 114, PPL: -4287.17480
230: good sentence 115, PPL: -6649.09863
231: bad sentence 115, PPL: -3885.62622
232: good sentence 116, PPL: -9536.01855
233: bad sentence 116, PPL: -6880.08105
234: good sentence 117, PPL: -34365.97656
235: bad sentence 117, PPL: -22974.66992
236: good sentence 118, PPL: -16030.15918
237: bad sentence 118, PPL: -9182.56641
238: good sentence 119, PPL: -5398.35840
239: bad sentence 119, PPL: -2848.95386
240: good sentence 120, PPL: -9058.99219
241: bad sentence 120, PPL: -5749.16455
242: good sentence 121, PPL: -14751.71289
243: bad sentence 121, PPL: -9263.05371
244: good sentence 122, PPL: -10922.87500
245: bad sentence 122, PPL: -7402.30615
246: good sentence 123, PPL: -13265.30859
247: bad sentence 123, PPL: -8466.68066
248: good sentence 124, PPL: -6784.12793
249: bad sentence 124, PPL: -4498.53320
250: good sentence 125, PPL: -34508.87109
251: bad sentence 125, PPL: -23236.93359
252: good sentence 126, PPL: -11703.16797
253: bad sentence 126, PPL: -7305.62256
254: good sentence 127, PPL: -4207.51074
255: bad sentence 127, PPL: -2927.30591
256: good sentence 128, PPL: -8416.55762
257: bad sentence 128, PPL: -4806.06738
258: good sentence 129, PPL: -6397.46191
259: bad sentence 129, PPL: -3783.70386
260: good sentence 130, PPL: -15489.84180
261: bad sentence 130, PPL: -10417.27441
262: good sentence 131, PPL: -7298.94434
263: bad sentence 131, PPL: -4142.20410
264: good sentence 132, PPL: -10348.27832
265: bad sentence 132, PPL: -6565.50830
266: good sentence 133, PPL: -10556.84961
267: bad sentence 133, PPL: -6813.06396
268: good sentence 134, PPL: -8363.58887
269: bad sentence 134, PPL: -4532.66992
270: good sentence 135, PPL: -24516.44922
271: bad sentence 135, PPL: -15818.00781
272: good sentence 136, PPL: -8012.40820
273: bad sentence 136, PPL: -5512.43848
274: good sentence 137, PPL: -5048.54541
275: bad sentence 137, PPL: -3240.90137
276: good sentence 138, PPL: -7664.35693
277: bad sentence 138, PPL: -4306.08105
278: good sentence 139, PPL: -9978.81348
279: bad sentence 139, PPL: -5007.89600
280: good sentence 140, PPL: -12977.09961
281: bad sentence 140, PPL: -8233.14648
282: good sentence 141, PPL: -6368.31689
283: bad sentence 141, PPL: -3808.07007
284: good sentence 142, PPL: -5624.33545
285: bad sentence 142, PPL: -3619.77856
286: good sentence 143, PPL: -13601.62305
287: bad sentence 143, PPL: -9056.09766
288: good sentence 144, PPL: -11326.72168
289: bad sentence 144, PPL: -7147.36035
290: good sentence 145, PPL: -15994.27344
291: bad sentence 145, PPL: -10727.72949
292: good sentence 146, PPL: -15383.46289
293: bad sentence 146, PPL: -9277.40234
294: good sentence 147, PPL: -5006.96533
295: bad sentence 147, PPL: -3293.57422
296: good sentence 148, PPL: -13011.73730
297: bad sentence 148, PPL: -9195.35254
298: good sentence 149, PPL: -6177.94971
299: bad sentence 149, PPL: -3477.35107
300: good sentence 150, PPL: -11584.20801
301: bad sentence 150, PPL: -6670.69287
302: good sentence 151, PPL: -15373.88672
303: bad sentence 151, PPL: -10122.24023
304: good sentence 152, PPL: -11707.15234
305: bad sentence 152, PPL: -7315.13232
306: good sentence 153, PPL: -10286.25195
