Plural
	baseline_cl_male
Model: imone/pangu_2_6B, Accuracy: 0.00000, Average Perplexity (Good Sentences): -7617.18994, Average Perplexity (Bad Sentences): -5491.56543
0: good sentence 0, PPL: -11774.45703
1: bad sentence 0, PPL: -8458.36816
2: good sentence 1, PPL: -5171.06348
3: bad sentence 1, PPL: -3774.41992
4: good sentence 2, PPL: -11174.05762
5: bad sentence 2, PPL: -8218.60156
6: good sentence 3, PPL: -12966.28809
7: bad sentence 3, PPL: -10109.29395
8: good sentence 4, PPL: -4421.00000
9: bad sentence 4, PPL: -3329.39258
10: good sentence 5, PPL: -3995.17969
11: bad sentence 5, PPL: -2578.19556
12: good sentence 6, PPL: -12794.33203
13: bad sentence 6, PPL: -9980.66016
14: good sentence 7, PPL: -13081.01367
15: bad sentence 7, PPL: -9907.57129
16: good sentence 8, PPL: -9682.63281
17: bad sentence 8, PPL: -7427.00586
18: good sentence 9, PPL: -10321.70605
19: bad sentence 9, PPL: -6539.20068
20: good sentence 10, PPL: -4850.67285
21: bad sentence 10, PPL: -3314.06982
22: good sentence 11, PPL: -2442.28003
23: bad sentence 11, PPL: -1754.92432
24: good sentence 12, PPL: -12449.83301
25: bad sentence 12, PPL: -10074.44434
26: good sentence 13, PPL: -5121.63135
27: bad sentence 13, PPL: -3979.57739
28: good sentence 14, PPL: -12625.47461
29: bad sentence 14, PPL: -8515.73730
30: good sentence 15, PPL: -8780.70312
31: bad sentence 15, PPL: -5874.84180
32: good sentence 16, PPL: -7343.72705
33: bad sentence 16, PPL: -5303.84912
34: good sentence 17, PPL: -8783.34180
35: bad sentence 17, PPL: -6450.68896
36: good sentence 18, PPL: -13149.83203
37: bad sentence 18, PPL: -9512.05762
38: good sentence 19, PPL: -8189.08252
39: bad sentence 19, PPL: -4967.53613
40: good sentence 20, PPL: -11625.92090
41: bad sentence 20, PPL: -8793.60840
42: good sentence 21, PPL: -8343.40234
43: bad sentence 21, PPL: -6099.93848
44: good sentence 22, PPL: -6270.57764
45: bad sentence 22, PPL: -4485.37305
46: good sentence 23, PPL: -13942.24707
47: bad sentence 23, PPL: -10065.76270
48: good sentence 24, PPL: -13790.54199
49: bad sentence 24, PPL: -8973.56543
50: good sentence 25, PPL: -7005.81006
51: bad sentence 25, PPL: -4467.66064
52: good sentence 26, PPL: -16930.52734
53: bad sentence 26, PPL: -12160.23828
54: good sentence 27, PPL: -8960.47266
55: bad sentence 27, PPL: -6448.92969
56: good sentence 28, PPL: -9314.70801
57: bad sentence 28, PPL: -6453.97461
58: good sentence 29, PPL: -8899.70898
59: bad sentence 29, PPL: -6759.34814
60: good sentence 30, PPL: -6344.98340
61: bad sentence 30, PPL: -4210.56104
62: good sentence 31, PPL: -9991.98438
63: bad sentence 31, PPL: -6695.19238
64: good sentence 32, PPL: -14514.42285
65: bad sentence 32, PPL: -9705.22754
66: good sentence 33, PPL: -4792.69775
67: bad sentence 33, PPL: -3469.65918
68: good sentence 34, PPL: -19814.20703
69: bad sentence 34, PPL: -12057.78418
70: good sentence 35, PPL: -21069.05664
71: bad sentence 35, PPL: -12744.58594
72: good sentence 36, PPL: -10502.74316
73: bad sentence 36, PPL: -8460.46582
74: good sentence 37, PPL: -12447.12500
75: bad sentence 37, PPL: -7956.32031
76: good sentence 38, PPL: -11552.51172
77: bad sentence 38, PPL: -8314.14746
78: good sentence 39, PPL: -2715.76733
79: bad sentence 39, PPL: -2116.99731
80: good sentence 40, PPL: -12486.83594
81: bad sentence 40, PPL: -8520.32715
82: good sentence 41, PPL: -5855.44922
83: bad sentence 41, PPL: -4814.49463
84: good sentence 42, PPL: -8216.33691
85: bad sentence 42, PPL: -5946.47900
86: good sentence 43, PPL: -8864.42090
87: bad sentence 43, PPL: -6428.38379
88: good sentence 44, PPL: -6990.95264
89: bad sentence 44, PPL: -5133.26465
90: good sentence 45, PPL: -6431.02051
91: bad sentence 45, PPL: -4518.66455
92: good sentence 46, PPL: -6155.26660
93: bad sentence 46, PPL: -4326.68799
94: good sentence 47, PPL: -17506.63477
95: bad sentence 47, PPL: -10669.26660
96: good sentence 48, PPL: -10975.85840
97: bad sentence 48, PPL: -8041.43604
98: good sentence 49, PPL: -3355.70068
99: bad sentence 49, PPL: -2372.65942
100: good sentence 50, PPL: -11762.37988
101: bad sentence 50, PPL: -8521.83789
102: good sentence 51, PPL: -4099.67383
103: bad sentence 51, PPL: -3137.04907
104: good sentence 52, PPL: -4272.19629
105: bad sentence 52, PPL: -3237.13281
106: good sentence 53, PPL: -5077.53564
107: bad sentence 53, PPL: -3376.50244
108: good sentence 54, PPL: -2521.71143
109: bad sentence 54, PPL: -1747.20654
110: good sentence 55, PPL: -6447.25684
111: bad sentence 55, PPL: -4882.32910
112: good sentence 56, PPL: -16572.49805
113: bad sentence 56, PPL: -11204.79102
114: good sentence 57, PPL: -13819.59863
115: bad sentence 57, PPL: -10459.42285
116: good sentence 58, PPL: -9400.70117
117: bad sentence 58, PPL: -6660.76367
118: good sentence 59, PPL: -9105.10449
119: bad sentence 59, PPL: -7164.27832
120: good sentence 60, PPL: -4062.31128
121: bad sentence 60, PPL: -2894.09009
122: good sentence 61, PPL: -9251.61230
123: bad sentence 61, PPL: -6392.25342
124: good sentence 62, PPL: -11484.49219
125: bad sentence 62, PPL: -8229.04883
126: good sentence 63, PPL: -10502.89355
127: bad sentence 63, PPL: -7633.34131
128: good sentence 64, PPL: -6484.66211
129: bad sentence 64, PPL: -4646.87256
130: good sentence 65, PPL: -10745.24805
131: bad sentence 65, PPL: -8347.96289
132: good sentence 66, PPL: -10074.79980
133: bad sentence 66, PPL: -6866.10645
134: good sentence 67, PPL: -12995.75195
135: bad sentence 67, PPL: -8192.97363
136: good sentence 68, PPL: -3813.35059
137: bad sentence 68, PPL: -2378.51465
138: good sentence 69, PPL: -9838.39648
139: bad sentence 69, PPL: -7153.25879
140: good sentence 70, PPL: -1729.11694
141: bad sentence 70, PPL: -1196.29907
142: good sentence 71, PPL: -6973.48730
143: bad sentence 71, PPL: -5245.91357
144: good sentence 72, PPL: -7894.93848
145: bad sentence 72, PPL: -5296.32324
146: good sentence 73, PPL: -6291.20703
147: bad sentence 73, PPL: -4412.43652
148: good sentence 74, PPL: -15347.32812
149: bad sentence 74, PPL: -11424.39062
150: good sentence 75, PPL: -12673.82617
151: bad sentence 75, PPL: -9099.68848
152: good sentence 76, PPL: -3811.42017
153: bad sentence 76, PPL: -2639.09937
154: good sentence 77, PPL: -2966.42969
155: bad sentence 77, PPL: -2474.69946
156: good sentence 78, PPL: -14872.38867
157: bad sentence 78, PPL: -10033.78027
158: good sentence 79, PPL: -3325.13770
159: bad sentence 79, PPL: -2213.09766
160: good sentence 80, PPL: -4800.95020
161: bad sentence 80, PPL: -3457.23633
162: good sentence 81, PPL: -7130.00732
163: bad sentence 81, PPL: -4885.43555
164: good sentence 82, PPL: -6719.53809
165: bad sentence 82, PPL: -5250.23291
166: good sentence 83, PPL: -15123.34375
167: bad sentence 83, PPL: -10094.93848
168: good sentence 84, PPL: -3630.05615
169: bad sentence 84, PPL: -2742.20654
170: good sentence 85, PPL: -7008.58984
171: bad sentence 85, PPL: -5032.61035
172: good sentence 86, PPL: -21627.56250
173: bad sentence 86, PPL: -19359.08789
174: good sentence 87, PPL: -3765.46753
175: bad sentence 87, PPL: -2459.67749
176: good sentence 88, PPL: -7176.62109
177: bad sentence 88, PPL: -4580.73633
178: good sentence 89, PPL: -7855.26172
179: bad sentence 89, PPL: -6089.60986
180: good sentence 90, PPL: -7423.99561
181: bad sentence 90, PPL: -5746.27539
182: good sentence 91, PPL: -6707.31543
183: bad sentence 91, PPL: -4108.58984
184: good sentence 92, PPL: -4707.51270
185: bad sentence 92, PPL: -3346.77417
186: good sentence 93, PPL: -4379.50586
187: bad sentence 93, PPL: -2789.41333
188: good sentence 94, PPL: -5874.81396
189: bad sentence 94, PPL: -4552.86279
190: good sentence 95, PPL: -9240.60742
191: bad sentence 95, PPL: -7354.31689
192: good sentence 96, PPL: -11169.65820
193: bad sentence 96, PPL: -7098.38379
194: good sentence 97, PPL: -7616.89209
195: bad sentence 97, PPL: -4746.90039
196: good sentence 98, PPL: -2395.77075
197: bad sentence 98, PPL: -1859.54065
198: good sentence 99, PPL: -2761.48926
199: bad sentence 99, PPL: -2009.62390
200: good sentence 100, PPL: -6756.31885
201: bad sentence 100, PPL: -4856.69482
202: good sentence 101, PPL: -4606.11768
203: bad sentence 101, PPL: -3224.81372
204: good sentence 102, PPL: -6952.75537
205: bad sentence 102, PPL: -5050.35645
206: good sentence 103, PPL: -5930.93311
207: bad sentence 103, PPL: -4294.86816
208: good sentence 104, PPL: -8657.53223
209: bad sentence 104, PPL: -6192.64307
210: good sentence 105, PPL: -11578.32031
211: bad sentence 105, PPL: -8705.83496
212: good sentence 106, PPL: -3691.45361
213: bad sentence 106, PPL: -2615.23730
214: good sentence 107, PPL: -6222.40234
215: bad sentence 107, PPL: -4078.47144
216: good sentence 108, PPL: -5070.16650
217: bad sentence 108, PPL: -3598.66162
218: good sentence 109, PPL: -11503.54492
219: bad sentence 109, PPL: -8193.41016
220: good sentence 110, PPL: -6383.21338
221: bad sentence 110, PPL: -4632.53174
222: good sentence 111, PPL: -3893.21899
223: bad sentence 111, PPL: -2957.03809
224: good sentence 112, PPL: -3737.49756
225: bad sentence 112, PPL: -3127.33179
226: good sentence 113, PPL: -6540.68506
227: bad sentence 113, PPL: -4722.26074
228: good sentence 114, PPL: -2709.35571
229: bad sentence 114, PPL: -1793.31189
230: good sentence 115, PPL: -5426.95508
231: bad sentence 115, PPL: -3954.00439
232: good sentence 116, PPL: -7074.00781
233: bad sentence 116, PPL: -5764.82861
234: good sentence 117, PPL: -10951.90430
235: bad sentence 117, PPL: -7273.33838
236: good sentence 118, PPL: -11862.95801
237: bad sentence 118, PPL: -8142.18750
238: good sentence 119, PPL: -4510.85400
239: bad sentence 119, PPL: -2795.67041
240: good sentence 120, PPL: -9094.69043
241: bad sentence 120, PPL: -6455.22998
242: good sentence 121, PPL: -10595.67285
243: bad sentence 121, PPL: -7638.13281
244: good sentence 122, PPL: -10364.94141
245: bad sentence 122, PPL: -7920.53369
246: good sentence 123, PPL: -9203.35352
247: bad sentence 123, PPL: -6404.56738
248: good sentence 124, PPL: -6085.40674
249: bad sentence 124, PPL: -4465.22412
250: good sentence 125, PPL: -24455.08008
251: bad sentence 125, PPL: -18111.84375
252: good sentence 126, PPL: -10221.60352
253: bad sentence 126, PPL: -7037.84619
254: good sentence 127, PPL: -4210.12744
255: bad sentence 127, PPL: -2934.84766
256: good sentence 128, PPL: -6660.14111
257: bad sentence 128, PPL: -4198.35156
258: good sentence 129, PPL: -4352.69971
259: bad sentence 129, PPL: -2770.65454
260: good sentence 130, PPL: -9584.65039
261: bad sentence 130, PPL: -6686.14453
262: good sentence 131, PPL: -5198.70947
263: bad sentence 131, PPL: -3929.78711
264: good sentence 132, PPL: -8877.19531
265: bad sentence 132, PPL: -6650.45605
266: good sentence 133, PPL: -6980.80615
267: bad sentence 133, PPL: -5166.74072
268: good sentence 134, PPL: -7392.06348
269: bad sentence 134, PPL: -4598.36230
270: good sentence 135, PPL: -7424.23682
271: bad sentence 135, PPL: -6076.16846
272: good sentence 136, PPL: -5031.52539
273: bad sentence 136, PPL: -3555.17627
274: good sentence 137, PPL: -3675.70190
275: bad sentence 137, PPL: -2501.03540
276: good sentence 138, PPL: -6315.48633
277: bad sentence 138, PPL: -3916.40039
278: good sentence 139, PPL: -8074.93457
279: bad sentence 139, PPL: -4775.90234
280: good sentence 140, PPL: -9885.24121
281: bad sentence 140, PPL: -7572.03125
282: good sentence 141, PPL: -6184.00342
283: bad sentence 141, PPL: -4316.15430
284: good sentence 142, PPL: -4286.45557
285: bad sentence 142, PPL: -3137.22559
286: good sentence 143, PPL: -9128.91113
287: bad sentence 143, PPL: -6692.48535
288: good sentence 144, PPL: -7202.49756
289: bad sentence 144, PPL: -5008.99023
290: good sentence 145, PPL: -9729.54492
291: bad sentence 145, PPL: -7358.37939
292: good sentence 146, PPL: -11030.52930
293: bad sentence 146, PPL: -7875.23633
294: good sentence 147, PPL: -4776.73145
295: bad sentence 147, PPL: -3249.37500
296: good sentence 148, PPL: -6977.43848
297: bad sentence 148, PPL: -5223.14453
298: good sentence 149, PPL: -5339.44092
299: bad sentence 149, PPL: -3591.73926
300: good sentence 150, PPL: -8024.81152
301: bad sentence 150, PPL: -5702.87354
302: good sentence 151, PPL: -9640.24023
303: bad sentence 151, PPL: -7030.60742
304: good sentence 152, PPL: -7784.84521
305: bad sentence 152, PPL: -5653.90381
306: good sentence 153, PPL: -6889.29297
307: bad sentence 153, PPL: -5439.17236
308: good sentence 154, PPL: -6197.48779
309: bad sentence 154, PPL: -4487.90625
310: good sentence 155, PPL: -10854.56738
311: bad sentence 155, PPL: -7422.75000
312: good sentence 156, PPL: -7800.08740
313: bad sentence 156, PPL: -4988.65771
314: good sentence 157, PPL: -5331.93018
315: bad sentence 157, PPL: -3736.72070
316: good sentence 158, PPL: -10531.91113
317: bad sentence 158, PPL: -7399.63135
318: good sentence 159, PPL: -6098.74023
319: bad sentence 159, PPL: -4463.47412
320: good sentence 160, PPL: -8987.49121
321: bad sentence 160, PPL: -7058.01025
322: good sentence 161, PPL: -5802.20703
323: bad sentence 161, PPL: -4362.72363
324: good sentence 162, PPL: -3170.24609
325: bad sentence 162, PPL: -2182.22314
326: good sentence 163, PPL: -16732.86719
327: bad sentence 163, PPL: -11848.87012
328: good sentence 164, PPL: -8836.29688
329: bad sentence 164, PPL: -6446.51904
330: good sentence 165, PPL: -9420.31055
331: bad sentence 165, PPL: -6700.53223
332: good sentence 166, PPL: -13861.37402
333: bad sentence 166, PPL: -10129.30859
334: good sentence 167, PPL: -4054.11060
335: bad sentence 167, PPL: -2870.23340
336: good sentence 168, PPL: -17137.14062
337: bad sentence 168, PPL: -14551.30371
338: good sentence 169, PPL: -5148.95898
339: bad sentence 169, PPL: -4268.50635
340: good sentence 170, PPL: -9132.39355
341: bad sentence 170, PPL: -6395.44238
342: good sentence 171, PPL: -9566.20410
343: bad sentence 171, PPL: -7024.21436
344: good sentence 172, PPL: -10597.06641
345: bad sentence 172, PPL: -7347.48926
346: good sentence 173, PPL: -13448.89062
347: bad sentence 173, PPL: -10791.56348
348: good sentence 174, PPL: -21848.42578
349: bad sentence 174, PPL: -15605.52441
350: good sentence 175, PPL: -9931.83691
351: bad sentence 175, PPL: -7510.63379
352: good sentence 176, PPL: -8202.24512
353: bad sentence 176, PPL: -6751.48145
354: good sentence 177, PPL: -3281.55664
355: bad sentence 177, PPL: -2268.80444
356: good sentence 178, PPL: -3148.33594
357: bad sentence 178, PPL: -2011.51245
358: good sentence 179, PPL: -9236.80957
359: bad sentence 179, PPL: -6379.57471
360: good sentence 180, PPL: -12029.42676
361: bad sentence 180, PPL: -8779.20410
362: good sentence 181, PPL: -4074.22607
363: bad sentence 181, PPL: -2871.87915
364: good sentence 182, PPL: -8253.50781
365: bad sentence 182, PPL: -5942.22754
366: good sentence 183, PPL: -4539.29297
367: bad sentence 183, PPL: -3225.41968
368: good sentence 184, PPL: -10871.23535
369: bad sentence 184, PPL: -7462.29150
370: good sentence 185, PPL: -6686.02344
371: bad sentence 185, PPL: -5293.47998
372: good sentence 186, PPL: -7265.94092
373: bad sentence 186, PPL: -5189.90723
374: good sentence 187, PPL: -3641.41162
375: bad sentence 187, PPL: -2519.69702
