Plural
	baseline_cl_men_female
Model: imone/pangu_2_6B, Accuracy: 0.00000, Average Perplexity (Good Sentences): -8915.93457, Average Perplexity (Bad Sentences): -5840.20752
0: good sentence 0, PPL: -7768.30713
1: bad sentence 0, PPL: -5103.36719
2: good sentence 1, PPL: -6358.57617
3: bad sentence 1, PPL: -4255.94238
4: good sentence 2, PPL: -6201.66797
5: bad sentence 2, PPL: -4255.08594
6: good sentence 3, PPL: -7065.58691
7: bad sentence 3, PPL: -4607.04443
8: good sentence 4, PPL: -8781.22266
9: bad sentence 4, PPL: -6286.87061
10: good sentence 5, PPL: -5924.70898
11: bad sentence 5, PPL: -3731.91626
12: good sentence 6, PPL: -7910.99951
13: bad sentence 6, PPL: -4687.22803
14: good sentence 7, PPL: -11877.14160
15: bad sentence 7, PPL: -7383.79834
16: good sentence 8, PPL: -7218.67773
17: bad sentence 8, PPL: -4596.20068
18: good sentence 9, PPL: -5741.01172
19: bad sentence 9, PPL: -3723.82104
20: good sentence 10, PPL: -8736.65820
21: bad sentence 10, PPL: -5724.83350
22: good sentence 11, PPL: -10294.62305
23: bad sentence 11, PPL: -6489.17188
24: good sentence 12, PPL: -9885.25098
25: bad sentence 12, PPL: -6487.62500
26: good sentence 13, PPL: -11002.45703
27: bad sentence 13, PPL: -7578.66309
28: good sentence 14, PPL: -6798.38281
29: bad sentence 14, PPL: -4205.89404
30: good sentence 15, PPL: -3453.48291
31: bad sentence 15, PPL: -2370.93237
32: good sentence 16, PPL: -5084.81445
33: bad sentence 16, PPL: -3450.09912
34: good sentence 17, PPL: -7518.48096
35: bad sentence 17, PPL: -4903.94385
36: good sentence 18, PPL: -10334.86621
37: bad sentence 18, PPL: -6935.60303
38: good sentence 19, PPL: -4100.18945
39: bad sentence 19, PPL: -2779.69141
40: good sentence 20, PPL: -10150.41992
41: bad sentence 20, PPL: -6670.43213
42: good sentence 21, PPL: -19739.01172
43: bad sentence 21, PPL: -12967.68555
44: good sentence 22, PPL: -3268.53247
45: bad sentence 22, PPL: -2238.36182
46: good sentence 23, PPL: -5162.68213
47: bad sentence 23, PPL: -3200.63354
48: good sentence 24, PPL: -13893.04395
49: bad sentence 24, PPL: -9320.73242
50: good sentence 25, PPL: -13437.68555
51: bad sentence 25, PPL: -7979.15381
52: good sentence 26, PPL: -9334.13867
53: bad sentence 26, PPL: -6378.49756
54: good sentence 27, PPL: -8123.60352
55: bad sentence 27, PPL: -5363.23291
56: good sentence 28, PPL: -6480.19238
57: bad sentence 28, PPL: -4887.62158
58: good sentence 29, PPL: -12847.84961
59: bad sentence 29, PPL: -7819.79541
60: good sentence 30, PPL: -17413.70508
61: bad sentence 30, PPL: -11061.58398
62: good sentence 31, PPL: -11827.37402
63: bad sentence 31, PPL: -7878.60156
64: good sentence 32, PPL: -26463.84375
65: bad sentence 32, PPL: -17301.25781
66: good sentence 33, PPL: -7660.78418
67: bad sentence 33, PPL: -4782.19678
68: good sentence 34, PPL: -2499.98608
69: bad sentence 34, PPL: -1624.40466
70: good sentence 35, PPL: -6800.24365
71: bad sentence 35, PPL: -4762.64844
72: good sentence 36, PPL: -6914.03467
73: bad sentence 36, PPL: -4627.25098
74: good sentence 37, PPL: -9406.13574
75: bad sentence 37, PPL: -5717.82275
76: good sentence 38, PPL: -7445.05371
77: bad sentence 38, PPL: -4877.79590
78: good sentence 39, PPL: -7160.10498
79: bad sentence 39, PPL: -4176.08154
80: good sentence 40, PPL: -4973.11523
81: bad sentence 40, PPL: -3404.74756
82: good sentence 41, PPL: -11165.28027
83: bad sentence 41, PPL: -8135.39551
84: good sentence 42, PPL: -11024.78711
85: bad sentence 42, PPL: -7339.18359
86: good sentence 43, PPL: -8574.85254
87: bad sentence 43, PPL: -5045.16162
88: good sentence 44, PPL: -10263.85156
89: bad sentence 44, PPL: -6536.66260
90: good sentence 45, PPL: -5184.06982
91: bad sentence 45, PPL: -3528.89258
92: good sentence 46, PPL: -5775.37744
93: bad sentence 46, PPL: -3788.93604
94: good sentence 47, PPL: -8579.27051
95: bad sentence 47, PPL: -5357.74219
96: good sentence 48, PPL: -7523.68164
97: bad sentence 48, PPL: -4563.45654
98: good sentence 49, PPL: -12401.50781
99: bad sentence 49, PPL: -7908.47998
100: good sentence 50, PPL: -8627.64648
101: bad sentence 50, PPL: -5574.01904
102: good sentence 51, PPL: -11034.27539
103: bad sentence 51, PPL: -7513.51416
104: good sentence 52, PPL: -4354.44336
105: bad sentence 52, PPL: -3292.24268
106: good sentence 53, PPL: -8835.26855
107: bad sentence 53, PPL: -6304.49854
108: good sentence 54, PPL: -11766.27344
109: bad sentence 54, PPL: -7240.62354
110: good sentence 55, PPL: -11262.85645
111: bad sentence 55, PPL: -7216.71582
112: good sentence 56, PPL: -6336.94629
113: bad sentence 56, PPL: -4065.29175
114: good sentence 57, PPL: -7077.71240
115: bad sentence 57, PPL: -4819.25391
116: good sentence 58, PPL: -16929.75195
117: bad sentence 58, PPL: -10661.83105
118: good sentence 59, PPL: -8688.87305
119: bad sentence 59, PPL: -5106.20557
120: good sentence 60, PPL: -9369.75000
121: bad sentence 60, PPL: -6058.05273
122: good sentence 61, PPL: -7816.87256
123: bad sentence 61, PPL: -5088.34082
124: good sentence 62, PPL: -6291.41699
125: bad sentence 62, PPL: -4431.41357
126: good sentence 63, PPL: -9517.31152
127: bad sentence 63, PPL: -5877.79004
128: good sentence 64, PPL: -18851.41406
129: bad sentence 64, PPL: -12055.47363
130: good sentence 65, PPL: -7125.26904
131: bad sentence 65, PPL: -4745.36621
132: good sentence 66, PPL: -10700.50977
133: bad sentence 66, PPL: -6635.02393
134: good sentence 67, PPL: -11141.59180
135: bad sentence 67, PPL: -7736.41260
136: good sentence 68, PPL: -6387.02539
137: bad sentence 68, PPL: -3775.66187
138: good sentence 69, PPL: -15065.13086
