Plural
	baseline_cl_men_male
Model: imone/pangu_2_6B, Accuracy: 0.00000, Average Perplexity (Good Sentences): -6763.55859, Average Perplexity (Bad Sentences): -5110.35107
0: good sentence 0, PPL: -4049.23022
1: bad sentence 0, PPL: -3340.44141
2: good sentence 1, PPL: -6441.35693
3: bad sentence 1, PPL: -4878.79150
4: good sentence 2, PPL: -5112.14502
5: bad sentence 2, PPL: -4210.45654
6: good sentence 3, PPL: -6355.04785
7: bad sentence 3, PPL: -4825.91748
8: good sentence 4, PPL: -6195.40771
9: bad sentence 4, PPL: -5101.40625
10: good sentence 5, PPL: -4618.62305
11: bad sentence 5, PPL: -3839.67627
12: good sentence 6, PPL: -5226.94189
13: bad sentence 6, PPL: -3753.66455
14: good sentence 7, PPL: -7853.74805
15: bad sentence 7, PPL: -5612.78369
16: good sentence 8, PPL: -6132.14648
17: bad sentence 8, PPL: -4634.26367
18: good sentence 9, PPL: -4856.60693
19: bad sentence 9, PPL: -3737.06982
20: good sentence 10, PPL: -5730.87012
21: bad sentence 10, PPL: -4162.26465
22: good sentence 11, PPL: -7378.72314
23: bad sentence 11, PPL: -5371.19238
24: good sentence 12, PPL: -5528.69092
25: bad sentence 12, PPL: -3989.56372
26: good sentence 13, PPL: -6961.72607
27: bad sentence 13, PPL: -5303.26270
28: good sentence 14, PPL: -5305.56934
29: bad sentence 14, PPL: -3477.16528
30: good sentence 15, PPL: -3045.61670
31: bad sentence 15, PPL: -2230.93604
32: good sentence 16, PPL: -4936.43311
33: bad sentence 16, PPL: -3717.56909
34: good sentence 17, PPL: -8133.23145
35: bad sentence 17, PPL: -5884.28467
36: good sentence 18, PPL: -6735.98926
37: bad sentence 18, PPL: -5020.73584
38: good sentence 19, PPL: -3507.11157
39: bad sentence 19, PPL: -2891.31372
40: good sentence 20, PPL: -6546.03271
41: bad sentence 20, PPL: -4931.41748
42: good sentence 21, PPL: -18297.72852
43: bad sentence 21, PPL: -13878.01367
44: good sentence 22, PPL: -2233.71313
45: bad sentence 22, PPL: -1689.88782
46: good sentence 23, PPL: -4944.71191
47: bad sentence 23, PPL: -3667.01172
48: good sentence 24, PPL: -7562.46191
49: bad sentence 24, PPL: -6103.27295
50: good sentence 25, PPL: -7031.57324
51: bad sentence 25, PPL: -5942.72656
52: good sentence 26, PPL: -6777.99707
53: bad sentence 26, PPL: -5094.79395
54: good sentence 27, PPL: -5409.13379
55: bad sentence 27, PPL: -4173.48975
56: good sentence 28, PPL: -5719.32764
57: bad sentence 28, PPL: -4338.12061
58: good sentence 29, PPL: -9402.75488
59: bad sentence 29, PPL: -6683.59424
60: good sentence 30, PPL: -9818.89941
61: bad sentence 30, PPL: -7362.45068
62: good sentence 31, PPL: -9900.62012
63: bad sentence 31, PPL: -7756.91357
64: good sentence 32, PPL: -13237.26562
65: bad sentence 32, PPL: -9114.74805
66: good sentence 33, PPL: -7437.13379
67: bad sentence 33, PPL: -5030.41699
68: good sentence 34, PPL: -2858.95093
69: bad sentence 34, PPL: -1997.85925
70: good sentence 35, PPL: -6397.85840
71: bad sentence 35, PPL: -4841.00928
72: good sentence 36, PPL: -5704.55420
73: bad sentence 36, PPL: -4295.39258
74: good sentence 37, PPL: -7030.56738
75: bad sentence 37, PPL: -5159.73828
