Plural
	baseline_men_female
Model: imone/pangu_2_6B, Accuracy: 0.00000, Average Perplexity (Good Sentences): -4044.75317, Average Perplexity (Bad Sentences): -2389.58130
0: good sentence 0, PPL: -8723.10449
1: bad sentence 0, PPL: -4316.38477
2: good sentence 1, PPL: -3532.01001
3: bad sentence 1, PPL: -1916.20984
4: good sentence 2, PPL: -4578.15967
5: bad sentence 2, PPL: -2540.34814
6: good sentence 3, PPL: -14595.86230
7: bad sentence 3, PPL: -8098.88135
8: good sentence 4, PPL: -5972.17334
9: bad sentence 4, PPL: -3854.08667
10: good sentence 5, PPL: -1691.62842
11: bad sentence 5, PPL: -927.60797
12: good sentence 6, PPL: -4373.90479
13: bad sentence 6, PPL: -2280.71338
14: good sentence 7, PPL: -1952.75012
15: bad sentence 7, PPL: -1119.99182
16: good sentence 8, PPL: -2604.71606
17: bad sentence 8, PPL: -1531.32837
18: good sentence 9, PPL: -6503.46484
19: bad sentence 9, PPL: -3884.49268
20: good sentence 10, PPL: -2981.90771
21: bad sentence 10, PPL: -1781.43018
22: good sentence 11, PPL: -4594.03564
23: bad sentence 11, PPL: -2568.51025
24: good sentence 12, PPL: -1978.89124
25: bad sentence 12, PPL: -1256.08154
26: good sentence 13, PPL: -5741.15967
27: bad sentence 13, PPL: -3329.47852
28: good sentence 14, PPL: -2849.87891
29: bad sentence 14, PPL: -1590.38940
30: good sentence 15, PPL: -3954.82251
31: bad sentence 15, PPL: -2291.20581
32: good sentence 16, PPL: -4063.00464
33: bad sentence 16, PPL: -2803.42651
34: good sentence 17, PPL: -3955.56567
35: bad sentence 17, PPL: -2733.74390
36: good sentence 18, PPL: -2049.90723
37: bad sentence 18, PPL: -1314.94617
38: good sentence 19, PPL: -3154.43115
39: bad sentence 19, PPL: -1876.87598
40: good sentence 20, PPL: -1473.67090
41: bad sentence 20, PPL: -901.27081
42: good sentence 21, PPL: -4444.71191
43: bad sentence 21, PPL: -2867.43457
44: good sentence 22, PPL: -3398.43774
45: bad sentence 22, PPL: -2018.85388
46: good sentence 23, PPL: -4861.02295
47: bad sentence 23, PPL: -2659.01538
48: good sentence 24, PPL: -3933.39404
49: bad sentence 24, PPL: -2152.26782
50: good sentence 25, PPL: -814.28162
51: bad sentence 25, PPL: -504.35693
52: good sentence 26, PPL: -5733.10059
53: bad sentence 26, PPL: -3302.66089
54: good sentence 27, PPL: -2966.52856
55: bad sentence 27, PPL: -1669.69751
56: good sentence 28, PPL: -2847.23853
57: bad sentence 28, PPL: -1675.07642
58: good sentence 29, PPL: -14940.69629
59: bad sentence 29, PPL: -8753.76367
60: good sentence 30, PPL: -1897.84595
61: bad sentence 30, PPL: -977.36395
62: good sentence 31, PPL: -3230.64404
63: bad sentence 31, PPL: -2075.76147
64: good sentence 32, PPL: -8211.37012
65: bad sentence 32, PPL: -4636.65527
66: good sentence 33, PPL: -3864.22632
67: bad sentence 33, PPL: -2317.16406
68: good sentence 34, PPL: -936.56586
69: bad sentence 34, PPL: -629.68494
70: good sentence 35, PPL: -1900.16223
71: bad sentence 35, PPL: -1109.38110
72: good sentence 36, PPL: -4715.67236
73: bad sentence 36, PPL: -2359.82153
74: good sentence 37, PPL: -2823.63892
75: bad sentence 37, PPL: -1483.80969
76: good sentence 38, PPL: -3178.16504
77: bad sentence 38, PPL: -1880.69067
78: good sentence 39, PPL: -3111.09302
79: bad sentence 39, PPL: -2009.82129
