Plural
	baseline_men_male
Model: imone/pangu_2_6B, Accuracy: 0.10000, Average Perplexity (Good Sentences): -4628.60596, Average Perplexity (Bad Sentences): -3032.78833
0: good sentence 0, PPL: -9177.95215
1: bad sentence 0, PPL: -4968.28516
2: good sentence 1, PPL: -6137.47070
3: bad sentence 1, PPL: -3514.59839
4: good sentence 2, PPL: -5345.32031
5: bad sentence 2, PPL: -3391.40869
6: good sentence 3, PPL: -14078.93457
7: bad sentence 3, PPL: -9450.50879
8: good sentence 4, PPL: -6287.64404
9: bad sentence 4, PPL: -4121.17090
10: good sentence 5, PPL: -2565.31812
11: bad sentence 5, PPL: -1541.60156
12: good sentence 6, PPL: -6008.43848
13: bad sentence 6, PPL: -3632.27588
14: good sentence 7, PPL: -3367.66187
15: bad sentence 7, PPL: -2091.63525
16: good sentence 8, PPL: -1640.43726
17: bad sentence 8, PPL: -1053.24731
18: good sentence 9, PPL: -7618.97021
19: bad sentence 9, PPL: -5357.05273
20: good sentence 10, PPL: -4950.21289
21: bad sentence 10, PPL: -2967.12549
22: good sentence 11, PPL: -6211.10791
23: bad sentence 11, PPL: -3875.68188
24: good sentence 12, PPL: -2536.67456
25: bad sentence 12, PPL: -1896.41846
26: good sentence 13, PPL: -5560.87842
27: bad sentence 13, PPL: -3440.93164
28: good sentence 14, PPL: -5981.41846
29: bad sentence 14, PPL: -3657.86768
30: good sentence 15, PPL: -4835.03906
31: bad sentence 15, PPL: -3344.57251
32: good sentence 16, PPL: -2471.35498
33: bad sentence 16, PPL: -1998.62061
34: good sentence 17, PPL: -6574.65576
35: bad sentence 17, PPL: -4813.77832
36: good sentence 18, PPL: -2175.91602
37: bad sentence 18, PPL: -1621.65955
38: good sentence 19, PPL: -2259.95508
39: bad sentence 19, PPL: -1565.71765
40: good sentence 20, PPL: -1819.41345
41: bad sentence 20, PPL: -1291.08594
42: good sentence 21, PPL: -6215.96729
43: bad sentence 21, PPL: -4279.07129
44: good sentence 22, PPL: -3213.50366
45: bad sentence 22, PPL: -2128.76685
46: good sentence 23, PPL: -6099.31006
47: bad sentence 23, PPL: -3734.67188
48: good sentence 24, PPL: -3887.51660
49: bad sentence 24, PPL: -2455.83691
50: good sentence 25, PPL: -1036.98340
51: bad sentence 25, PPL: -716.59723
52: good sentence 26, PPL: -7418.75146
53: bad sentence 26, PPL: -4607.11035
54: good sentence 27, PPL: -4344.47168
55: bad sentence 27, PPL: -2777.57129
56: good sentence 28, PPL: -2610.18921
57: bad sentence 28, PPL: -1671.84131
58: good sentence 29, PPL: -9502.01270
59: bad sentence 29, PPL: -6612.85693
60: good sentence 30, PPL: -2176.95068
61: bad sentence 30, PPL: -1152.80237
62: good sentence 31, PPL: -2757.66528
63: bad sentence 31, PPL: -1825.25195
64: good sentence 32, PPL: -7173.84277
65: bad sentence 32, PPL: -4596.61279
66: good sentence 33, PPL: -3119.68848
67: bad sentence 33, PPL: -2202.33569
68: good sentence 34, PPL: -1089.10669
69: bad sentence 34, PPL: -856.07990
70: good sentence 35, PPL: -1747.37317
71: bad sentence 35, PPL: -1131.10413
72: good sentence 36, PPL: -6163.61328
73: bad sentence 36, PPL: -3657.56055
74: good sentence 37, PPL: -3497.83936
75: bad sentence 37, PPL: -2222.28833
76: good sentence 38, PPL: -4423.42480
77: bad sentence 38, PPL: -2857.15186
78: good sentence 39, PPL: -4717.31885
79: bad sentence 39, PPL: -3537.31616
80: good sentence 40, PPL: -1606.73340
81: bad sentence 40, PPL: -1146.05591
82: good sentence 41, PPL: -10362.59863
83: bad sentence 41, PPL: -6129.74316
84: good sentence 42, PPL: -3594.10376
85: bad sentence 42, PPL: -2320.25537
86: good sentence 43, PPL: -5105.00244
87: bad sentence 43, PPL: -2574.75317
88: good sentence 44, PPL: -4190.98340
89: bad sentence 44, PPL: -2415.78296
90: good sentence 45, PPL: -5285.97363
91: bad sentence 45, PPL: -3347.19556
92: good sentence 46, PPL: -8887.91895
93: bad sentence 46, PPL: -5439.76953
94: good sentence 47, PPL: -2654.45996
95: bad sentence 47, PPL: -1738.57178
96: good sentence 48, PPL: -2175.86108
97: bad sentence 48, PPL: -1520.22473
98: good sentence 49, PPL: -4407.25977
99: bad sentence 49, PPL: -2910.70190
100: good sentence 50, PPL: -3805.58325
101: bad sentence 50, PPL: -2752.24365
102: good sentence 51, PPL: -1074.74255
103: bad sentence 51, PPL: -787.58936
104: good sentence 52, PPL: -2278.21997
105: bad sentence 52, PPL: -1512.24133
106: good sentence 53, PPL: -4850.70508
107: bad sentence 53, PPL: -2852.32764
108: good sentence 54, PPL: -7999.47412
109: bad sentence 54, PPL: -5362.44043
110: good sentence 55, PPL: -2595.37305
111: bad sentence 55, PPL: -1667.98413
112: good sentence 56, PPL: -2692.85791
113: bad sentence 56, PPL: -1685.67297
114: good sentence 57, PPL: -8662.04980
115: bad sentence 57, PPL: -4823.83838
116: good sentence 58, PPL: -637.76337
117: bad sentence 58, PPL: -420.86081
118: good sentence 59, PPL: -8365.58301
119: bad sentence 59, PPL: -6617.53223
120: good sentence 60, PPL: -2732.93994
121: bad sentence 60, PPL: -1566.90308
122: good sentence 61, PPL: -2259.74268
123: bad sentence 61, PPL: -1482.94385
124: good sentence 62, PPL: -4184.79688
125: bad sentence 62, PPL: -2953.00537
126: good sentence 63, PPL: -5186.83447
127: bad sentence 63, PPL: -3605.62158
128: good sentence 64, PPL: -1668.38745
129: bad sentence 64, PPL: -1036.47876
130: good sentence 65, PPL: -4886.47949
131: bad sentence 65, PPL: -3361.48828
132: good sentence 66, PPL: -3179.13525
133: bad sentence 66, PPL: -2199.58179
134: good sentence 67, PPL: -9635.20312
135: bad sentence 67, PPL: -6639.67627
136: good sentence 68, PPL: -5025.54541
137: bad sentence 68, PPL: -3189.92261
138: good sentence 69, PPL: -2301.90503
139: bad sentence 69, PPL: -1405.37610
140: good sentence 70, PPL: -3652.80615
141: bad sentence 70, PPL: -2259.45190
142: good sentence 71, PPL: -6393.87549
143: bad sentence 71, PPL: -4567.05713
144: good sentence 72, PPL: -11260.13965
145: bad sentence 72, PPL: -6686.69922
146: good sentence 73, PPL: -7738.62695
147: bad sentence 73, PPL: -4531.99121
148: good sentence 74, PPL: -7752.42480
149: bad sentence 74, PPL: -4714.66992
150: good sentence 75, PPL: -2256.53491
151: bad sentence 75, PPL: -1661.19861
152: good sentence 76, PPL: -2892.32007
153: bad sentence 76, PPL: -1710.47791
154: good sentence 77, PPL: -5838.29199
155: bad sentence 77, PPL: -3645.46313
156: good sentence 78, PPL: -4243.19629
157: bad sentence 78, PPL: -2256.78467
158: good sentence 79, PPL: -2468.46973
159: bad sentence 79, PPL: -1782.89526
160: good sentence 80, PPL: -2177.40869
161: bad sentence 80, PPL: -1327.86487
162: good sentence 81, PPL: -4240.22314
163: bad sentence 81, PPL: -2523.94409
164: good sentence 82, PPL: -7874.83838
165: bad sentence 82, PPL: -4710.30615
166: good sentence 83, PPL: -1371.76575
