Plural
	cl_men_self_female
Model: imone/pangu_2_6B, Accuracy: 0.00000, Average Perplexity (Good Sentences): -8736.17480, Average Perplexity (Bad Sentences): -6218.52881
0: good sentence 0, PPL: -7521.87305
1: bad sentence 0, PPL: -5416.05078
2: good sentence 1, PPL: -6018.27344
3: bad sentence 1, PPL: -4450.36621
4: good sentence 2, PPL: -6312.78271
5: bad sentence 2, PPL: -4631.96191
6: good sentence 3, PPL: -7593.53809
7: bad sentence 3, PPL: -5317.96973
8: good sentence 4, PPL: -9134.18750
9: bad sentence 4, PPL: -6969.38525
10: good sentence 5, PPL: -6247.85303
11: bad sentence 5, PPL: -4271.11279
12: good sentence 6, PPL: -7945.45459
13: bad sentence 6, PPL: -5204.29492
14: good sentence 7, PPL: -11924.36719
15: bad sentence 7, PPL: -8071.86230
16: good sentence 8, PPL: -7500.07617
17: bad sentence 8, PPL: -5049.36914
18: good sentence 9, PPL: -6020.52930
19: bad sentence 9, PPL: -4210.45654
20: good sentence 10, PPL: -8159.27246
21: bad sentence 10, PPL: -5950.30273
22: good sentence 11, PPL: -10759.04004
23: bad sentence 11, PPL: -7340.28271
24: good sentence 12, PPL: -9471.85742
25: bad sentence 12, PPL: -6892.78223
26: good sentence 13, PPL: -11232.33887
27: bad sentence 13, PPL: -7984.92432
28: good sentence 14, PPL: -6845.87012
29: bad sentence 14, PPL: -4542.07275
30: good sentence 15, PPL: -3768.75098
31: bad sentence 15, PPL: -2742.15967
32: good sentence 16, PPL: -5517.71924
33: bad sentence 16, PPL: -3983.04395
34: good sentence 17, PPL: -7060.63623
35: bad sentence 17, PPL: -5342.01807
36: good sentence 18, PPL: -10189.29102
37: bad sentence 18, PPL: -7447.58203
38: good sentence 19, PPL: -4257.52539
39: bad sentence 19, PPL: -3170.55127
40: good sentence 20, PPL: -10526.29785
41: bad sentence 20, PPL: -7425.39062
42: good sentence 21, PPL: -17966.18164
43: bad sentence 21, PPL: -12925.92773
44: good sentence 22, PPL: -3515.45654
45: bad sentence 22, PPL: -2607.81421
46: good sentence 23, PPL: -5482.60645
47: bad sentence 23, PPL: -3710.00000
48: good sentence 24, PPL: -13409.70020
49: bad sentence 24, PPL: -9979.69824
50: good sentence 25, PPL: -12858.50195
51: bad sentence 25, PPL: -8391.59180
52: good sentence 26, PPL: -9301.01172
53: bad sentence 26, PPL: -6873.98828
54: good sentence 27, PPL: -8090.51318
55: bad sentence 27, PPL: -5875.41895
56: good sentence 28, PPL: -6423.55420
57: bad sentence 28, PPL: -5175.27734
58: good sentence 29, PPL: -12849.38184
59: bad sentence 29, PPL: -8395.41797
60: good sentence 30, PPL: -16284.80176
61: bad sentence 30, PPL: -11102.89746
62: good sentence 31, PPL: -11721.09473
63: bad sentence 31, PPL: -8474.12793
64: good sentence 32, PPL: -23195.81641
65: bad sentence 32, PPL: -16543.30078
66: good sentence 33, PPL: -7276.79395
67: bad sentence 33, PPL: -4914.09375
68: good sentence 34, PPL: -2689.06494
69: bad sentence 34, PPL: -1924.09973
70: good sentence 35, PPL: -6826.44238
71: bad sentence 35, PPL: -5072.59912
72: good sentence 36, PPL: -6846.24902
73: bad sentence 36, PPL: -5098.73096
74: good sentence 37, PPL: -8786.10645
75: bad sentence 37, PPL: -5922.69775
76: good sentence 38, PPL: -7211.70752
