Plural
	cl_men_self_male
Model: imone/pangu_2_6B, Accuracy: 0.00000, Average Perplexity (Good Sentences): -7179.96875, Average Perplexity (Bad Sentences): -5550.57812
0: good sentence 0, PPL: -4399.75098
1: bad sentence 0, PPL: -3599.22461
2: good sentence 1, PPL: -6588.92285
3: bad sentence 1, PPL: -5225.55615
4: good sentence 2, PPL: -5654.07031
5: bad sentence 2, PPL: -4561.48535
6: good sentence 3, PPL: -7137.92627
7: bad sentence 3, PPL: -5620.68408
8: good sentence 4, PPL: -6973.62646
9: bad sentence 4, PPL: -5805.58936
10: good sentence 5, PPL: -5272.84277
11: bad sentence 5, PPL: -4330.34570
12: good sentence 6, PPL: -5980.24902
13: bad sentence 6, PPL: -4402.82373
14: good sentence 7, PPL: -8752.40332
15: bad sentence 7, PPL: -6377.53662
16: good sentence 8, PPL: -6652.66992
17: bad sentence 8, PPL: -5082.96729
18: good sentence 9, PPL: -5490.51807
19: bad sentence 9, PPL: -4321.88379
20: good sentence 10, PPL: -6133.17041
21: bad sentence 10, PPL: -4657.56055
22: good sentence 11, PPL: -8301.51074
23: bad sentence 11, PPL: -6183.65527
24: good sentence 12, PPL: -5803.82324
25: bad sentence 12, PPL: -4362.14502
26: good sentence 13, PPL: -7286.30713
27: bad sentence 13, PPL: -5556.03809
28: good sentence 14, PPL: -5843.01562
29: bad sentence 14, PPL: -3964.29297
30: good sentence 15, PPL: -3476.11426
31: bad sentence 15, PPL: -2602.30249
32: good sentence 16, PPL: -5537.68262
33: bad sentence 16, PPL: -4294.48340
34: good sentence 17, PPL: -8603.57227
35: bad sentence 17, PPL: -6345.72119
36: good sentence 18, PPL: -6935.83447
37: bad sentence 18, PPL: -5423.45752
38: good sentence 19, PPL: -4021.00000
39: bad sentence 19, PPL: -3376.15137
40: good sentence 20, PPL: -7541.13721
41: bad sentence 20, PPL: -5748.53369
42: good sentence 21, PPL: -17413.70508
43: bad sentence 21, PPL: -13591.27539
44: good sentence 22, PPL: -2615.31348
45: bad sentence 22, PPL: -2064.26953
46: good sentence 23, PPL: -5552.10791
47: bad sentence 23, PPL: -4259.04834
48: good sentence 24, PPL: -8253.77539
49: bad sentence 24, PPL: -6644.83252
50: good sentence 25, PPL: -7891.61084
51: bad sentence 25, PPL: -6661.28467
52: good sentence 26, PPL: -7431.53320
53: bad sentence 26, PPL: -5595.51562
54: good sentence 27, PPL: -6056.65430
