Plural
	cl_self_female
Model: imone/pangu_2_6B, Accuracy: 0.00000, Average Perplexity (Good Sentences): -9925.17090, Average Perplexity (Bad Sentences): -6718.57666
0: good sentence 0, PPL: -18777.36523
1: bad sentence 0, PPL: -12777.13867
2: good sentence 1, PPL: -8070.45410
3: bad sentence 1, PPL: -5894.62988
4: good sentence 2, PPL: -18292.04297
5: bad sentence 2, PPL: -12016.12598
6: good sentence 3, PPL: -14032.71582
7: bad sentence 3, PPL: -9788.54102
8: good sentence 4, PPL: -6129.72607
9: bad sentence 4, PPL: -4234.66650
10: good sentence 5, PPL: -4344.83643
11: bad sentence 5, PPL: -2860.57886
12: good sentence 6, PPL: -14427.54883
13: bad sentence 6, PPL: -9546.60059
14: good sentence 7, PPL: -16670.81055
15: bad sentence 7, PPL: -11458.84863
16: good sentence 8, PPL: -13602.27148
17: bad sentence 8, PPL: -10827.25293
18: good sentence 9, PPL: -13081.65039
19: bad sentence 9, PPL: -8121.69775
20: good sentence 10, PPL: -10434.68457
21: bad sentence 10, PPL: -6667.91406
22: good sentence 11, PPL: -3706.11035
23: bad sentence 11, PPL: -2479.59204
24: good sentence 12, PPL: -16249.87988
25: bad sentence 12, PPL: -12046.56641
26: good sentence 13, PPL: -7532.16699
27: bad sentence 13, PPL: -5443.77588
28: good sentence 14, PPL: -14421.02832
29: bad sentence 14, PPL: -8777.51367
30: good sentence 15, PPL: -10179.81250
31: bad sentence 15, PPL: -6314.27588
32: good sentence 16, PPL: -9570.64844
33: bad sentence 16, PPL: -6583.90479
34: good sentence 17, PPL: -17585.56641
35: bad sentence 17, PPL: -12771.43848
36: good sentence 18, PPL: -16701.22070
37: bad sentence 18, PPL: -11520.49609
38: good sentence 19, PPL: -9982.53613
39: bad sentence 19, PPL: -6085.15723
40: good sentence 20, PPL: -18073.07227
41: bad sentence 20, PPL: -12593.18750
42: good sentence 21, PPL: -9921.63184
43: bad sentence 21, PPL: -6503.75635
44: good sentence 22, PPL: -9243.49805
45: bad sentence 22, PPL: -6327.88184
46: good sentence 23, PPL: -16520.56836
47: bad sentence 23, PPL: -10352.93848
48: good sentence 24, PPL: -17995.47070
49: bad sentence 24, PPL: -11757.71484
50: good sentence 25, PPL: -6345.88477
51: bad sentence 25, PPL: -4076.11108
52: good sentence 26, PPL: -30142.46289
53: bad sentence 26, PPL: -20916.94141
54: good sentence 27, PPL: -11106.57227
55: bad sentence 27, PPL: -6660.96045
56: good sentence 28, PPL: -16521.24414
57: bad sentence 28, PPL: -11561.32910
58: good sentence 29, PPL: -12481.59766
59: bad sentence 29, PPL: -8646.52539
60: good sentence 30, PPL: -8404.09375
61: bad sentence 30, PPL: -5386.98730
62: good sentence 31, PPL: -12318.77148
63: bad sentence 31, PPL: -7474.02930
64: good sentence 32, PPL: -33263.44141
65: bad sentence 32, PPL: -22579.75195
66: good sentence 33, PPL: -5598.73926
67: bad sentence 33, PPL: -4209.24805
68: good sentence 34, PPL: -23516.15820
69: bad sentence 34, PPL: -14285.91016
70: good sentence 35, PPL: -20738.65234
71: bad sentence 35, PPL: -13740.59082
72: good sentence 36, PPL: -12274.04590
73: bad sentence 36, PPL: -8627.37500
74: good sentence 37, PPL: -14474.98535
75: bad sentence 37, PPL: -9430.66602
76: good sentence 38, PPL: -16642.32812
77: bad sentence 38, PPL: -11814.00391
78: good sentence 39, PPL: -4256.26318
79: bad sentence 39, PPL: -3295.05688
80: good sentence 40, PPL: -16524.22266
81: bad sentence 40, PPL: -11193.37305
82: good sentence 41, PPL: -7957.14746
83: bad sentence 41, PPL: -6107.09229
84: good sentence 42, PPL: -11631.34375
85: bad sentence 42, PPL: -7713.47217
86: good sentence 43, PPL: -10360.34570
87: bad sentence 43, PPL: -6980.45361
88: good sentence 44, PPL: -7751.47852
89: bad sentence 44, PPL: -5039.94434
90: good sentence 45, PPL: -14844.43164
91: bad sentence 45, PPL: -9701.09180
92: good sentence 46, PPL: -11604.07715
93: bad sentence 46, PPL: -7547.90723
