Plural
	cl_self_male
Model: imone/pangu_2_6B, Accuracy: 0.10000, Average Perplexity (Good Sentences): -7987.67334, Average Perplexity (Bad Sentences): -5879.85840
0: good sentence 0, PPL: -11600.62500
1: bad sentence 0, PPL: -8343.21094
2: good sentence 1, PPL: -5539.92725
3: bad sentence 1, PPL: -4107.03857
4: good sentence 2, PPL: -11012.13574
5: bad sentence 2, PPL: -8196.03613
6: good sentence 3, PPL: -12369.56934
7: bad sentence 3, PPL: -9842.98438
8: good sentence 4, PPL: -5137.13330
9: bad sentence 4, PPL: -3932.39990
10: good sentence 5, PPL: -4569.81885
11: bad sentence 5, PPL: -3011.71338
12: good sentence 6, PPL: -12826.92773
13: bad sentence 6, PPL: -9921.41406
14: good sentence 7, PPL: -13334.89258
15: bad sentence 7, PPL: -10372.86230
16: good sentence 8, PPL: -10375.05859
17: bad sentence 8, PPL: -8181.01123
18: good sentence 9, PPL: -10705.43945
19: bad sentence 9, PPL: -7077.17285
20: good sentence 10, PPL: -5773.84082
21: bad sentence 10, PPL: -4037.56934
22: good sentence 11, PPL: -2760.56494
23: bad sentence 11, PPL: -2008.18799
24: good sentence 12, PPL: -12953.37207
25: bad sentence 12, PPL: -10508.20312
26: good sentence 13, PPL: -5281.90723
27: bad sentence 13, PPL: -4215.66797
28: good sentence 14, PPL: -12532.37305
29: bad sentence 14, PPL: -8657.09473
30: good sentence 15, PPL: -9825.51172
31: bad sentence 15, PPL: -6698.15527
32: good sentence 16, PPL: -7834.94873
33: bad sentence 16, PPL: -5721.12793
34: good sentence 17, PPL: -9237.05664
35: bad sentence 17, PPL: -6925.66260
36: good sentence 18, PPL: -12635.99121
37: bad sentence 18, PPL: -9233.50781
38: good sentence 19, PPL: -8092.28027
39: bad sentence 19, PPL: -5117.45215
40: good sentence 20, PPL: -11545.25391
41: bad sentence 20, PPL: -8916.32520
42: good sentence 21, PPL: -8374.34766
43: bad sentence 21, PPL: -6120.25732
44: good sentence 22, PPL: -7287.48877
45: bad sentence 22, PPL: -5347.97656
46: good sentence 23, PPL: -13287.30176
47: bad sentence 23, PPL: -9751.37402
48: good sentence 24, PPL: -13857.00000
49: bad sentence 24, PPL: -9503.27148
50: good sentence 25, PPL: -7258.93896
51: bad sentence 25, PPL: -4927.20996
52: good sentence 26, PPL: -16196.42578
53: bad sentence 26, PPL: -11995.47070
54: good sentence 27, PPL: -8909.33105
55: bad sentence 27, PPL: -6728.10498
56: good sentence 28, PPL: -9762.81055
57: bad sentence 28, PPL: -6959.36279
58: good sentence 29, PPL: -9560.95996
59: bad sentence 29, PPL: -7292.59863
60: good sentence 30, PPL: -6490.79346
61: bad sentence 30, PPL: -4386.61230
62: good sentence 31, PPL: -10652.15625
63: bad sentence 31, PPL: -7398.57959
64: good sentence 32, PPL: -13282.08203
65: bad sentence 32, PPL: -8923.54785
66: good sentence 33, PPL: -5550.32910
67: bad sentence 33, PPL: -4121.72510
68: good sentence 34, PPL: -17906.36523
69: bad sentence 34, PPL: -11379.09082
70: good sentence 35, PPL: -20179.49414
71: bad sentence 35, PPL: -12741.69336
72: good sentence 36, PPL: -10565.06836
73: bad sentence 36, PPL: -8545.61035
74: good sentence 37, PPL: -12650.15820
75: bad sentence 37, PPL: -8592.91211
76: good sentence 38, PPL: -10625.07715
77: bad sentence 38, PPL: -7894.72803
78: good sentence 39, PPL: -3147.22241
79: bad sentence 39, PPL: -2510.07349
80: good sentence 40, PPL: -12346.36426
81: bad sentence 40, PPL: -8753.75488
82: good sentence 41, PPL: -6388.51758
83: bad sentence 41, PPL: -5241.43750
84: good sentence 42, PPL: -8878.47363
85: bad sentence 42, PPL: -6353.36963
86: good sentence 43, PPL: -9711.99512
87: bad sentence 43, PPL: -7036.89307
88: good sentence 44, PPL: -7275.97461
89: bad sentence 44, PPL: -5432.31934
90: good sentence 45, PPL: -6735.97607
91: bad sentence 45, PPL: -4718.44775
92: good sentence 46, PPL: -6403.97461
93: bad sentence 46, PPL: -4573.02344
94: good sentence 47, PPL: -17101.04492
95: bad sentence 47, PPL: -10668.63672
96: good sentence 48, PPL: -11343.42285
97: bad sentence 48, PPL: -8355.68848
98: good sentence 49, PPL: -3364.79199
99: bad sentence 49, PPL: -2550.37085
100: good sentence 50, PPL: -11215.36426
101: bad sentence 50, PPL: -8287.05957
102: good sentence 51, PPL: -4675.33008
103: bad sentence 51, PPL: -3567.59351
104: good sentence 52, PPL: -4589.84473
105: bad sentence 52, PPL: -3541.99146
106: good sentence 53, PPL: -5744.53320
107: bad sentence 53, PPL: -3927.34033
108: good sentence 54, PPL: -2802.35986
109: bad sentence 54, PPL: -1980.81702
110: good sentence 55, PPL: -7131.49609
111: bad sentence 55, PPL: -5425.52686
112: good sentence 56, PPL: -15740.04395
113: bad sentence 56, PPL: -11173.80176
114: good sentence 57, PPL: -12779.02832
115: bad sentence 57, PPL: -10006.76562
116: good sentence 58, PPL: -9356.34766
117: bad sentence 58, PPL: -6856.39648
118: good sentence 59, PPL: -10307.41406
119: bad sentence 59, PPL: -8064.25244
120: good sentence 60, PPL: -4725.75244
121: bad sentence 60, PPL: -3447.29028
122: good sentence 61, PPL: -9251.88477
123: bad sentence 61, PPL: -6635.90967
124: good sentence 62, PPL: -12434.62109
125: bad sentence 62, PPL: -9229.56348
126: good sentence 63, PPL: -10058.59375
127: bad sentence 63, PPL: -7426.46045
128: good sentence 64, PPL: -7185.48291
129: bad sentence 64, PPL: -5250.00732
130: good sentence 65, PPL: -10243.97070
131: bad sentence 65, PPL: -8154.19336
132: good sentence 66, PPL: -10218.29980
133: bad sentence 66, PPL: -7185.64746
134: good sentence 67, PPL: -12413.95605
135: bad sentence 67, PPL: -8115.79834
136: good sentence 68, PPL: -4252.08008
137: bad sentence 68, PPL: -2776.73315
138: good sentence 69, PPL: -9871.51562
139: bad sentence 69, PPL: -7243.97363
140: good sentence 70, PPL: -2141.74121
141: bad sentence 70, PPL: -1579.68115
142: good sentence 71, PPL: -7315.18066
143: bad sentence 71, PPL: -5704.63574
144: good sentence 72, PPL: -8272.27832
145: bad sentence 72, PPL: -5750.08008
146: good sentence 73, PPL: -6603.50488
147: bad sentence 73, PPL: -4778.95996
148: good sentence 74, PPL: -14600.40137
149: bad sentence 74, PPL: -10885.75000
150: good sentence 75, PPL: -11993.60547
151: bad sentence 75, PPL: -8704.67285
152: good sentence 76, PPL: -4143.53955
153: bad sentence 76, PPL: -3017.56982
154: good sentence 77, PPL: -3388.36987
155: bad sentence 77, PPL: -2873.15015
156: good sentence 78, PPL: -14082.80176
157: bad sentence 78, PPL: -9758.73340
158: good sentence 79, PPL: -3461.01367
159: bad sentence 79, PPL: -2385.16895
160: good sentence 80, PPL: -5064.21777
161: bad sentence 80, PPL: -3688.77563
162: good sentence 81, PPL: -7817.22266
163: bad sentence 81, PPL: -5470.43213
164: good sentence 82, PPL: -6637.05518
165: bad sentence 82, PPL: -5251.19922
166: good sentence 83, PPL: -14517.15039
167: bad sentence 83, PPL: -9993.20312
168: good sentence 84, PPL: -4470.67822
169: bad sentence 84, PPL: -3386.51880
170: good sentence 85, PPL: -6899.14893
171: bad sentence 85, PPL: -5090.15576
172: good sentence 86, PPL: -20732.34375
173: bad sentence 86, PPL: -17865.22266
174: good sentence 87, PPL: -4242.36719
175: bad sentence 87, PPL: -2880.91919
176: good sentence 88, PPL: -7569.44629
177: bad sentence 88, PPL: -5025.97217
178: good sentence 89, PPL: -8529.49707
179: bad sentence 89, PPL: -6421.47803
180: good sentence 90, PPL: -6946.55176
181: bad sentence 90, PPL: -5573.06250
182: good sentence 91, PPL: -7080.64258
183: bad sentence 91, PPL: -4560.12402
184: good sentence 92, PPL: -4880.92334
185: bad sentence 92, PPL: -3537.63647
186: good sentence 93, PPL: -5072.25586
187: bad sentence 93, PPL: -3421.38330
188: good sentence 94, PPL: -6340.28955
189: bad sentence 94, PPL: -5084.17432
190: good sentence 95, PPL: -8692.40332
191: bad sentence 95, PPL: -6829.61328
192: good sentence 96, PPL: -11178.27930
193: bad sentence 96, PPL: -7404.52979
194: good sentence 97, PPL: -8068.34570
195: bad sentence 97, PPL: -5172.00586
196: good sentence 98, PPL: -2941.75513
197: bad sentence 98, PPL: -2305.79175
198: good sentence 99, PPL: -3325.29321
199: bad sentence 99, PPL: -2429.34790
200: good sentence 100, PPL: -7186.57227
201: bad sentence 100, PPL: -5310.02881
202: good sentence 101, PPL: -5247.55957
203: bad sentence 101, PPL: -3806.47266
204: good sentence 102, PPL: -7486.65576
205: bad sentence 102, PPL: -5489.66455
206: good sentence 103, PPL: -7042.69385
207: bad sentence 103, PPL: -5145.41504
208: good sentence 104, PPL: -8670.24902
209: bad sentence 104, PPL: -6289.75537
210: good sentence 105, PPL: -11090.40039
211: bad sentence 105, PPL: -8599.29785
212: good sentence 106, PPL: -4217.67480
213: bad sentence 106, PPL: -3070.32910
214: good sentence 107, PPL: -6672.72266
215: bad sentence 107, PPL: -4589.71777
216: good sentence 108, PPL: -5473.25488
217: bad sentence 108, PPL: -3978.33643
218: good sentence 109, PPL: -11012.57715
219: bad sentence 109, PPL: -8177.72754
220: good sentence 110, PPL: -6410.37207
221: bad sentence 110, PPL: -4722.80127
222: good sentence 111, PPL: -4626.65967
223: bad sentence 111, PPL: -3515.82861
224: good sentence 112, PPL: -4575.71094
225: bad sentence 112, PPL: -3817.70264
226: good sentence 113, PPL: -5946.68359
227: bad sentence 113, PPL: -4512.01123
228: good sentence 114, PPL: -3126.38354
229: bad sentence 114, PPL: -2156.78296
230: good sentence 115, PPL: -6283.19629
231: bad sentence 115, PPL: -4557.48926
232: good sentence 116, PPL: -7913.68604
233: bad sentence 116, PPL: -6536.48145
234: good sentence 117, PPL: -11871.26465
235: bad sentence 117, PPL: -8133.88330
236: good sentence 118, PPL: -11920.87598
237: bad sentence 118, PPL: -8306.05566
238: good sentence 119, PPL: -4902.65381
239: bad sentence 119, PPL: -3191.09399
240: good sentence 120, PPL: -9431.68164
241: bad sentence 120, PPL: -6854.76172
242: good sentence 121, PPL: -11207.66602
243: bad sentence 121, PPL: -8263.72266
244: good sentence 122, PPL: -10933.82910
245: bad sentence 122, PPL: -8545.70898
246: good sentence 123, PPL: -7946.43945
247: bad sentence 123, PPL: -5556.05420
248: good sentence 124, PPL: -6710.41895
249: bad sentence 124, PPL: -5042.38672
250: good sentence 125, PPL: -19961.19727
251: bad sentence 125, PPL: -14861.37109
252: good sentence 126, PPL: -9531.89941
253: bad sentence 126, PPL: -6891.48096
254: good sentence 127, PPL: -4960.98877
255: bad sentence 127, PPL: -3529.50171
256: good sentence 128, PPL: -7588.02148
257: bad sentence 128, PPL: -5036.92188
258: good sentence 129, PPL: -4745.56055
259: bad sentence 129, PPL: -3137.06104
260: good sentence 130, PPL: -10346.57227
261: bad sentence 130, PPL: -7384.22119
262: good sentence 131, PPL: -5211.66064
263: bad sentence 131, PPL: -3924.76831
264: good sentence 132, PPL: -8770.32617
265: bad sentence 132, PPL: -6705.77441
266: good sentence 133, PPL: -7937.41162
267: bad sentence 133, PPL: -5885.68750
268: good sentence 134, PPL: -8268.45215
269: bad sentence 134, PPL: -5138.30957
270: good sentence 135, PPL: -6535.50928
271: bad sentence 135, PPL: -5513.00098
272: good sentence 136, PPL: -5381.59570
273: bad sentence 136, PPL: -3920.50366
274: good sentence 137, PPL: -4236.66602
275: bad sentence 137, PPL: -3015.27417
276: good sentence 138, PPL: -6795.01855
277: bad sentence 138, PPL: -4291.14697
278: good sentence 139, PPL: -8352.62109
279: bad sentence 139, PPL: -5157.73633
280: good sentence 140, PPL: -10353.03711
281: bad sentence 140, PPL: -8088.47656
282: good sentence 141, PPL: -5964.50635
283: bad sentence 141, PPL: -4269.89502
284: good sentence 142, PPL: -4742.55664
285: bad sentence 142, PPL: -3570.18359
286: good sentence 143, PPL: -10321.75586
287: bad sentence 143, PPL: -7677.15234
288: good sentence 144, PPL: -8222.24023
289: bad sentence 144, PPL: -5822.24512
290: good sentence 145, PPL: -9050.46875
291: bad sentence 145, PPL: -7087.95996
292: good sentence 146, PPL: -11864.15723
293: bad sentence 146, PPL: -8470.28223
294: good sentence 147, PPL: -5871.59326
295: bad sentence 147, PPL: -4057.59912
296: good sentence 148, PPL: -6623.78906
297: bad sentence 148, PPL: -5212.51562
298: good sentence 149, PPL: -5689.11426
299: bad sentence 149, PPL: -3983.97827
300: good sentence 150, PPL: -8333.12793
301: bad sentence 150, PPL: -6000.54736
302: good sentence 151, PPL: -10041.49609
303: bad sentence 151, PPL: -7544.05029
304: good sentence 152, PPL: -8778.09961
305: bad sentence 152, PPL: -6420.82910
306: good sentence 153, PPL: -7186.11328
307: bad sentence 153, PPL: -5781.05859
308: good sentence 154, PPL: -6455.21777
