Plural
	menself_female
Model: imone/pangu_2_6B, Accuracy: 0.00000, Average Perplexity (Good Sentences): -3868.41138, Average Perplexity (Bad Sentences): -2592.82471
0: good sentence 0, PPL: -6926.22998
1: bad sentence 0, PPL: -3996.86011
2: good sentence 1, PPL: -3764.70996
3: bad sentence 1, PPL: -2360.10938
4: good sentence 2, PPL: -4173.58545
5: bad sentence 2, PPL: -2677.35034
6: good sentence 3, PPL: -11701.60449
7: bad sentence 3, PPL: -7651.76660
8: good sentence 4, PPL: -4875.97314
9: bad sentence 4, PPL: -3560.56079
10: good sentence 5, PPL: -1682.47705
11: bad sentence 5, PPL: -1032.03137
12: good sentence 6, PPL: -4210.78613
13: bad sentence 6, PPL: -2464.48730
14: good sentence 7, PPL: -2041.25439
15: bad sentence 7, PPL: -1315.51050
16: good sentence 8, PPL: -2656.83154
17: bad sentence 8, PPL: -1691.27588
18: good sentence 9, PPL: -5195.90430
19: bad sentence 9, PPL: -3684.94653
20: good sentence 10, PPL: -2936.27686
21: bad sentence 10, PPL: -1897.63782
22: good sentence 11, PPL: -4298.35547
23: bad sentence 11, PPL: -2850.61572
24: good sentence 12, PPL: -2155.38574
25: bad sentence 12, PPL: -1503.20581
26: good sentence 13, PPL: -5334.37158
27: bad sentence 13, PPL: -3522.97095
28: good sentence 14, PPL: -2481.37695
29: bad sentence 14, PPL: -1613.40588
30: good sentence 15, PPL: -4111.69043
31: bad sentence 15, PPL: -2557.35864
32: good sentence 16, PPL: -3903.65137
33: bad sentence 16, PPL: -3039.00439
34: good sentence 17, PPL: -3611.29639
35: bad sentence 17, PPL: -2737.12476
36: good sentence 18, PPL: -2095.22974
37: bad sentence 18, PPL: -1513.77881
38: good sentence 19, PPL: -2939.94312
39: bad sentence 19, PPL: -2110.50024
40: good sentence 20, PPL: -1635.25220
41: bad sentence 20, PPL: -1200.08191
42: good sentence 21, PPL: -3907.75586
43: bad sentence 21, PPL: -3110.44629
44: good sentence 22, PPL: -3635.57837
45: bad sentence 22, PPL: -2333.32764
46: good sentence 23, PPL: -4431.38818
47: bad sentence 23, PPL: -2793.24268
48: good sentence 24, PPL: -3459.76636
49: bad sentence 24, PPL: -2497.74707
50: good sentence 25, PPL: -954.56580
51: bad sentence 25, PPL: -677.49402
52: good sentence 26, PPL: -5633.28955
53: bad sentence 26, PPL: -3549.95874
54: good sentence 27, PPL: -2913.97681
55: bad sentence 27, PPL: -1843.34155
56: good sentence 28, PPL: -2940.30640
57: bad sentence 28, PPL: -1897.03345
58: good sentence 29, PPL: -13010.08691
59: bad sentence 29, PPL: -8349.21973
60: good sentence 30, PPL: -2153.36719
61: bad sentence 30, PPL: -1334.93848
62: good sentence 31, PPL: -2906.43726
63: bad sentence 31, PPL: -2161.84375
64: good sentence 32, PPL: -8319.24023
65: bad sentence 32, PPL: -5117.93018
66: good sentence 33, PPL: -3382.44556
67: bad sentence 33, PPL: -2313.06396
68: good sentence 34, PPL: -1091.66162
69: bad sentence 34, PPL: -781.91388
