Plural
	menself_male
Model: imone/pangu_2_6B, Accuracy: 0.00000, Average Perplexity (Good Sentences): -4845.91016, Average Perplexity (Bad Sentences): -3365.49170
0: good sentence 0, PPL: -8733.67578
1: bad sentence 0, PPL: -5067.88965
2: good sentence 1, PPL: -6218.00098
3: bad sentence 1, PPL: -3869.74316
4: good sentence 2, PPL: -5545.48291
5: bad sentence 2, PPL: -3705.77466
6: good sentence 3, PPL: -12701.87402
7: bad sentence 3, PPL: -8830.54395
8: good sentence 4, PPL: -5383.55127
9: bad sentence 4, PPL: -3747.04419
10: good sentence 5, PPL: -2724.28882
11: bad sentence 5, PPL: -1762.55408
12: good sentence 6, PPL: -5783.31934
13: bad sentence 6, PPL: -3768.97412
14: good sentence 7, PPL: -3606.16846
15: bad sentence 7, PPL: -2435.55127
16: good sentence 8, PPL: -1835.62793
17: bad sentence 8, PPL: -1236.37720
18: good sentence 9, PPL: -7165.28223
19: bad sentence 9, PPL: -5136.77588
20: good sentence 10, PPL: -4772.66113
21: bad sentence 10, PPL: -3001.71484
22: good sentence 11, PPL: -6344.43262
23: bad sentence 11, PPL: -4286.11621
24: good sentence 12, PPL: -3024.66895
25: bad sentence 12, PPL: -2282.62158
26: good sentence 13, PPL: -5777.42090
27: bad sentence 13, PPL: -3877.14600
28: good sentence 14, PPL: -5896.72217
29: bad sentence 14, PPL: -3894.18066
30: good sentence 15, PPL: -5053.72412
31: bad sentence 15, PPL: -3660.46045
32: good sentence 16, PPL: -3016.30396
33: bad sentence 16, PPL: -2474.45410
34: good sentence 17, PPL: -6258.96875
35: bad sentence 17, PPL: -4794.33887
36: good sentence 18, PPL: -2524.09570
37: bad sentence 18, PPL: -1914.77502
38: good sentence 19, PPL: -2482.70825
39: bad sentence 19, PPL: -1823.26953
40: good sentence 20, PPL: -2332.18188
41: bad sentence 20, PPL: -1714.16284
42: good sentence 21, PPL: -6441.62695
43: bad sentence 21, PPL: -5012.54541
44: good sentence 22, PPL: -3559.17578
45: bad sentence 22, PPL: -2460.46826
46: good sentence 23, PPL: -6381.24170
47: bad sentence 23, PPL: -4031.90137
48: good sentence 24, PPL: -4309.42090
49: bad sentence 24, PPL: -2920.92261
50: good sentence 25, PPL: -1370.64575
51: bad sentence 25, PPL: -1014.55066
52: good sentence 26, PPL: -7491.36230
53: bad sentence 26, PPL: -5003.95752
54: good sentence 27, PPL: -4548.12793
55: bad sentence 27, PPL: -2968.23071
56: good sentence 28, PPL: -2810.81104
57: bad sentence 28, PPL: -1883.30835
58: good sentence 29, PPL: -9558.89941
59: bad sentence 29, PPL: -6707.14941
60: good sentence 30, PPL: -2921.32935
61: bad sentence 30, PPL: -1722.51050
62: good sentence 31, PPL: -3140.96777
63: bad sentence 31, PPL: -2195.39355
64: good sentence 32, PPL: -7553.80518
65: bad sentence 32, PPL: -5081.55664
66: good sentence 33, PPL: -3234.57764
67: bad sentence 33, PPL: -2367.23047
68: good sentence 34, PPL: -1314.91541
69: bad sentence 34, PPL: -1059.86572
70: good sentence 35, PPL: -2024.78394
71: bad sentence 35, PPL: -1364.62976
72: good sentence 36, PPL: -5980.79688
73: bad sentence 36, PPL: -3840.55151
74: good sentence 37, PPL: -3735.97559
75: bad sentence 37, PPL: -2524.24365
76: good sentence 38, PPL: -4357.79199
77: bad sentence 38, PPL: -3056.44653
78: good sentence 39, PPL: -5242.64795
79: bad sentence 39, PPL: -3916.81152
80: good sentence 40, PPL: -1904.89673
81: bad sentence 40, PPL: -1409.38989
82: good sentence 41, PPL: -10090.87695
83: bad sentence 41, PPL: -6514.59473
84: good sentence 42, PPL: -4153.90576
85: bad sentence 42, PPL: -2941.85034
86: good sentence 43, PPL: -6068.68604
87: bad sentence 43, PPL: -3442.14575
88: good sentence 44, PPL: -4267.51367
89: bad sentence 44, PPL: -2578.85229
90: good sentence 45, PPL: -5403.19482
91: bad sentence 45, PPL: -3688.63159
92: good sentence 46, PPL: -8339.02637
93: bad sentence 46, PPL: -5460.75293
94: good sentence 47, PPL: -3096.13989
95: bad sentence 47, PPL: -2151.62427
96: good sentence 48, PPL: -2513.65820
97: bad sentence 48, PPL: -1809.60181
98: good sentence 49, PPL: -4935.76953
99: bad sentence 49, PPL: -3429.01074
100: good sentence 50, PPL: -4211.40869
101: bad sentence 50, PPL: -3205.25806
102: good sentence 51, PPL: -1379.29358
103: bad sentence 51, PPL: -1032.79492
104: good sentence 52, PPL: -2409.69800
105: bad sentence 52, PPL: -1736.79858
106: good sentence 53, PPL: -5372.52979
107: bad sentence 53, PPL: -3393.67041
108: good sentence 54, PPL: -8266.53711
109: bad sentence 54, PPL: -5762.87158
110: good sentence 55, PPL: -2951.10522
111: bad sentence 55, PPL: -1999.93054
112: good sentence 56, PPL: -2923.49927
113: bad sentence 56, PPL: -1978.10632
114: good sentence 57, PPL: -8345.22461
115: bad sentence 57, PPL: -5545.29248
116: good sentence 58, PPL: -825.82153
117: bad sentence 58, PPL: -571.53961
118: good sentence 59, PPL: -7943.22656
119: bad sentence 59, PPL: -6554.77197
120: good sentence 60, PPL: -3334.78223
121: bad sentence 60, PPL: -2138.67871
122: good sentence 61, PPL: -2595.17725
123: bad sentence 61, PPL: -1818.91296
124: good sentence 62, PPL: -4115.60156
125: bad sentence 62, PPL: -3148.51318
126: good sentence 63, PPL: -5161.97803
127: bad sentence 63, PPL: -3873.66821
128: good sentence 64, PPL: -1983.21106
129: bad sentence 64, PPL: -1335.34729
130: good sentence 65, PPL: -4550.23682
131: bad sentence 65, PPL: -3313.19116
132: good sentence 66, PPL: -3397.21948
133: bad sentence 66, PPL: -2483.23853
134: good sentence 67, PPL: -8635.13672
135: bad sentence 67, PPL: -6145.16650
136: good sentence 68, PPL: -4852.91699
137: bad sentence 68, PPL: -3232.90601
138: good sentence 69, PPL: -2609.50098
139: bad sentence 69, PPL: -1730.29309
140: good sentence 70, PPL: -3938.35986
141: bad sentence 70, PPL: -2580.78589
