Anaphor
	baseline_female
Model: imone/pangu_2_6B, Accuracy: 95.90000, Average Perplexity (Good Sentences): -3014.94629, Average Perplexity (Bad Sentences): -3456.86743
0: good sentence 0, PPL: -1973.91614
1: bad sentence 0, PPL: -2354.57471
2: good sentence 1, PPL: -651.47559
3: bad sentence 1, PPL: -727.24609
4: good sentence 2, PPL: -4656.68994
5: bad sentence 2, PPL: -5156.93945
6: good sentence 3, PPL: -11620.02441
7: bad sentence 3, PPL: -13844.45020
8: good sentence 4, PPL: -4778.99170
9: bad sentence 4, PPL: -5887.88281
10: good sentence 5, PPL: -5872.11377
11: bad sentence 5, PPL: -7108.21289
12: good sentence 6, PPL: -1380.80261
13: bad sentence 6, PPL: -1556.31140
14: good sentence 7, PPL: -10467.77539
15: bad sentence 7, PPL: -12041.30566
16: good sentence 8, PPL: -2128.43896
17: bad sentence 8, PPL: -2272.07300
18: good sentence 9, PPL: -4590.59375
19: bad sentence 9, PPL: -4895.08057
20: good sentence 10, PPL: -9184.67676
21: bad sentence 10, PPL: -9923.09863
22: good sentence 11, PPL: -6816.57324
23: bad sentence 11, PPL: -8752.21875
24: good sentence 12, PPL: -11698.11230
25: bad sentence 12, PPL: -12988.21875
26: good sentence 13, PPL: -4066.74170
27: bad sentence 13, PPL: -4716.48193
28: good sentence 14, PPL: -6326.02930
29: bad sentence 14, PPL: -7127.10400
30: good sentence 15, PPL: -16027.31543
31: bad sentence 15, PPL: -17712.66016
32: good sentence 16, PPL: -4130.18506
33: bad sentence 16, PPL: -4712.25586
34: good sentence 17, PPL: -7964.48096
35: bad sentence 17, PPL: -8491.51367
36: good sentence 18, PPL: -896.49689
37: bad sentence 18, PPL: -1068.73938
38: good sentence 19, PPL: -2446.64404
39: bad sentence 19, PPL: -2863.80518
40: good sentence 20, PPL: -6437.99707
41: bad sentence 20, PPL: -7561.77686
42: good sentence 21, PPL: -5116.51514
43: bad sentence 21, PPL: -6274.80127
44: good sentence 22, PPL: -795.48065
45: bad sentence 22, PPL: -904.28723
46: good sentence 23, PPL: -4665.01123
47: bad sentence 23, PPL: -4092.05298
48: good sentence 24, PPL: -1502.31006
49: bad sentence 24, PPL: -1756.12463
