Anaphor
	pp_female
Model: imone/pangu_2_6B, Accuracy: 98.60000, Average Perplexity (Good Sentences): -1794.27417, Average Perplexity (Bad Sentences): -1900.94336
0: good sentence 0, PPL: -1616.42139
1: bad sentence 0, PPL: -1640.00000
2: good sentence 1, PPL: -1645.58374
3: bad sentence 1, PPL: -1783.33655
4: good sentence 2, PPL: -1990.54028
5: bad sentence 2, PPL: -1989.78101
6: good sentence 3, PPL: -2976.82178
7: bad sentence 3, PPL: -3275.35034
8: good sentence 4, PPL: -2998.27002
9: bad sentence 4, PPL: -3135.07202
10: good sentence 5, PPL: -693.68201
11: bad sentence 5, PPL: -767.62329
12: good sentence 6, PPL: -1247.78308
13: bad sentence 6, PPL: -1360.43518
14: good sentence 7, PPL: -1796.07520
15: bad sentence 7, PPL: -1876.51892
16: good sentence 8, PPL: -1282.60413
17: bad sentence 8, PPL: -1342.14954
18: good sentence 9, PPL: -1862.91040
19: bad sentence 9, PPL: -2018.23596
20: good sentence 10, PPL: -1173.57117
21: bad sentence 10, PPL: -1238.63611
22: good sentence 11, PPL: -1909.61694
23: bad sentence 11, PPL: -2026.00000
24: good sentence 12, PPL: -3148.57910
25: bad sentence 12, PPL: -3450.16162
26: good sentence 13, PPL: -2920.07178
27: bad sentence 13, PPL: -3164.87500
28: good sentence 14, PPL: -2362.57300
29: bad sentence 14, PPL: -2520.11743
30: good sentence 15, PPL: -1210.92188
31: bad sentence 15, PPL: -1229.01099
32: good sentence 16, PPL: -1266.03809
33: bad sentence 16, PPL: -1321.05676
34: good sentence 17, PPL: -2269.31836
35: bad sentence 17, PPL: -2370.39087
36: good sentence 18, PPL: -670.32739
37: bad sentence 18, PPL: -735.82428
38: good sentence 19, PPL: -2039.59448
39: bad sentence 19, PPL: -2203.84009
40: good sentence 20, PPL: -1093.75574
41: bad sentence 20, PPL: -1136.61902
42: good sentence 21, PPL: -2745.81274
43: bad sentence 21, PPL: -2887.56348
44: good sentence 22, PPL: -1627.86841
45: bad sentence 22, PPL: -1685.09436
46: good sentence 23, PPL: -4379.72754
47: bad sentence 23, PPL: -4695.93066
48: good sentence 24, PPL: -2483.70068
49: bad sentence 24, PPL: -2619.28223
50: good sentence 25, PPL: -2980.60400
51: bad sentence 25, PPL: -3079.96021
52: good sentence 26, PPL: -2535.41553
