Anaphor
	pp_male
Model: imone/pangu_2_6B, Accuracy: 99.90000, Average Perplexity (Good Sentences): -1884.01257, Average Perplexity (Bad Sentences): -2049.03833
0: good sentence 0, PPL: -2100.12402
1: bad sentence 0, PPL: -2231.26782
2: good sentence 1, PPL: -1391.03186
3: bad sentence 1, PPL: -1433.09338
4: good sentence 2, PPL: -1886.62134
5: bad sentence 2, PPL: -2139.20801
6: good sentence 3, PPL: -3052.81104
7: bad sentence 3, PPL: -3153.43237
8: good sentence 4, PPL: -3425.17700
9: bad sentence 4, PPL: -3602.87524
10: good sentence 5, PPL: -967.15442
11: bad sentence 5, PPL: -1055.34167
12: good sentence 6, PPL: -1373.33252
13: bad sentence 6, PPL: -1458.40210
14: good sentence 7, PPL: -2370.29932
15: bad sentence 7, PPL: -2706.80933
16: good sentence 8, PPL: -1230.05334
17: bad sentence 8, PPL: -1275.68848
18: good sentence 9, PPL: -2029.01721
19: bad sentence 9, PPL: -2245.88086
20: good sentence 10, PPL: -1329.03748
21: bad sentence 10, PPL: -1523.57300
22: good sentence 11, PPL: -1568.22607
23: bad sentence 11, PPL: -1716.45776
24: good sentence 12, PPL: -4604.50146
25: bad sentence 12, PPL: -4903.82715
26: good sentence 13, PPL: -2946.76978
27: bad sentence 13, PPL: -3209.55273
28: good sentence 14, PPL: -2669.98901
29: bad sentence 14, PPL: -2825.71582
30: good sentence 15, PPL: -1122.88049
31: bad sentence 15, PPL: -1226.99780
32: good sentence 16, PPL: -1251.09973
33: bad sentence 16, PPL: -1365.38208
34: good sentence 17, PPL: -2333.92505
35: bad sentence 17, PPL: -2636.56079
36: good sentence 18, PPL: -896.46570
37: bad sentence 18, PPL: -998.92633
38: good sentence 19, PPL: -1995.58472
39: bad sentence 19, PPL: -2060.15405
40: good sentence 20, PPL: -1272.30176
41: bad sentence 20, PPL: -1365.94421
42: good sentence 21, PPL: -3807.26050
43: bad sentence 21, PPL: -4163.48340
44: good sentence 22, PPL: -1958.27478
45: bad sentence 22, PPL: -2115.52490
46: good sentence 23, PPL: -4898.20459
47: bad sentence 23, PPL: -5341.25928
48: good sentence 24, PPL: -2486.36450
49: bad sentence 24, PPL: -2815.48462
50: good sentence 25, PPL: -1919.12500
51: bad sentence 25, PPL: -2089.37842
52: good sentence 26, PPL: -2332.22852
53: bad sentence 26, PPL: -2558.15747
54: good sentence 27, PPL: -1311.02820
55: bad sentence 27, PPL: -1491.57239
56: good sentence 28, PPL: -1489.79968
57: bad sentence 28, PPL: -1600.24963
58: good sentence 29, PPL: -1249.27258
59: bad sentence 29, PPL: -1360.75964
60: good sentence 30, PPL: -2231.79248
61: bad sentence 30, PPL: -2324.80151
62: good sentence 31, PPL: -3764.49805
63: bad sentence 31, PPL: -4081.12476
64: good sentence 32, PPL: -1696.88696
65: bad sentence 32, PPL: -1835.97205
66: good sentence 33, PPL: -1613.99146
67: bad sentence 33, PPL: -1784.84583
68: good sentence 34, PPL: -1486.78149
69: bad sentence 34, PPL: -1617.00269
70: good sentence 35, PPL: -2700.88770
71: bad sentence 35, PPL: -2893.60596
72: good sentence 36, PPL: -987.72363
73: bad sentence 36, PPL: -1063.36633
74: good sentence 37, PPL: -3332.73779
75: bad sentence 37, PPL: -3513.17725
76: good sentence 38, PPL: -3812.49951
77: bad sentence 38, PPL: -4042.91748
78: good sentence 39, PPL: -2379.60010
79: bad sentence 39, PPL: -2614.08276
80: good sentence 40, PPL: -2479.06470
81: bad sentence 40, PPL: -2761.59717
82: good sentence 41, PPL: -889.39728
83: bad sentence 41, PPL: -996.50055
84: good sentence 42, PPL: -2214.67285
85: bad sentence 42, PPL: -2480.72827
86: good sentence 43, PPL: -1560.55078
87: bad sentence 43, PPL: -1644.93799
88: good sentence 44, PPL: -1685.32422
89: bad sentence 44, PPL: -1877.90369
90: good sentence 45, PPL: -4020.10669
91: bad sentence 45, PPL: -4302.36230
92: good sentence 46, PPL: -1619.23645
93: bad sentence 46, PPL: -1739.57019
94: good sentence 47, PPL: -2251.52515
95: bad sentence 47, PPL: -2477.87207
96: good sentence 48, PPL: -2856.32495
97: bad sentence 48, PPL: -3061.91357
