Anaphor
	self_female
Model: imone/pangu_2_6B, Accuracy: 97.30000, Average Perplexity (Good Sentences): -3130.28589, Average Perplexity (Bad Sentences): -3642.93628
0: good sentence 0, PPL: -2231.26587
1: bad sentence 0, PPL: -3020.51514
2: good sentence 1, PPL: -884.43060
3: bad sentence 1, PPL: -1001.16284
4: good sentence 2, PPL: -4976.55469
5: bad sentence 2, PPL: -5526.61426
6: good sentence 3, PPL: -10201.70801
7: bad sentence 3, PPL: -12156.56250
8: good sentence 4, PPL: -4433.86133
9: bad sentence 4, PPL: -5268.72119
10: good sentence 5, PPL: -6006.64502
11: bad sentence 5, PPL: -7173.67871
12: good sentence 6, PPL: -1589.81152
13: bad sentence 6, PPL: -1878.83801
14: good sentence 7, PPL: -8417.81836
15: bad sentence 7, PPL: -9379.35254
16: good sentence 8, PPL: -2437.28467
17: bad sentence 8, PPL: -2627.32520
18: good sentence 9, PPL: -4654.55420
19: bad sentence 9, PPL: -5286.51318
20: good sentence 10, PPL: -8245.36523
21: bad sentence 10, PPL: -9548.12988
22: good sentence 11, PPL: -6475.67627
23: bad sentence 11, PPL: -7885.90088
24: good sentence 12, PPL: -9578.16309
25: bad sentence 12, PPL: -10873.22656
26: good sentence 13, PPL: -4696.40967
27: bad sentence 13, PPL: -5463.67529
28: good sentence 14, PPL: -6412.27979
29: bad sentence 14, PPL: -7162.67969
30: good sentence 15, PPL: -11786.86035
31: bad sentence 15, PPL: -12327.24512
32: good sentence 16, PPL: -4132.50195
33: bad sentence 16, PPL: -4873.54639
34: good sentence 17, PPL: -8167.97705
35: bad sentence 17, PPL: -8910.18066
36: good sentence 18, PPL: -1212.33228
37: bad sentence 18, PPL: -1527.72119
38: good sentence 19, PPL: -2515.05884
39: bad sentence 19, PPL: -3104.93970
40: good sentence 20, PPL: -5197.94629
41: bad sentence 20, PPL: -6459.29492
42: good sentence 21, PPL: -3930.46899
43: bad sentence 21, PPL: -5197.81738
44: good sentence 22, PPL: -978.98291
45: bad sentence 22, PPL: -1117.64880
46: good sentence 23, PPL: -5100.74463
47: bad sentence 23, PPL: -4774.50439
48: good sentence 24, PPL: -1560.64905
49: bad sentence 24, PPL: -2016.88428
50: good sentence 25, PPL: -5888.82031
51: bad sentence 25, PPL: -7083.62842
52: good sentence 26, PPL: -1359.51184
53: bad sentence 26, PPL: -1369.69128
54: good sentence 27, PPL: -3978.70850
55: bad sentence 27, PPL: -4586.66357
56: good sentence 28, PPL: -3284.64062
57: bad sentence 28, PPL: -4120.02344
58: good sentence 29, PPL: -4298.80225
59: bad sentence 29, PPL: -4413.47217
60: good sentence 30, PPL: -2419.40259
61: bad sentence 30, PPL: -2882.41675
62: good sentence 31, PPL: -5344.94287
63: bad sentence 31, PPL: -6749.81445
64: good sentence 32, PPL: -2266.73169
65: bad sentence 32, PPL: -3068.67529
66: good sentence 33, PPL: -1112.79309
67: bad sentence 33, PPL: -1484.13794
68: good sentence 34, PPL: -3254.87671
69: bad sentence 34, PPL: -4169.94873
70: good sentence 35, PPL: -6290.44531
71: bad sentence 35, PPL: -7077.01074
72: good sentence 36, PPL: -7177.97607
73: bad sentence 36, PPL: -7698.48730
74: good sentence 37, PPL: -7111.39307
75: bad sentence 37, PPL: -8626.59277
76: good sentence 38, PPL: -2514.90869
77: bad sentence 38, PPL: -2913.70996
