Aspect
	temporal_guo
Model: imone/pangu_2_6B, Accuracy: 72.40000, Average Perplexity (Good Sentences): -7275.37793, Average Perplexity (Bad Sentences): -11120.07520
0: good sentence 0, PPL: -6064.13330
1: bad sentence 0, PPL: -2740.16382
2: good sentence 1, PPL: -19019.69922
3: bad sentence 1, PPL: -23652.29883
4: good sentence 2, PPL: -9933.71289
5: bad sentence 2, PPL: -16465.04492
6: good sentence 3, PPL: -12927.61719
7: bad sentence 3, PPL: -14890.82520
8: good sentence 4, PPL: -12021.81055
9: bad sentence 4, PPL: -15994.56250
10: good sentence 5, PPL: -15935.99023
11: bad sentence 5, PPL: -33395.67188
12: good sentence 6, PPL: -14132.87793
13: bad sentence 6, PPL: -12869.02734
14: good sentence 7, PPL: -8949.66992
15: bad sentence 7, PPL: -20218.00000
16: good sentence 8, PPL: -9551.70117
17: bad sentence 8, PPL: -6494.87402
18: good sentence 9, PPL: -15768.44043
19: bad sentence 9, PPL: -32830.89062
20: good sentence 10, PPL: -583.00317
21: bad sentence 10, PPL: -1950.26355
22: good sentence 11, PPL: -7333.81055
23: bad sentence 11, PPL: -26001.48047
24: good sentence 12, PPL: -18952.54102
25: bad sentence 12, PPL: -23050.91406
26: good sentence 13, PPL: -3958.33545
27: bad sentence 13, PPL: -8749.13184
28: good sentence 14, PPL: -12025.45703
29: bad sentence 14, PPL: -14664.15820
30: good sentence 15, PPL: -4101.94971
31: bad sentence 15, PPL: -6167.17725
32: good sentence 16, PPL: -4534.27783
33: bad sentence 16, PPL: -4419.89990
34: good sentence 17, PPL: -10504.49707
35: bad sentence 17, PPL: -17210.66211
36: good sentence 18, PPL: -29582.12891
37: bad sentence 18, PPL: -33522.51172
38: good sentence 19, PPL: -8644.17480
39: bad sentence 19, PPL: -12254.45410
40: good sentence 20, PPL: -14390.24023
41: bad sentence 20, PPL: -10182.71484
42: good sentence 21, PPL: -16044.04492
43: bad sentence 21, PPL: -63938.73047
44: good sentence 22, PPL: -833.39105
45: bad sentence 22, PPL: -2338.05859
46: good sentence 23, PPL: -1254.73108
