Aspect
	zai_guo
Model: imone/pangu_2_6B, Accuracy: 65.40000, Average Perplexity (Good Sentences): -2743.79443, Average Perplexity (Bad Sentences): -3054.87573
0: good sentence 0, PPL: -3218.72095
1: bad sentence 0, PPL: -5828.32861
2: good sentence 1, PPL: -3917.47632
3: bad sentence 1, PPL: -5328.21436
4: good sentence 2, PPL: -392.41037
5: bad sentence 2, PPL: -518.03528
6: good sentence 3, PPL: -3431.38257
7: bad sentence 3, PPL: -4064.08594
8: good sentence 4, PPL: -2487.69482
9: bad sentence 4, PPL: -3076.22314
10: good sentence 5, PPL: -6663.67334
11: bad sentence 5, PPL: -8327.75684
12: good sentence 6, PPL: -2030.16003
13: bad sentence 6, PPL: -2269.87061
14: good sentence 7, PPL: -1788.48181
15: bad sentence 7, PPL: -2172.75903
16: good sentence 8, PPL: -6882.44385
17: bad sentence 8, PPL: -6218.40430
18: good sentence 9, PPL: -602.97369
19: bad sentence 9, PPL: -471.61511
20: good sentence 10, PPL: -959.00037
21: bad sentence 10, PPL: -1155.11401
22: good sentence 11, PPL: -11694.04102
23: bad sentence 11, PPL: -9769.60938
24: good sentence 12, PPL: -661.44244
25: bad sentence 12, PPL: -847.81622
26: good sentence 13, PPL: -9922.27539
27: bad sentence 13, PPL: -11578.82812
28: good sentence 14, PPL: -5618.87793
29: bad sentence 14, PPL: -11775.82617
30: good sentence 15, PPL: -8045.04150
31: bad sentence 15, PPL: -6709.11963
32: good sentence 16, PPL: -2318.29248
33: bad sentence 16, PPL: -2782.53979
34: good sentence 17, PPL: -293.12823
35: bad sentence 17, PPL: -511.01709
36: good sentence 18, PPL: -1325.14697
37: bad sentence 18, PPL: -1855.18225
38: good sentence 19, PPL: -1378.14514
39: bad sentence 19, PPL: -1393.41174
40: good sentence 20, PPL: -1262.94189
41: bad sentence 20, PPL: -1733.10388
42: good sentence 21, PPL: -2011.18555
43: bad sentence 21, PPL: -2549.28394
44: good sentence 22, PPL: -4829.84521
45: bad sentence 22, PPL: -6895.78760
46: good sentence 23, PPL: -4701.62598
47: bad sentence 23, PPL: -6008.17480
48: good sentence 24, PPL: -6543.21777
49: bad sentence 24, PPL: -8731.28613
50: good sentence 25, PPL: -1253.05090
51: bad sentence 25, PPL: -1166.57361
52: good sentence 26, PPL: -1099.76208
53: bad sentence 26, PPL: -1329.58191
