Classifier-Noun
	cl_comp_noun
Model: imone/pangu_2_6B, Accuracy: 53.80000, Average Perplexity (Good Sentences): -1781.97473, Average Perplexity (Bad Sentences): -1830.49548
0: good sentence 0, PPL: -4278.77734
1: bad sentence 0, PPL: -6417.33936
2: good sentence 1, PPL: -3596.83325
3: bad sentence 1, PPL: -3848.02710
4: good sentence 2, PPL: -2311.11719
5: bad sentence 2, PPL: -1408.68176
6: good sentence 3, PPL: -2560.16235
7: bad sentence 3, PPL: -2820.09180
8: good sentence 4, PPL: -1242.80408
9: bad sentence 4, PPL: -754.85229
10: good sentence 5, PPL: -1242.38452
11: bad sentence 5, PPL: -1593.32764
12: good sentence 6, PPL: -2252.92676
13: bad sentence 6, PPL: -2806.92285
14: good sentence 7, PPL: -1321.10156
15: bad sentence 7, PPL: -1309.74414
16: good sentence 8, PPL: -1335.80835
17: bad sentence 8, PPL: -2232.85791
18: good sentence 9, PPL: -2560.99756
19: bad sentence 9, PPL: -3679.07568
20: good sentence 10, PPL: -2404.12695
21: bad sentence 10, PPL: -3644.54883
22: good sentence 11, PPL: -2950.51978
23: bad sentence 11, PPL: -2563.02441
24: good sentence 12, PPL: -780.06152
25: bad sentence 12, PPL: -1054.45288
26: good sentence 13, PPL: -1073.04456
27: bad sentence 13, PPL: -911.66821
28: good sentence 14, PPL: -795.09607
29: bad sentence 14, PPL: -1241.50452
30: good sentence 15, PPL: -1471.97900
31: bad sentence 15, PPL: -933.92975
32: good sentence 16, PPL: -1153.74438
33: bad sentence 16, PPL: -1274.25378
34: good sentence 17, PPL: -1029.05701
35: bad sentence 17, PPL: -763.31439
36: good sentence 18, PPL: -741.31464
37: bad sentence 18, PPL: -1219.54211
38: good sentence 19, PPL: -2585.81299
39: bad sentence 19, PPL: -1310.27820
40: good sentence 20, PPL: -1092.45361
41: bad sentence 20, PPL: -1811.72485
42: good sentence 21, PPL: -3113.86548
43: bad sentence 21, PPL: -1791.02673
44: good sentence 22, PPL: -994.66949
45: bad sentence 22, PPL: -792.49799
46: good sentence 23, PPL: -2745.24829
47: bad sentence 23, PPL: -806.62103
48: good sentence 24, PPL: -1508.34021
49: bad sentence 24, PPL: -1887.29443
50: good sentence 25, PPL: -2211.55542
51: bad sentence 25, PPL: -2406.75928
52: good sentence 26, PPL: -2565.85400
53: bad sentence 26, PPL: -1566.47717
54: good sentence 27, PPL: -473.46750
55: bad sentence 27, PPL: -2003.59973
56: good sentence 28, PPL: -3129.17847
57: bad sentence 28, PPL: -3221.78271
58: good sentence 29, PPL: -3432.33154
59: bad sentence 29, PPL: -2895.97876
60: good sentence 30, PPL: -1967.71948
61: bad sentence 30, PPL: -2880.51392
62: good sentence 31, PPL: -950.82117
63: bad sentence 31, PPL: -1264.94043
64: good sentence 32, PPL: -1442.34631
65: bad sentence 32, PPL: -1205.33057
