Classifier-Noun
	dem_cl_swap
Model: imone/pangu_2_6B, Accuracy: 85.70000, Average Perplexity (Good Sentences): -1253.99231, Average Perplexity (Bad Sentences): -3368.08911
0: good sentence 0, PPL: -658.84924
1: bad sentence 0, PPL: -885.46533
2: good sentence 1, PPL: -1549.10437
3: bad sentence 1, PPL: -2483.90918
4: good sentence 2, PPL: -1397.56262
5: bad sentence 2, PPL: -14541.59277
6: good sentence 3, PPL: -1143.97351
7: bad sentence 3, PPL: -4140.24951
8: good sentence 4, PPL: -935.81055
9: bad sentence 4, PPL: -1418.19763
10: good sentence 5, PPL: -7049.07715
11: bad sentence 5, PPL: -6516.03027
12: good sentence 6, PPL: -1126.90125
13: bad sentence 6, PPL: -15552.45410
14: good sentence 7, PPL: -7328.02100
15: bad sentence 7, PPL: -48463.79297
16: good sentence 8, PPL: -5367.93555
17: bad sentence 8, PPL: -3788.43750
18: good sentence 9, PPL: -972.56989
19: bad sentence 9, PPL: -13463.93066
20: good sentence 10, PPL: -635.12915
21: bad sentence 10, PPL: -939.34821
22: good sentence 11, PPL: -3448.98071
23: bad sentence 11, PPL: -2331.17456
24: good sentence 12, PPL: -601.43597
25: bad sentence 12, PPL: -2701.22754
26: good sentence 13, PPL: -604.90576
27: bad sentence 13, PPL: -5846.29834
28: good sentence 14, PPL: -1058.82166
29: bad sentence 14, PPL: -2501.00195
30: good sentence 15, PPL: -1723.79712
31: bad sentence 15, PPL: -1478.66638
32: good sentence 16, PPL: -1001.85858
33: bad sentence 16, PPL: -5302.79736
34: good sentence 17, PPL: -4422.79199
35: bad sentence 17, PPL: -6818.79688
36: good sentence 18, PPL: -10112.13867
37: bad sentence 18, PPL: -12119.61230
38: good sentence 19, PPL: -669.15118
39: bad sentence 19, PPL: -848.23230
40: good sentence 20, PPL: -242.47903
41: bad sentence 20, PPL: -1009.38647
42: good sentence 21, PPL: -655.79797
43: bad sentence 21, PPL: -1242.31641
44: good sentence 22, PPL: -3715.03125
45: bad sentence 22, PPL: -4399.62500
46: good sentence 23, PPL: -246.88712
47: bad sentence 23, PPL: -1051.25281
48: good sentence 24, PPL: -2085.42480
49: bad sentence 24, PPL: -4302.29248
50: good sentence 25, PPL: -316.06628
51: bad sentence 25, PPL: -2008.97620
52: good sentence 26, PPL: -1143.64954
53: bad sentence 26, PPL: -1645.97449
54: good sentence 27, PPL: -5291.96631
55: bad sentence 27, PPL: -2740.28394
56: good sentence 28, PPL: -598.82019
57: bad sentence 28, PPL: -3233.56592
58: good sentence 29, PPL: -2542.15137
59: bad sentence 29, PPL: -5909.69238
60: good sentence 30, PPL: -2304.62085
61: bad sentence 30, PPL: -3348.41187
62: good sentence 31, PPL: -462.54752
63: bad sentence 31, PPL: -1505.85242
64: good sentence 32, PPL: -2019.35559
65: bad sentence 32, PPL: -26492.80664
66: good sentence 33, PPL: -63.54681
67: bad sentence 33, PPL: -655.50751
68: good sentence 34, PPL: -3415.59644
69: bad sentence 34, PPL: -4055.12720
70: good sentence 35, PPL: -226.39630
71: bad sentence 35, PPL: -1291.27930
72: good sentence 36, PPL: -4191.87842
73: bad sentence 36, PPL: -2626.50854
74: good sentence 37, PPL: -862.90033
75: bad sentence 37, PPL: -2680.06592
76: good sentence 38, PPL: -1831.73804
77: bad sentence 38, PPL: -1540.17395
78: good sentence 39, PPL: -5246.05859
79: bad sentence 39, PPL: -9563.48633
80: good sentence 40, PPL: -10238.96094
81: bad sentence 40, PPL: -21102.07422
82: good sentence 41, PPL: -641.08710
83: bad sentence 41, PPL: -2980.68945
84: good sentence 42, PPL: -87.41417
85: bad sentence 42, PPL: -147432.53125
86: good sentence 43, PPL: -1105.73755
87: bad sentence 43, PPL: -833.92932
88: good sentence 44, PPL: -3326.59033
89: bad sentence 44, PPL: -5349.22168
90: good sentence 45, PPL: -3300.53247
91: bad sentence 45, PPL: -5032.62451
92: good sentence 46, PPL: -1413.93018
93: bad sentence 46, PPL: -1116.84595
94: good sentence 47, PPL: -3295.10425
95: bad sentence 47, PPL: -3858.99316
96: good sentence 48, PPL: -11607.95117
97: bad sentence 48, PPL: -17842.25391
98: good sentence 49, PPL: -3237.64209
99: bad sentence 49, PPL: -23050.69336
100: good sentence 50, PPL: -701.85822
101: bad sentence 50, PPL: -4886.13037
102: good sentence 51, PPL: -5592.49072
103: bad sentence 51, PPL: -5812.81348
104: good sentence 52, PPL: -2081.64233
105: bad sentence 52, PPL: -6970.17578
106: good sentence 53, PPL: -5811.98730
107: bad sentence 53, PPL: -2851.33496
108: good sentence 54, PPL: -6457.71191
109: bad sentence 54, PPL: -6195.60791
110: good sentence 55, PPL: -999.56006
111: bad sentence 55, PPL: -4860.85596
112: good sentence 56, PPL: -1791.82129
113: bad sentence 56, PPL: -5247.00391
114: good sentence 57, PPL: -7041.17578
115: bad sentence 57, PPL: -12169.07715
116: good sentence 58, PPL: -1006.89539
117: bad sentence 58, PPL: -3012.16162
118: good sentence 59, PPL: -7475.08398
119: bad sentence 59, PPL: -8406.57129
120: good sentence 60, PPL: -323.22308
121: bad sentence 60, PPL: -5888.02295
122: good sentence 61, PPL: -8840.63770
123: bad sentence 61, PPL: -1662.21924
124: good sentence 62, PPL: -1626.45618
125: bad sentence 62, PPL: -1133.52356
126: good sentence 63, PPL: -282.02841
127: bad sentence 63, PPL: -1068.21411
128: good sentence 64, PPL: -405.86343
129: bad sentence 64, PPL: -2417.29932
130: good sentence 65, PPL: -790.52600
131: bad sentence 65, PPL: -4811.24023
132: good sentence 66, PPL: -5439.33887
133: bad sentence 66, PPL: -17147.55469
134: good sentence 67, PPL: -966.74591
135: bad sentence 67, PPL: -1323.29492
136: good sentence 68, PPL: -466.76434
137: bad sentence 68, PPL: -740.62390
138: good sentence 69, PPL: -2095.80542
139: bad sentence 69, PPL: -5834.71338
140: good sentence 70, PPL: -3198.79663
141: bad sentence 70, PPL: -7540.44678
142: good sentence 71, PPL: -607.99188
