DefinitenessEffect
	definiteness_demonstrative
Model: imone/pangu_2_6B, Accuracy: 49.30000, Average Perplexity (Good Sentences): -1615.61377, Average Perplexity (Bad Sentences): -1541.90002
0: good sentence 0, PPL: -2019.96802
1: bad sentence 0, PPL: -2598.93970
2: good sentence 1, PPL: -1223.15112
3: bad sentence 1, PPL: -956.58893
4: good sentence 2, PPL: -2344.73071
5: bad sentence 2, PPL: -2392.50806
6: good sentence 3, PPL: -1012.38477
7: bad sentence 3, PPL: -1460.13330
8: good sentence 4, PPL: -2677.86621
9: bad sentence 4, PPL: -1225.61194
10: good sentence 5, PPL: -772.62634
11: bad sentence 5, PPL: -441.87952
12: good sentence 6, PPL: -828.97778
13: bad sentence 6, PPL: -960.29266
14: good sentence 7, PPL: -2195.84180
15: bad sentence 7, PPL: -2876.84888
16: good sentence 8, PPL: -1671.61890
17: bad sentence 8, PPL: -2639.44653
18: good sentence 9, PPL: -406.22958
19: bad sentence 9, PPL: -1117.62427
20: good sentence 10, PPL: -4824.83203
21: bad sentence 10, PPL: -2930.25952
22: good sentence 11, PPL: -3050.79956
23: bad sentence 11, PPL: -1967.06470
24: good sentence 12, PPL: -1063.82373
25: bad sentence 12, PPL: -1054.01147
26: good sentence 13, PPL: -1373.94116
27: bad sentence 13, PPL: -1269.08679
28: good sentence 14, PPL: -1048.20642
29: bad sentence 14, PPL: -3955.91284
30: good sentence 15, PPL: -2498.64526
31: bad sentence 15, PPL: -1108.08105
32: good sentence 16, PPL: -1137.62756
33: bad sentence 16, PPL: -2170.81616
34: good sentence 17, PPL: -585.22974
35: bad sentence 17, PPL: -903.49762
36: good sentence 18, PPL: -1573.79578
37: bad sentence 18, PPL: -1478.58313
38: good sentence 19, PPL: -1145.33862
39: bad sentence 19, PPL: -621.31726
40: good sentence 20, PPL: -1840.98206
41: bad sentence 20, PPL: -2206.33203
42: good sentence 21, PPL: -3590.28394
43: bad sentence 21, PPL: -2291.29443
44: good sentence 22, PPL: -4233.94385
45: bad sentence 22, PPL: -1188.35083
46: good sentence 23, PPL: -3825.26123
47: bad sentence 23, PPL: -1739.23022
48: good sentence 24, PPL: -941.77051
49: bad sentence 24, PPL: -1148.67871
50: good sentence 25, PPL: -1273.04382
51: bad sentence 25, PPL: -1827.79431
52: good sentence 26, PPL: -806.15033
53: bad sentence 26, PPL: -938.42731
54: good sentence 27, PPL: -1720.58459
55: bad sentence 27, PPL: -1555.72302
56: good sentence 28, PPL: -931.88483
57: bad sentence 28, PPL: -1104.24060
58: good sentence 29, PPL: -1237.76453
59: bad sentence 29, PPL: -2138.61035
60: good sentence 30, PPL: -3533.32397
61: bad sentence 30, PPL: -1511.37915
62: good sentence 31, PPL: -1668.76074
63: bad sentence 31, PPL: -2052.44141
64: good sentence 32, PPL: -1821.02258
65: bad sentence 32, PPL: -2601.13745
66: good sentence 33, PPL: -1489.95459
67: bad sentence 33, PPL: -1882.23999
68: good sentence 34, PPL: -3520.24731
69: bad sentence 34, PPL: -4578.73145
70: good sentence 35, PPL: -1953.32556
71: bad sentence 35, PPL: -1499.41382
72: good sentence 36, PPL: -2713.94849
73: bad sentence 36, PPL: -3005.40137
74: good sentence 37, PPL: -857.28778
75: bad sentence 37, PPL: -987.10870
76: good sentence 38, PPL: -485.92010
77: bad sentence 38, PPL: -571.29797
78: good sentence 39, PPL: -1204.42908
79: bad sentence 39, PPL: -1434.26160
80: good sentence 40, PPL: -2068.54883
81: bad sentence 40, PPL: -3407.41089
82: good sentence 41, PPL: -699.11462
83: bad sentence 41, PPL: -972.95630
84: good sentence 42, PPL: -2017.86938
85: bad sentence 42, PPL: -2423.97778
86: good sentence 43, PPL: -1000.13220
87: bad sentence 43, PPL: -1177.12122
88: good sentence 44, PPL: -2012.38843
89: bad sentence 44, PPL: -3024.18433
90: good sentence 45, PPL: -974.39136
91: bad sentence 45, PPL: -1388.30566
92: good sentence 46, PPL: -3951.37695
93: bad sentence 46, PPL: -1965.34790
94: good sentence 47, PPL: -1154.58643
95: bad sentence 47, PPL: -968.15247
96: good sentence 48, PPL: -2912.67212
